entry_date,exit_date,stocks,n_stocks,period_return
2018-07-31,2018-08-31,002627.SZ;002682.SZ;000030.SZ;002775.SZ;300145.SZ...(20),20,-0.1480750753120812
2018-08-31,2018-09-28,000980.SZ;002669.SZ;002245.SZ;002120.SZ;000546.SZ...(20),20,-0.012769970320759596
2018-09-28,2018-10-31,002100.SZ;002712.SZ;002377.SZ;002094.SZ;300470.SZ...(20),20,-0.13939744921522795
2018-10-31,2018-11-30,002309.SZ;002712.SZ;600960.SH;002434.SZ;002488.SZ...(20),20,0.05544087030386635
2018-11-30,2018-12-28,002193.SZ;002110.SZ;300342.SZ;002258.SZ;002345.SZ...(20),20,-0.02797381619534652
2018-12-28,2019-01-31,000560.SZ;600525.SH;000545.SZ;300343.SZ;000889.SZ...(20),20,-0.07253403280683972
2019-01-31,2019-02-28,002717.SZ;002215.SZ;002364.SZ;300158.SZ;002672.SZ...(20),20,0.21094775862901427
2019-02-28,2019-03-29,000813.SZ;600858.SH;000726.SZ;000965.SZ;002215.SZ...(20),20,0.10286951714540944
2019-03-29,2019-04-30,603608.SH;002807.SZ;002521.SZ;000543.SZ;002110.SZ...(20),20,-0.027614043614221963
2019-04-30,2019-05-31,000791.SZ;002928.SZ;002807.SZ;300602.SZ;300623.SZ...(20),20,-0.08476931574609665
2019-05-31,2019-06-28,002818.SZ;002110.SZ;002749.SZ;002790.SZ;002788.SZ...(20),20,-0.0013405933619501228
2019-06-28,2019-07-31,603458.SH;300506.SZ;603980.SH;300410.SZ;002757.SZ...(20),20,-0.034627326707213614
2019-07-31,2019-08-30,000665.SZ;002543.SZ;300472.SZ;002867.SZ;000676.SZ...(20),20,-0.04107999803343726
2019-08-30,2019-09-30,000488.SZ;601113.SH;002029.SZ;300307.SZ;000059.SZ...(20),20,-0.012573147835637762
2019-09-30,2019-10-31,300444.SZ;000715.SZ;000597.SZ;000716.SZ;002536.SZ...(19),19,-0.014773637856190706
2019-10-31,2019-11-29,603909.SH;000525.SZ;603001.SH;000902.SZ;000715.SZ...(19),19,-0.0361143614723896
2019-11-29,2019-12-31,300201.SZ;002328.SZ;603648.SH;300332.SZ;300222.SZ...(20),20,0.08520577750279684
2019-12-31,2020-01-23,000620.SZ;002479.SZ;600738.SH;603030.SH;002047.SZ...(20),20,-0.016736389562163258
2020-01-23,2020-02-28,000501.SZ;000926.SZ;000791.SZ;000042.SZ;000539.SZ...(20),20,-0.05511829977265616
2020-02-28,2020-03-31,000926.SZ;600858.SH;000039.SZ;001872.SZ;600382.SH...(20),20,-0.024943727418386782
