因子,类别,IC均值,IC标准差,ICIR,IC>0占比,样本数
BP,价值,0.06713032860033216,0.1498790295558568,0.4478967391186242,0.63,100
dividend_yield,价值,0.019288790725678615,0.09684825275450756,0.199165087413318,0.6,100
EP,价值,0.024009154802066068,0.1247534553887541,0.1924528240700768,0.59,100
ROE,质量,-0.01648153237682598,0.13413827612721255,-0.12286971961079483,0.45454545454545453,99
grossprofit_margin,质量,-0.014709368800930246,0.08916192758239062,-0.16497365186881996,0.43434343434343436,99
turnover_change,情绪,-0.040657753208117646,0.1055026816676843,-0.3853717513663087,0.31958762886597936,97
momentum_6m,动量,-0.059263516464975186,0.14079410158378386,-0.4209232900975515,0.3723404255319149,94
volatility_60d,情绪,-0.09058037605453353,0.17295589395453678,-0.5237195101217164,0.27835051546391754,97
momentum_1m,动量,-0.07262788641732319,0.12950442123738332,-0.5608139530942756,0.32,100
momentum_3m,动量,-0.07282573413336392,0.12835676395676904,-0.5673696647407834,0.25773195876288657,97
liquidity_avg,情绪,-0.1098792465906921,0.1600358753435471,-0.6865913430648949,0.23,100
