rebal_date,exit_date,sell_date,sold_code,entry_price,sell_price,loss_pct
2018-07-31,2018-10-08,2018-08-06,002501.SZ,4.67,3.73,-0.20128479657387577
2018-07-31,2018-10-08,2018-08-23,002077.SZ,5.3,4.56,-0.13962264150943404
2018-07-31,2018-10-08,2018-09-07,000553.SZ,14.65,12.23,-0.16518771331058024
2018-07-31,2018-10-08,2018-09-07,603117.SH,4.94,4.2,-0.1497975708502025
2018-07-31,2018-10-08,2018-09-18,300145.SZ,4.9,4.13,-0.15714285714285725
2018-07-31,2018-10-08,2018-09-18,300444.SZ,8.55,7.33,-0.1426900584795322
2018-09-28,2018-12-03,2018-10-15,600382.SH,9.1,7.5,-0.17582417582417575
2018-09-28,2018-12-03,2018-10-16,000600.SZ,4.99,4.1,-0.17835671342685377
2018-09-28,2018-12-03,2018-10-16,000980.SZ,5.13,4.2,-0.18128654970760227
2018-09-28,2018-12-03,2018-10-19,002377.SZ,4.98,3.98,-0.20080321285140568
2018-09-28,2018-12-03,2018-10-22,002712.SZ,8.89,7.55,-0.1507311586051744
2019-03-29,2019-06-03,2019-05-07,002521.SZ,6.46,5.47,-0.15325077399380804
2019-03-29,2019-06-03,2019-05-07,000719.SZ,9.05,7.38,-0.18453038674033162
2019-03-29,2019-06-03,2019-05-20,002048.SZ,13.47,11.02,-0.1818856718634002
2019-03-29,2019-06-03,2019-05-21,000543.SZ,5.49,4.66,-0.15118397085610202
2019-03-29,2019-06-03,2019-05-23,002110.SZ,18.14,9.42,-0.4807056229327453
2019-03-29,2019-06-03,2019-05-24,002133.SZ,4.23,3.48,-0.17730496453900713
2019-03-29,2019-06-03,2019-05-31,002394.SZ,11.8,9.85,-0.1652542372881357
2020-03-31,2020-06-01,2020-05-19,600052.SH,4.09,3.33,-0.18581907090464544
2020-03-31,2020-06-01,2020-05-22,000059.SZ,5.62,4.57,-0.18683274021352314
2020-03-31,2020-06-01,2020-05-25,000683.SZ,1.97,1.59,-0.19289340101522834
2020-05-29,2020-08-03,2020-07-08,600382.SH,6.51,5.44,-0.1643625192012288
2020-09-30,2020-12-01,2020-11-03,002582.SZ,15.31,12.91,-0.15676028739386028
2020-12-31,2021-02-01,2021-02-01,002377.SZ,3.78,3.3,-0.12698412698412698
2021-05-31,2021-08-02,2021-07-09,688317.SH,70.64,59.18,-0.16223103057757648
2021-05-31,2021-08-02,2021-07-16,002124.SZ,7.27,5.99,-0.17606602475928468
2021-05-31,2021-08-02,2021-07-27,000537.SZ,5.5,4.45,-0.19090909090909092
2021-05-31,2021-08-02,2021-07-29,002922.SZ,11.24,9.69,-0.1379003558718862
2021-05-31,2021-08-02,2021-08-02,600491.SH,5.07,4.24,-0.16370808678500992
2021-09-30,2021-12-01,2021-10-21,002382.SZ,18.08,15.3,-0.15376106194690253
2021-09-30,2021-12-01,2021-10-29,300981.SZ,82.7,67.9,-0.17896009673518742
2021-09-30,2021-12-01,2021-11-02,600665.SH,3.26,2.64,-0.1901840490797545
2021-09-30,2021-12-01,2021-11-03,000951.SZ,15.31,13.15,-0.14108425865447416
2021-09-30,2021-12-01,2021-11-08,000923.SZ,16.12,13.35,-0.17183622828784129
2021-09-30,2021-12-01,2021-11-08,002274.SZ,12.55,10.53,-0.1609561752988049
2021-12-31,2022-02-07,2022-01-21,300631.SZ,40.66,34.11,-0.16109198229217903
2022-01-28,2022-04-01,2022-03-30,000877.SZ,15.07,12.98,-0.13868613138686126
2022-03-31,2022-06-01,2022-04-18,000949.SZ,4.85,3.94,-0.18762886597938144
2022-03-31,2022-06-01,2022-04-22,300070.SZ,5.97,5.01,-0.16080402010050254
2022-03-31,2022-06-01,2022-04-27,000717.SZ,4.44,3.74,-0.1576576576576577
2022-03-31,2022-06-01,2022-04-27,002344.SZ,4.58,3.87,-0.15502183406113534
2022-03-31,2022-06-01,2022-04-27,000967.SZ,5.12,4.31,-0.1582031250000001
2022-03-31,2022-06-01,2022-04-27,600960.SH,3.53,2.97,-0.1586402266288951
2022-03-31,2022-06-01,2022-05-12,002966.SZ,7.56,6.09,-0.19444444444444442
2022-05-31,2022-08-01,2022-06-30,000761.SZ,4.28,3.6,-0.15887850467289721
2023-03-31,2023-06-01,2023-04-26,300639.SZ,17.33,13.99,-0.1927293710328909
2023-03-31,2023-06-01,2023-05-05,002932.SZ,55.71,44.37,-0.20355411954765756
2023-03-31,2023-06-01,2023-05-23,300639.SZ,14.1,9.51,-0.325531914893617
2023-03-31,2023-06-01,2023-05-25,000726.SZ,8.18,6.81,-0.16748166259168706
2023-03-31,2023-06-01,2023-05-26,000422.SZ,14.51,12.2,-0.15920055134390076
2024-05-31,2024-08-01,2024-06-25,000882.SZ,1.19,0.98,-0.17647058823529405
2024-05-31,2024-08-01,2024-07-17,002847.SZ,46.65,39.21,-0.15948553054662373
2024-05-31,2024-08-01,2024-07-25,300856.SZ,36.1,29.56,-0.1811634349030472
2024-07-31,2024-10-08,2024-08-22,002154.SZ,4.13,3.4,-0.17675544794188858
2024-07-31,2024-10-08,2024-09-09,000926.SZ,2.18,1.83,-0.16055045871559637
2024-09-30,2024-12-02,2024-10-18,002936.SZ,2.37,2.04,-0.139240506329114
2025-05-30,2025-08-01,2025-07-16,600668.SH,14.27,12.04,-0.15627189908899797
2025-11-28,2026-01-05,2025-12-24,600180.SH,4.59,3.76,-0.18082788671023964
2026-03-31,2026-06-01,2026-05-15,600668.SH,10.55,8.76,-0.16966824644549772
2026-03-31,2026-06-01,2026-05-18,002110.SZ,3.89,3.22,-0.17223650385604106
2026-03-31,2026-06-01,2026-05-19,000401.SZ,4.86,4.11,-0.154320987654321
