entry_date,exit_date,stocks,n_stocks,period_return,n_sl_events
2018-08-01,2018-10-08,000030.SZ;002682.SZ;002627.SZ;603116.SH;000926.SZ...(20),20,-0.11754823023044793,6
2018-10-08,2018-12-03,000900.SZ;002133.SZ;000850.SZ;000552.SZ;002100.SZ...(20),20,0.020795245694694157,5
2018-12-03,2019-01-02,002110.SZ;600738.SH;000900.SZ;002193.SZ;000791.SZ...(19),19,-0.11567144347207914,0
2019-01-02,2019-02-01,600525.SH;000900.SZ;000698.SZ;002110.SZ;600322.SH...(20),20,0.036346969828708886,0
2019-02-01,2019-04-01,002247.SZ;300158.SZ;000900.SZ;600382.SH;000791.SZ...(20),20,0.3233455749807781,0
2019-04-01,2019-06-03,000926.SZ;000900.SZ;600051.SH;000736.SZ;001914.SZ...(20),20,-0.13436301467676284,7
2019-06-03,2019-08-01,002110.SZ;600327.SH;000926.SZ;002277.SZ;002818.SZ...(20),20,-0.03705045306788801,0
2019-08-01,2019-10-08,000665.SZ;000900.SZ;002543.SZ;000850.SZ;000676.SZ...(20),20,-0.009939841906750454,0
2019-10-08,2019-12-02,600533.SH;000959.SZ;000926.SZ;600382.SH;000900.SZ...(20),20,0.00752190527829311,0
2019-12-02,2020-01-02,600382.SH;000900.SZ;002936.SZ;000537.SZ;600533.SH...(20),20,0.06321456492931499,0
2020-01-02,2020-02-03,000791.SZ;000059.SZ;000926.SZ;000900.SZ;600382.SH...(20),20,-0.14705508842563186,0
2020-02-03,2020-04-01,000791.SZ;000900.SZ;000059.SZ;002133.SZ;000933.SZ...(20),20,0.015484762289218915,0
2020-04-01,2020-06-01,000900.SZ;002064.SZ;000543.SZ;000415.SZ;000937.SZ...(20),20,0.005304615949368534,3
2020-06-01,2020-08-03,000761.SZ;000552.SZ;002936.SZ;000531.SZ;000937.SZ...(20),20,0.10512939939651943,1
2020-08-03,2020-10-09,600382.SH;000543.SZ;002936.SZ;000926.SZ;000900.SZ...(20),20,-0.043100799038671145,0
2020-10-09,2020-12-01,000537.SZ;600382.SH;000778.SZ;000965.SZ;002344.SZ...(20),20,0.034259954365958946,1
2020-12-01,2021-01-04,002582.SZ;600491.SH;002936.SZ;300206.SZ;000539.SZ...(20),20,0.015921634014621548,0
2021-01-04,2021-02-01,002582.SZ;000537.SZ;600491.SH;600665.SH;002482.SZ...(20),20,-0.08381288163771618,1
2021-02-01,2021-04-01,000537.SZ;002582.SZ;000937.SZ;000965.SZ;000543.SZ...(20),20,0.1012723950995782,0
2021-04-01,2021-06-01,002582.SZ;000537.SZ;600491.SH;002244.SZ;600665.SH...(19),19,-0.03196741035301298,0
2021-06-01,2021-08-02,002110.SZ;000048.SZ;600512.SH;600533.SH;000778.SZ...(20),20,-0.06737644670006127,5
2021-08-02,2021-10-08,600533.SH;000537.SZ;600491.SH;002146.SZ;000600.SZ...(20),20,0.22163933666852653,0
2021-10-08,2021-12-01,600512.SH;600533.SH;002208.SZ;002244.SZ;002966.SZ...(20),20,-0.06609692123664247,6
2021-12-01,2022-01-04,000877.SZ;002110.SZ;002936.SZ;000761.SZ;002966.SZ...(20),20,0.08513610944073724,0
2022-01-04,2022-02-07,002936.SZ;002110.SZ;000877.SZ;002958.SZ;002966.SZ...(20),20,-0.017637208374427858,1
2022-02-07,2022-04-01,000949.SZ;002382.SZ;000761.SZ;000900.SZ;000685.SZ...(20),20,0.029935233871903645,1
2022-04-01,2022-06-01,000528.SZ;001872.SZ;000685.SZ;000501.SZ;002807.SZ...(20),20,-0.023571552631073286,7
2022-06-01,2022-08-01,002966.SZ;002839.SZ;002958.SZ;002948.SZ;000685.SZ...(20),20,-0.010554617287509857,1
2022-08-01,2022-10-10,002110.SZ;002958.SZ;002948.SZ;002936.SZ;000402.SZ...(20),20,-0.04477835883402559,0
2022-10-10,2022-12-01,600716.SH;000685.SZ;002932.SZ;300149.SZ;002936.SZ...(20),20,0.06814275550666471,0
2022-12-01,2023-01-03,002958.SZ;300639.SZ;002936.SZ;000778.SZ;000528.SZ...(20),20,-0.016136578908433227,0
2023-01-03,2023-02-01,300639.SZ;002958.SZ;000778.SZ;002061.SZ;002042.SZ...(20),20,0.044631101782822924,0
2023-02-01,2023-04-03,002958.SZ;000778.SZ;002936.SZ;000685.SZ;001227.SZ...(20),20,-0.013709013196444238,0
2023-04-03,2023-06-01,001227.SZ;002839.SZ;002807.SZ;000552.SZ;002958.SZ...(20),20,-0.060444903285040034,5
2023-06-01,2023-08-01,002061.SZ;002958.SZ;002839.SZ;000501.SZ;300729.SZ...(20),20,0.07422962169531733,0
2023-08-01,2023-10-09,002839.SZ;000552.SZ;002807.SZ;000501.SZ;002958.SZ...(20),20,-0.06903106993261077,0
2023-10-09,2023-12-01,002131.SZ;000560.SZ;002958.SZ;000897.SZ;000498.SZ...(20),20,-0.016831242641488383,0
2023-12-01,2024-01-02,002948.SZ;002839.SZ;002958.SZ;002807.SZ;000498.SZ...(20),20,-0.02239439889711947,0
2024-01-02,2024-02-01,002839.SZ;002958.SZ;002948.SZ;001227.SZ;002807.SZ...(20),20,-0.05952233692462838,0
2024-02-01,2024-04-01,000910.SZ;002932.SZ;000707.SZ;002839.SZ;002958.SZ...(20),20,0.08629894688268225,0
2024-04-01,2024-06-03,002807.SZ;002839.SZ;001227.SZ;002948.SZ;002958.SZ...(20),20,-0.015129126291865354,0
2024-06-03,2024-08-01,002958.SZ;002393.SZ;002936.SZ;000900.SZ;001227.SZ...(20),20,-0.060620860966521146,3
2024-08-01,2024-10-08,002958.SZ;001227.SZ;000726.SZ;002839.SZ;002948.SZ...(20),20,0.21358327697190857,2
2024-10-08,2024-12-02,002948.SZ;002839.SZ;002958.SZ;002807.SZ;001227.SZ...(20),20,0.014644368818711876,1
2024-12-02,2025-01-02,002948.SZ;002839.SZ;000498.SZ;002807.SZ;002958.SZ...(20),20,-0.06031725872822169,0
2025-01-02,2025-02-05,002839.SZ;002958.SZ;002029.SZ;000498.SZ;002948.SZ...(20),20,-0.026510056607579432,0
2025-02-05,2025-04-01,002839.SZ;000498.SZ;002958.SZ;002004.SZ;000591.SZ...(20),20,0.021536626259128114,0
2025-04-01,2025-06-03,002807.SZ;002839.SZ;000498.SZ;002948.SZ;001227.SZ...(20),20,0.024187660500747613,0
2025-06-03,2025-08-01,002839.SZ;002958.SZ;002807.SZ;001227.SZ;000900.SZ...(20),20,0.012195744340651052,1
2025-08-01,2025-10-09,600668.SH;002839.SZ;002807.SZ;002958.SZ;001227.SZ...(20),20,0.001187041351078836,0
2025-10-09,2025-12-01,002958.SZ;002948.SZ;002839.SZ;002807.SZ;002936.SZ...(20),20,0.010178468205116479,0
2025-12-01,2026-01-05,002948.SZ;002958.SZ;000690.SZ;600668.SH;000778.SZ...(20),20,-0.03039636337821041,1
2026-01-05,2026-02-02,002948.SZ;002958.SZ;002839.SZ;600668.SH;002807.SZ...(20),20,0.021333327933051874,0
2026-02-02,2026-04-01,600668.SH;002839.SZ;002958.SZ;002807.SZ;002936.SZ...(20),20,-0.002700953386305601,0
2026-04-01,2026-06-01,000498.SZ;002807.SZ;002839.SZ;002061.SZ;002958.SZ...(20),20,-0.049311970562614556,3
