rebalance_date,stock_code,weight,raw_score,industry,circ_mv
2018-07-31,002682.SZ,0.0125,175.41378471720552,仓储物流,232911.249
2018-07-31,002627.SZ,0.0125,166.48340110167226,旅游景点,222859.7579
2018-07-31,002133.SZ,0.0125,153.5745433451296,全国地产,276115.8446
2018-07-31,002077.SZ,0.0125,135.95203823632133,半导体,295102.3395
2018-07-31,002496.SZ,0.0125,129.23180715689594,农药化肥,255224.2532
2018-07-31,300444.SZ,0.0125,127.4267320268022,电气设备,263506.1357
2018-07-31,002521.SZ,0.0125,122.3668749374557,造纸,275238.9888
2018-07-31,600356.SH,0.0125,118.05926882377675,造纸,183421.0661
2018-07-31,000698.SZ,0.0125,116.79909725129033,石油加工,186344.0602
2018-07-31,002026.SZ,0.0125,116.49034376748844,机械基件,221419.9737
2018-07-31,002574.SZ,0.0125,111.16353354528792,服饰,296208.0
2018-07-31,000421.SZ,0.0125,108.60141452774288,供气供热,278306.4099
2018-07-31,002541.SZ,0.0125,107.79449842057272,钢加工,284369.2004
2018-07-31,000809.SZ,0.0125,105.88929101987708,电气设备,238364.6837
2018-07-31,002187.SZ,0.0125,105.48467168118445,百货,288319.8023
2018-07-31,002674.SZ,0.0125,102.95235017823647,纺织,177913.0755
2018-07-31,600969.SH,0.0125,101.51930477062099,水力发电,239052.6127
2018-07-31,002840.SZ,0.0125,100.33197475579966,食品,223625.7829
2018-07-31,600854.SH,0.0125,99.73989281382529,家用电器,219211.503
2018-07-31,600218.SH,0.0125,98.93651768311854,汽车配件,193227.62
2018-07-31,000619.SZ,0.0125,98.50778838685217,其他建材,230400.0
2018-07-31,002535.SZ,0.0125,93.53733156654104,工程机械,226742.7172
2018-07-31,002772.SZ,0.0125,93.46397945931777,种植业,203013.7168
2018-07-31,002328.SZ,0.0125,93.06472337898106,汽车配件,182455.8302
2018-07-31,002164.SZ,0.0125,92.87631215111706,机械基件,187027.1129
2018-07-31,603987.SH,0.0125,92.8219877288705,医疗保健,188931.0213
2018-07-31,002513.SZ,0.0125,92.13666696342887,新型电力,178593.9035
2018-07-31,300050.SZ,0.0125,91.55126169426238,通信设备,206383.9187
2018-07-31,000530.SZ,0.0125,91.35781665530331,机械基件,234332.1814
2018-07-31,000785.SZ,0.0125,91.05655181903481,百货,200623.8647
2018-07-31,002441.SZ,0.0125,89.16464110794318,电气设备,295865.1176
2018-07-31,603729.SH,0.0125,87.53319907469574,广告包装,233158.324
2018-07-31,000605.SZ,0.0125,86.72874156403194,水务,284998.9416
2018-07-31,002196.SZ,0.0125,86.39978830813105,纺织机械,220034.9521
