调仓频率,持仓数,止损线,市值区间,年化收益,夏普比率,最大回撤,胜率,调仓次数,止损次数,耗时(秒)
M,20,-0.1,全池,1.9%,-0.14,-23.5%,44%,94,220,107.7
M,20,-0.1,0-30亿,10.1%,0.22,-28.9%,51%,59,194,108.7
M,20,-0.1,30-80亿,3.5%,-0.08,-26.6%,52%,94,263,105.0
M,20,-0.12,全池,2.2%,-0.12,-22.8%,44%,94,144,106.8
M,20,-0.12,0-30亿,9.8%,0.22,-29.1%,51%,59,145,107.7
M,20,-0.12,30-80亿,4.1%,-0.05,-26.2%,52%,94,165,106.4
M,20,-0.15,全池,2.1%,-0.11,-22.1%,44%,94,65,105.5
M,20,-0.15,0-30亿,9.9%,0.23,-29.3%,51%,59,73,108.4
M,20,-0.15,30-80亿,4.2%,-0.03,-25.2%,52%,94,75,107.1
M,30,-0.1,全池,1.6%,-0.17,-24.4%,45%,94,341,106.4
M,30,-0.1,0-30亿,13.2%,0.33,-28.7%,52%,58,303,107.9
M,30,-0.1,30-80亿,5.5%,-0.0,-25.1%,48%,94,387,110.4
M,30,-0.12,全池,1.7%,-0.15,-23.4%,46%,94,219,100.9
M,30,-0.12,0-30亿,13.0%,0.33,-28.7%,52%,58,233,98.1
M,30,-0.12,30-80亿,5.6%,0.01,-24.5%,48%,94,246,106.3
M,30,-0.15,全池,2.0%,-0.13,-22.6%,46%,94,103,103.7
M,30,-0.15,0-30亿,12.9%,0.34,-28.7%,52%,58,121,104.5
M,30,-0.15,30-80亿,5.5%,0.02,-24.8%,48%,94,119,111.7
M,20,无,全池,-0.4%,-0.01,-27.3%,45%,94,-1,102.7
M,20,无,0-30亿,10.3%,0.41,-28.3%,53%,59,-1,102.8
M,20,无,30-80亿,1.4%,0.06,-31.7%,52%,94,-1,104.1
M,20,无,80亿+,-5.2%,-0.25,-36.5%,46%,90,-1,100.5
M,30,无,全池,0.0%,0.00,-29.0%,48%,94,-1,103.3
M,30,无,0-30亿,12.0%,0.47,-26.9%,55%,58,-1,104.9
M,30,无,30-80亿,2.5%,0.11,-29.5%,47%,94,-1,102.4
M,30,无,80亿+,-0.7%,-0.04,-27.4%,45%,88,-1,109.7
M,50,无,全池,1.3%,0.06,-28.1%,49%,94,-1,110.7
M,50,无,0-30亿,10.5%,0.42,-24.7%,56%,54,-1,109.6
M,50,无,30-80亿,3.2%,0.14,-29.7%,48%,94,-1,109.0
M,50,无,80亿+,1.2%,0.04,-28.0%,49%,88,-1,109.1
M,50,-0.1,全池,4.1%,-0.06,-22.8%,49%,94,604,99.2
M,50,-0.1,0-30亿,11.8%,0.30,-25.3%,54%,54,463,112.9
M,50,-0.1,30-80亿,5.9%,0.01,-24.8%,47%,94,692,105.2
M,50,-0.12,全池,4.3%,-0.05,-22.7%,49%,94,402,99.4
M,50,-0.12,0-30亿,11.6%,0.30,-25.8%,52%,54,339,100.3
M,50,-0.12,30-80亿,6.3%,0.04,-24.5%,47%,94,448,102.2
M,50,-0.15,全池,4.3%,-0.04,-22.5%,49%,94,183,100.5
M,50,-0.15,0-30亿,11.7%,0.31,-26.0%,54%,54,190,100.1
M,50,-0.15,30-80亿,6.0%,0.04,-24.1%,47%,94,226,101.4
M,80,-0.1,全池,4.6%,-0.05,-25.4%,46%,94,1037,108.2
M,80,-0.1,30-80亿,6.7%,0.04,-25.4%,50%,94,1140,102.3
M,80,-0.12,全池,4.9%,-0.02,-24.4%,46%,94,674,100.5
M,80,-0.12,30-80亿,6.9%,0.06,-25.7%,51%,94,735,103.8
M,80,-0.15,全池,4.9%,-0.01,-24.5%,46%,94,326,101.3
M,80,-0.15,30-80亿,7.0%,0.08,-25.5%,52%,94,367,101.0
2M,20,无,全池,0.6%,0.02,-21.6%,40%,55,-1,76.2
2M,20,无,0-30亿,11.0%,0.42,-26.2%,48%,33,-1,61.0
2M,20,无,30-80亿,4.9%,0.21,-25.4%,51%,55,-1,62.5
2M,20,无,80亿+,-3.8%,-0.23,-29.1%,40%,52,-1,59.8
2M,20,-0.1,全池,2.8%,-0.04,-20.0%,38%,55,257,61.3
2M,20,-0.1,0-30亿,12.0%,0.34,-26.9%,48%,33,191,58.6
2M,20,-0.1,30-80亿,6.0%,0.09,-23.6%,49%,55,293,58.6
2M,20,-0.12,全池,2.6%,-0.04,-19.8%,38%,55,179,60.9
2M,20,-0.12,0-30亿,11.9%,0.35,-27.1%,48%,33,146,59.5
2M,20,-0.12,30-80亿,6.6%,0.13,-23.1%,49%,55,195,61.1
2M,20,-0.15,全池,2.4%,-0.04,-19.8%,38%,55,90,59.5
2M,20,-0.15,0-30亿,11.6%,0.34,-27.7%,48%,33,82,58.6
2M,20,-0.15,30-80亿,6.6%,0.14,-21.3%,47%,55,108,60.8
2M,30,无,全池,2.4%,0.09,-24.5%,47%,55,-1,62.7
2M,30,无,0-30亿,13.1%,0.50,-25.2%,55%,33,-1,62.0
2M,30,无,30-80亿,5.0%,0.21,-22.8%,45%,55,-1,62.1
2M,30,无,80亿+,-1.2%,-0.09,-23.5%,47%,51,-1,61.1
2M,30,-0.1,全池,3.9%,0.00,-23.3%,42%,55,399,60.5
2M,30,-0.1,0-30亿,15.3%,0.46,-25.9%,55%,33,325,58.9
2M,30,-0.1,30-80亿,7.0%,0.13,-20.4%,44%,55,445,60.2
2M,30,-0.12,全池,3.8%,0.01,-22.9%,44%,55,269,60.2
2M,30,-0.12,0-30亿,15.0%,0.45,-26.2%,55%,33,251,59.3
2M,30,-0.12,30-80亿,7.0%,0.15,-20.5%,44%,55,299,60.6
2M,30,-0.15,全池,4.2%,0.04,-22.7%,44%,55,139,60.4
2M,30,-0.15,0-30亿,14.8%,0.46,-26.0%,55%,33,143,58.6
2M,30,-0.15,30-80亿,7.2%,0.16,-20.4%,44%,55,169,70.3
2M,50,无,全池,2.2%,0.09,-23.6%,44%,55,-1,62.5
2M,50,无,0-30亿,10.7%,0.41,-22.4%,47%,30,-1,66.2
2M,50,无,30-80亿,4.2%,0.18,-22.7%,47%,55,-1,73.4
2M,50,无,80亿+,1.2%,0.03,-22.9%,43%,51,-1,69.0
2M,50,-0.1,全池,4.6%,0.03,-21.5%,44%,55,706,67.4
2M,50,-0.1,0-30亿,11.6%,0.34,-21.6%,47%,30,521,60.0
2M,50,-0.1,30-80亿,5.9%,0.09,-22.7%,45%,55,785,64.4
2M,50,-0.12,全池,4.7%,0.05,-21.7%,45%,55,495,59.9
2M,50,-0.12,0-30亿,11.4%,0.34,-21.9%,47%,30,393,59.8
2M,50,-0.12,30-80亿,6.5%,0.12,-21.7%,45%,55,551,59.5
2M,50,-0.15,全池,4.6%,0.05,-21.7%,44%,55,253,57.0
2M,50,-0.15,0-30亿,11.5%,0.35,-22.1%,47%,30,238,55.2
2M,50,-0.15,30-80亿,6.4%,0.13,-21.5%,45%,55,307,55.7
2M,80,无,全池,3.2%,0.13,-24.7%,44%,55,-1,59.9
2M,80,无,0-30亿,13.9%,0.54,-21.4%,52%,29,-1,59.0
2M,80,无,30-80亿,5.1%,0.21,-24.0%,47%,55,-1,60.1
2M,80,无,80亿+,3.8%,0.16,-26.5%,48%,50,-1,59.3
2M,80,-0.1,全池,5.2%,0.06,-24.4%,44%,55,1195,58.6
2M,80,-0.1,0-30亿,15.4%,0.49,-20.6%,55%,29,756,54.8
2M,80,-0.1,30-80亿,6.8%,0.12,-23.7%,47%,55,1274,56.9
2M,80,-0.12,全池,5.6%,0.09,-23.5%,44%,55,823,56.5
2M,80,-0.12,0-30亿,15.5%,0.50,-20.5%,55%,29,559,53.7
2M,80,-0.12,30-80亿,7.0%,0.14,-22.9%,45%,55,880,56.1
2M,80,-0.15,全池,5.5%,0.09,-23.4%,44%,55,444,56.4
2M,80,-0.15,0-30亿,15.4%,0.50,-20.6%,55%,29,345,54.0
2M,80,-0.15,30-80亿,7.4%,0.17,-22.8%,47%,55,491,56.7
