entry_date,exit_date,stocks,n_stocks,period_return
2018-08-01,2018-09-03,600926.SH;000030.SZ;600655.SH;603116.SH;600126.SH...(10),10,-0.10622442695183254
2018-09-03,2018-10-08,000488.SZ;600418.SH;002029.SZ;601107.SH;600655.SH...(10),10,-0.00493986597668958
2018-10-08,2018-11-01,600926.SH;002100.SZ;600382.SH;600064.SH;600020.SH...(10),10,-0.06943035446727384
2018-11-01,2018-12-03,002309.SZ;600567.SH;600525.SH;600966.SH;600409.SH...(10),10,0.10021420926503033
2018-12-03,2019-01-02,600782.SH;002110.SZ;600282.SH;600569.SH;601997.SH...(10),10,-0.05173404772627943
2019-01-02,2019-02-01,600525.SH;000900.SZ;600569.SH;600269.SH;600231.SH...(10),10,0.013647250598880969
2019-02-01,2019-03-01,600508.SH;000516.SZ;600269.SH;600966.SH;600382.SH...(10),10,0.17144069182478125
2019-03-01,2019-04-01,000926.SZ;600269.SH;600548.SH;600510.SH;600708.SH...(10),10,0.08204020611690721
2019-04-01,2019-05-06,600782.SH;000932.SZ;002110.SZ;600508.SH;600569.SH...(9),9,-0.05727405485175466
2019-05-06,2019-06-03,600657.SH;600808.SH;600782.SH;600569.SH;000791.SZ...(10),10,-0.05011771315105748
2019-06-03,2019-07-01,600269.SH;002110.SZ;600327.SH;600508.SH;000926.SZ...(10),10,0.0014049649983552326
2019-07-01,2019-08-01,601997.SH;600266.SH;600269.SH;000932.SZ;600717.SH...(10),10,-0.03879153321784368
2019-08-01,2019-09-02,000665.SZ;600376.SH;600269.SH;000415.SZ;600266.SH...(10),10,-0.047059855877758114
2019-09-02,2019-10-08,600782.SH;600350.SH;000932.SZ;600508.SH;600997.SH...(10),10,0.0060473627500939355
2019-10-08,2019-11-01,600282.SH;600269.SH;000926.SZ;600508.SH;600350.SH...(10),10,0.0075409410348726644
2019-11-01,2019-12-02,600269.SH;000900.SZ;600282.SH;600123.SH;600782.SH...(10),10,0.03678472105408091
2019-12-02,2020-01-02,600382.SH;603323.SH;002344.SZ;600335.SH;600368.SH...(10),10,0.06398009131753435
2020-01-02,2020-02-03,601918.SH;600266.SH;600269.SH;000059.SZ;600017.SH...(10),10,-0.1533019434131429
2020-02-03,2020-03-02,601101.SH;600269.SH;600123.SH;000900.SZ;000926.SZ...(10),10,0.02033944779791757
2020-03-02,2020-04-01,600782.SH;600269.SH;000402.SZ;600153.SH;000926.SZ...(10),10,-0.056759891053591194
2020-04-01,2020-05-06,600782.SH;000825.SZ;601333.SH;002064.SZ;600269.SH...(10),10,0.0026044688534764973
2020-05-06,2020-06-01,600782.SH;600123.SH;601077.SH;600508.SH;600348.SH...(10),10,-0.007624384838227935
2020-06-01,2020-07-01,601916.SH;601077.SH;600282.SH;601005.SH;600777.SH...(10),10,0.03052796074558874
2020-07-01,2020-08-03,601997.SH;600717.SH;601077.SH;600376.SH;600508.SH...(10),10,0.10851468300074041
2020-08-03,2020-09-01,601658.SH;000900.SZ;601997.SH;000402.SZ;600743.SH...(10),10,0.007581727521398433
2020-09-01,2020-10-09,600508.SH;600782.SH;601077.SH;600123.SH;600623.SH...(10),10,-0.0281768867715478
2020-10-09,2020-11-02,000959.SZ;600782.SH;000778.SZ;601077.SH;600153.SH...(10),10,-0.05454894936070254
2020-11-02,2020-12-01,601077.SH;600376.SH;000543.SZ;002582.SZ;601588.SH...(10),10,0.045281057734379015
2020-12-01,2021-01-04,002582.SZ;603301.SH;300206.SZ;600094.SH;002838.SZ...(10),10,-0.0020750036749714283
2021-01-04,2021-02-01,600751.SH;600657.SH;002146.SZ;002100.SZ;600694.SH...(10),10,-0.08388508969855724
2021-02-01,2021-03-01,601077.SH;000937.SZ;000537.SZ;000543.SZ;601699.SH...(10),10,0.039920616522992614
2021-03-01,2021-04-01,600340.SH;601077.SH;002582.SZ;600376.SH;600649.SH...(10),10,0.004265948791315236
