entry_date,exit_date,stocks,n_stocks,period_return
2018-08-01,2018-09-03,600926.SH;000030.SZ;603116.SH;600126.SH;600655.SH...(20),20,-0.0785828366931817
2018-09-03,2018-10-08,000488.SZ;000980.SZ;600418.SH;600269.SH;002029.SZ...(20),20,-0.011917950295484238
2018-10-08,2018-11-01,000900.SZ;600926.SH;600708.SH;600064.SH;600269.SH...(20),20,-0.0735565889424085
2018-11-01,2018-12-03,002309.SZ;600567.SH;600525.SH;600966.SH;600963.SH...(20),20,0.08264856616905816
2018-12-03,2019-01-02,600782.SH;600282.SH;002110.SZ;600348.SH;601997.SH...(20),20,-0.054291056390305195
2019-01-02,2019-02-01,600525.SH;600569.SH;600269.SH;000900.SZ;600508.SH...(20),20,0.013200690261390449
2019-02-01,2019-03-01,000059.SZ;600308.SH;600508.SH;600269.SH;600966.SH...(20),20,0.16968461495252618
2019-03-01,2019-04-01,600269.SH;601107.SH;600508.SH;600782.SH;000926.SZ...(20),20,0.07668165594790248
2019-04-01,2019-05-06,600782.SH;600508.SH;600569.SH;000932.SZ;002110.SZ...(19),19,-0.05010966428729985
2019-05-06,2019-06-03,600808.SH;600657.SH;600782.SH;600569.SH;000791.SZ...(20),20,-0.04329858498895538
2019-06-03,2019-07-01,600269.SH;600266.SH;600327.SH;002110.SZ;600508.SH...(20),20,0.010898502485912884
2019-07-01,2019-08-01,600266.SH;601997.SH;600269.SH;000932.SZ;600508.SH...(20),20,-0.04825503552047443
2019-08-01,2019-09-02,000665.SZ;600376.SH;600269.SH;600348.SH;600064.SH...(20),20,-0.04655756009057335
2019-09-02,2019-10-08,600350.SH;600782.SH;600269.SH;600266.SH;600508.SH...(20),20,0.0020518680025786917
2019-10-08,2019-11-01,600269.SH;600282.SH;600782.SH;600508.SH;000959.SZ...(20),20,0.004772651497821965
2019-11-01,2019-12-02,600782.SH;600269.SH;000900.SZ;000932.SZ;600123.SH...(20),20,0.026952379215649306
2019-12-02,2020-01-02,600368.SH;600269.SH;601588.SH;000900.SZ;600382.SH...(20),20,0.0662947751977729
