entry_date,exit_date,stocks,n_stocks,period_return
2018-08-01,2018-10-08,002627.SZ;002077.SZ;600189.SH;600375.SH;600979.SH...(80),80,-0.085985575257489
2018-10-08,2018-12-03,603358.SH;002541.SZ;300194.SZ;601900.SH;600985.SH...(80),80,0.006841429658470885
2018-12-03,2019-01-02,600985.SH;600738.SH;603225.SH;002541.SZ;600983.SH...(80),80,-0.0581206305136138
2019-01-02,2019-02-01,601838.SH;000553.SZ;600279.SH;300432.SZ;002541.SZ...(80),80,0.013378743124340835
2019-02-01,2019-04-01,000537.SZ;601577.SH;600382.SH;002936.SZ;002255.SZ...(80),80,0.3413843965878886
2019-04-01,2019-06-03,600248.SH;603035.SH;002755.SZ;002448.SZ;002406.SZ...(80),80,-0.1094431267784947
2019-06-03,2019-08-01,002818.SZ;000537.SZ;603357.SH;002788.SZ;002187.SZ...(80),80,-0.030964352479602678
2019-08-01,2019-10-08,600101.SH;000537.SZ;002454.SZ;002936.SZ;002541.SZ...(80),80,0.0032020427525783855
2019-10-08,2019-12-02,000537.SZ;600382.SH;002394.SZ;002067.SZ;002441.SZ...(80),80,-0.013617386992165565
2019-12-02,2020-01-02,000537.SZ;002094.SZ;600828.SH;002101.SZ;000521.SZ...(80),80,0.08737738175376301
2020-01-02,2020-02-03,002015.SZ;603610.SH;300080.SZ;600603.SH;002037.SZ...(80),80,-0.10858714566976642
2020-02-03,2020-04-01,000537.SZ;600828.SH;002394.SZ;300080.SZ;600189.SH...(80),80,0.0921781233500876
2020-04-01,2020-06-01,000537.SZ;002394.SZ;002454.SZ;002966.SZ;600279.SH...(80),80,0.054830530508543696
2020-06-01,2020-08-03,002638.SZ;000537.SZ;002394.SZ;600052.SH;001896.SZ...(78),78,0.25209165705796693
2020-08-03,2020-10-09,002966.SZ;603889.SH;600322.SH;601512.SH;600279.SH...(80),80,-0.0018489847829039141
2020-10-09,2020-12-01,000537.SZ;603155.SH;000404.SZ;000731.SZ;002478.SZ...(80),80,0.027740933885910608
2020-12-01,2021-01-04,002478.SZ;300057.SZ;603661.SH;600101.SH;300004.SZ...(80),80,-0.0502983284783249
2021-01-04,2021-02-01,600731.SH;002037.SZ;600361.SH;002478.SZ;300057.SZ...(80),80,-0.0805155231485851
