date,portfolio_value,period_return,n_stocks,n_sl_events
2018-10-08,0.9255857378590657,-0.08036426214093427,80,39
2018-12-03,0.9333102175791674,0.0010455042619486894,80,66
2019-01-02,0.8823576748800422,-0.05884336214199662,80,5
2019-02-01,0.8910883661120321,0.005644730312372202,79,5
2019-04-01,1.204446564467551,0.3476078268469077,80,1
2019-06-03,1.0962270433081207,-0.09664999779319469,80,56
2019-08-01,1.0610472182797237,-0.03674173249570063,80,13
2019-10-08,1.0645540922796994,-0.0008448935546322553,80,3
2019-12-02,1.056115871850714,-0.012176530450806269,80,5
2020-01-02,1.1582929405477524,0.09274797190386463,80,0
2020-02-03,1.0465104161190766,-0.10055626410259766,80,1
2020-04-01,1.1477772630249197,0.09266621020303399,80,2
2020-06-01,1.2057796167357488,0.0459345031473845,80,12
2020-08-03,1.4708107321357267,0.21565062668289448,78,3
2020-10-09,1.46245112116733,-0.010033675530608889,80,7
2020-12-01,1.517651393627259,0.03329503753388236,80,9
2021-01-04,1.4485352032291485,-0.0506915457649464,80,23
2021-02-01,1.3414208071615092,-0.07909669858823899,80,23
2021-04-01,1.502928666616439,0.11634931006170732,78,1
2021-06-01,1.6708646504127562,0.10738915803628497,80,7
2021-08-02,1.6276931873031513,-0.03083779787246099,78,20
2021-10-08,1.8047723443774324,0.10464148383466264,80,3
2021-12-01,2.021817615194653,0.11576185545972101,80,10
2022-01-04,2.1899102508138,0.07913936645712916,80,0
2022-02-07,2.072274297975745,-0.05878053950334125,79,21
2022-04-01,2.0558296771279085,-0.013135542540821072,80,24
2022-06-01,1.911592302280371,-0.07846017739808289,80,86
2022-08-01,2.1332005357945993,0.11147860739702094,80,9
2022-10-10,1.9630288701009084,-0.08632293406702779,80,51
2022-12-01,2.230032788023097,0.1320162970544918,80,0
2023-01-03,2.085511691729443,-0.06920671363660562,80,8
2023-02-01,2.2719272151873113,0.0853859881951946,80,0
2023-04-03,2.3024377336707635,0.009329355605891092,80,2
2023-06-01,2.2172472118613733,-0.042250141442944276,80,25
2023-08-01,2.240745867932083,0.005848121826470797,80,15
2023-10-09,2.1600712681823344,-0.04165345800222349,80,33
2023-12-01,2.220370194623876,0.023265248598386454,80,13
2024-01-02,2.184593544706407,-0.02036292117147589,80,5
2024-02-01,1.7890510298651414,-0.18911000349571827,80,81
2024-04-01,2.0192141236539722,0.12120093837271968,80,69
2024-06-03,1.9987891297294702,-0.01566531847228808,80,31
2024-08-01,1.7889314809925128,-0.11299239045059295,80,80
2024-10-08,2.3552768491845586,0.31123304088753206,80,27
2024-12-02,2.4575144821620944,0.03565790468557132,80,75
2025-01-02,2.382901545219777,-0.034461138249193175,80,2
2025-02-05,2.3881954725236976,-0.0019283692681132522,79,3
2025-04-01,2.6342980126311746,0.099049579876898,80,0
2025-06-03,2.830692795972201,0.06820298618430218,80,47
2025-08-01,3.227296926423795,0.1359585031254268,79,3
2025-10-09,3.5590255041368635,0.09868836601522778,78,2
2025-12-01,3.8218744334175905,0.06919595751112212,79,13
2026-01-05,4.000825563578209,0.04272287010685404,80,2
2026-02-02,4.4022852560413765,0.09634421298391094,79,0
2026-04-01,4.665499210639919,0.05394029964887594,80,37
2026-06-01,5.599434581466334,0.19562908666590834,80,11
