entry_date,exit_date,stocks,n_stocks,period_return,n_sl_events
2018-08-01,2018-10-08,600979.SH;002674.SZ;600603.SH;002187.SZ;002541.SZ...(80),80,-0.08036426214093427,39
2018-10-08,2018-12-03,600985.SH;002541.SZ;002187.SZ;002448.SZ;002392.SZ...(80),80,0.0010455042619486894,66
2018-12-03,2019-01-02,600985.SH;600738.SH;600983.SH;603225.SH;000553.SZ...(80),80,-0.05884336214199662,5
2019-01-02,2019-02-01,601838.SH;000553.SZ;600475.SH;600279.SH;600589.SH...(79),79,0.005644730312372202,5
2019-02-01,2019-04-01,600382.SH;000537.SZ;600279.SH;300432.SZ;002374.SZ...(80),80,0.3476078268469077,1
2019-04-01,2019-06-03,600248.SH;002150.SZ;002772.SZ;600861.SH;600960.SH...(80),80,-0.09664999779319469,56
2019-06-03,2019-08-01,002818.SZ;000537.SZ;600603.SH;002541.SZ;300569.SZ...(80),80,-0.03674173249570063,13
2019-08-01,2019-10-08,000537.SZ;002454.SZ;000521.SZ;600189.SH;600101.SH...(80),80,-0.0008448935546322553,3
2019-10-08,2019-12-02,000537.SZ;600382.SH;002394.SZ;600189.SH;000404.SZ...(80),80,-0.012176530450806269,5
2019-12-02,2020-01-02,002094.SZ;000537.SZ;000521.SZ;600279.SH;300332.SZ...(80),80,0.09274797190386463,0
2020-01-02,2020-02-03,300080.SZ;600982.SH;002037.SZ;002588.SZ;603889.SH...(80),80,-0.10055626410259766,1
2020-02-03,2020-04-01,000537.SZ;002394.SZ;300080.SZ;000530.SZ;300050.SZ...(80),80,0.09266621020303399,2
2020-04-01,2020-06-01,002394.SZ;000537.SZ;002454.SZ;603776.SH;002392.SZ...(80),80,0.0459345031473845,12
2020-06-01,2020-08-03,002638.SZ;000537.SZ;001896.SZ;002394.SZ;603165.SH...(78),78,0.21565062668289448,3
2020-08-03,2020-10-09,002966.SZ;600322.SH;603889.SH;000753.SZ;600982.SH...(80),80,-0.010033675530608889,7
2020-10-09,2020-12-01,000537.SZ;603155.SH;600361.SH;600101.SH;002559.SZ...(80),80,0.03329503753388236,9
2020-12-01,2021-01-04,002478.SZ;002164.SZ;002015.SZ;603661.SH;600982.SH...(80),80,-0.0506915457649464,23
2021-01-04,2021-02-01,002037.SZ;600683.SH;600731.SH;603889.SH;600361.SH...(80),80,-0.07909669858823899,23
2021-02-01,2021-04-01,002394.SZ;002478.SZ;000722.SZ;600101.SH;000731.SZ...(78),78,0.11634931006170732,1
2021-04-01,2021-06-01,600361.SH;300057.SZ;002937.SZ;000731.SZ;600052.SH...(80),80,0.10738915803628497,7
2021-06-01,2021-08-02,000498.SZ;002628.SZ;600052.SH;605377.SH;002478.SZ...(78),78,-0.03083779787246099,20
2021-08-02,2021-10-08,600683.SH;600889.SH;000404.SZ;002628.SZ;000521.SZ...(80),80,0.10464148383466264,3
2021-10-08,2021-12-01,688606.SH;000404.SZ;002948.SZ;605287.SH;002628.SZ...(80),80,0.11576185545972101,10
2021-12-01,2022-01-04,002948.SZ;601963.SH;002394.SZ;000404.SZ;000521.SZ...(80),80,0.07913936645712916,0
2022-01-04,2022-02-07,002948.SZ;601665.SH;002394.SZ;002040.SZ;002761.SZ...(79),79,-0.05878053950334125,21
2022-02-07,2022-04-01,000404.SZ;002394.SZ;000521.SZ;002406.SZ;301093.SZ...(80),80,-0.013135542540821072,24
2022-04-01,2022-06-01,920599.BJ;002328.SZ;002448.SZ;601665.SH;603706.SH...(80),80,-0.07846017739808289,86
2022-06-01,2022-08-01,601528.SH;300981.SZ;605006.SH;002478.SZ;920418.BJ...(80),80,0.11147860739702094,9
2022-08-01,2022-10-10,920599.BJ;920418.BJ;002394.SZ;002582.SZ;002845.SZ...(80),80,-0.08632293406702779,51
2022-10-10,2022-12-01,688075.SH;688606.SH;688767.SH;688353.SH;603116.SH...(80),80,0.1320162970544918,0
2022-12-01,2023-01-03,603095.SH;920599.BJ;300120.SZ;688370.SH;600843.SH...(80),80,-0.06920671363660562,8
2023-01-03,2023-02-01,688075.SH;603095.SH;688606.SH;301356.SZ;603776.SH...(80),80,0.0853859881951946,0
2023-02-01,2023-04-03,688606.SH;301356.SZ;688075.SH;301223.SZ;688767.SH...(80),80,0.009329355605891092,2
2023-04-03,2023-06-01,603095.SH;920599.BJ;002448.SZ;600857.SH;002164.SZ...(80),80,-0.042250141442944276,25
2023-06-01,2023-08-01,605368.SH;688257.SH;920599.BJ;688353.SH;605189.SH...(80),80,0.005848121826470797,15
2023-08-01,2023-10-09,920599.BJ;688370.SH;605287.SH;600843.SH;605100.SH...(80),80,-0.04165345800222349,33
