code,name,sector,enabled
000001.SZ,,,true
000002.SZ,,,true
000004.SZ,,,true
000005.SZ,,,true
000006.SZ,,,true
000007.SZ,,,true
000008.SZ,,,true
000009.SZ,,,true
000010.SZ,,,true
000011.SZ,,,true
000012.SZ,,,true
000014.SZ,,,true
000016.SZ,,,true
000018.SZ,,,true
000019.SZ,,,true
000020.SZ,,,true
000021.SZ,,,true
000022.SZ,,,true
000023.SZ,,,true
000024.SZ,,,true
000025.SZ,,,true
000026.SZ,,,true
000027.SZ,,,true
000028.SZ,,,true
000029.SZ,,,true
000030.SZ,,,true
000031.SZ,,,true
000032.SZ,,,true
000033.SZ,,,true
000034.SZ,,,true
000035.SZ,,,true
000036.SZ,,,true
000037.SZ,,,true
000039.SZ,,,true
000040.SZ,,,true
000042.SZ,,,true
000043.SZ,,,true
000045.SZ,,,true
000046.SZ,,,true
000048.SZ,,,true
000049.SZ,,,true
000050.SZ,,,true
000055.SZ,,,true
000056.SZ,,,true
000058.SZ,,,true
000059.SZ,,,true
000060.SZ,,,true
000061.SZ,,,true
000062.SZ,,,true
000063.SZ,,,true
000065.SZ,,,true
000066.SZ,,,true
000068.SZ,,,true
000069.SZ,,,true
000070.SZ,,,true
000078.SZ,,,true
000088.SZ,,,true
000089.SZ,,,true
000090.SZ,,,true
000096.SZ,,,true
000099.SZ,,,true
000100.SZ,,,true
000150.SZ,,,true
000151.SZ,,,true
000153.SZ,,,true
000155.SZ,,,true
000157.SZ,,,true
000158.SZ,,,true
000159.SZ,,,true
000301.SZ,,,true
000338.SZ,,,true
000400.SZ,,,true
000401.SZ,,,true
000402.SZ,,,true
000404.SZ,,,true
000407.SZ,,,true
000408.SZ,,,true
000409.SZ,,,true
000410.SZ,,,true
000411.SZ,,,true
000413.SZ,,,true
000415.SZ,,,true
000416.SZ,,,true
000417.SZ,,,true
000418.SZ,,,true
000419.SZ,,,true
000420.SZ,,,true
000421.SZ,,,true
000422.SZ,,,true
000423.SZ,,,true
000425.SZ,,,true
000426.SZ,,,true
