code,name,sector,enabled
688435.SH,,,true
002321.SZ,,,true
000617.SZ,,,true
300651.SZ,,,true
300400.SZ,,,true
300221.SZ,,,true
002553.SZ,,,true
002247.SZ,,,true
603406.SH,,,true
002120.SZ,,,true
605299.SH,,,true
600479.SH,,,true
000698.SZ,,,true
000678.SZ,,,true
002175.SZ,,,true
300184.SZ,,,true
300298.SZ,,,true
603002.SH,,,true
688068.SH,,,true
000633.SZ,,,true
603700.SH,,,true
300020.SZ,,,true
688576.SH,,,true
603399.SH,,,true
600448.SH,,,true
300198.SZ,,,true
600725.SH,,,true
605259.SH,,,true
300676.SZ,,,true
000066.SZ,,,true
002719.SZ,,,true
600486.SH,,,true
301227.SZ,,,true
300674.SZ,,,true
002683.SZ,,,true
300156.SZ,,,true
301193.SZ,,,true
002245.SZ,,,true
002167.SZ,,,true
600067.SH,,,true
002200.SZ,,,true
301479.SZ,,,true
301269.SZ,,,true
688083.SH,,,true
300562.SZ,,,true
000831.SZ,,,true
600816.SH,,,true
603310.SH,,,true
002431.SZ,,,true
600054.SH,,,true
002053.SZ,,,true
603579.SH,,,true
300807.SZ,,,true
688316.SH,,,true
688219.SH,,,true
301517.SZ,,,true
603956.SH,,,true
003009.SZ,,,true
001369.SZ,,,true
000875.SZ,,,true
688697.SH,,,true
300259.SZ,,,true
300775.SZ,,,true
002061.SZ,,,true
300300.SZ,,,true
002235.SZ,,,true
600068.SH,,,true
300675.SZ,,,true
600761.SH,,,true
688383.SH,,,true
301565.SZ,,,true
002746.SZ,,,true
301633.SZ,,,true
301383.SZ,,,true
300109.SZ,,,true
300584.SZ,,,true
688558.SH,,,true
001396.SZ,,,true
688131.SH,,,true
688377.SH,,,true
002821.SZ,,,true
603288.SH,,,true
300399.SZ,,,true
002752.SZ,,,true
600839.SH,,,true
600062.SH,,,true
300608.SZ,,,true
688449.SH,,,true
603648.SH,,,true
300192.SZ,,,true
301075.SZ,,,true
000980.SZ,,,true
300269.SZ,,,true
000701.SZ,,,true
300997.SZ,,,true
600260.SH,,,true
300590.SZ,,,true
001316.SZ,,,true
300121.SZ,,,true
603806.SH,,,true
300990.SZ,,,true
300134.SZ,,,true
688627.SH,,,true
601860.SH,,,true
600210.SH,,,true
688502.SH,,,true
600810.SH,,,true
002580.SZ,,,true
300565.SZ,,,true
300414.SZ,,,true
603701.SH,,,true
603334.SH,,,true
300548.SZ,,,true
605098.SH,,,true
600539.SH,,,true
605069.SH,,,true
600242.SH,,,true
301520.SZ,,,true
300189.SZ,,,true
002543.SZ,,,true
603039.SH,,,true
601609.SH,,,true
002152.SZ,,,true
000887.SZ,,,true
002307.SZ,,,true
002662.SZ,,,true
688307.SH,,,true
002723.SZ,,,true
600481.SH,,,true
688013.SH,,,true
001278.SZ,,,true
600108.SH,,,true
600081.SH,,,true
688009.SH,,,true
600890.SH,,,true
603227.SH,,,true
300453.SZ,,,true
603596.SH,,,true
000422.SZ,,,true
002347.SZ,,,true
603317.SH,,,true
300582.SZ,,,true
688469.SH,,,true
301226.SZ,,,true
002322.SZ,,,true
300810.SZ,,,true
600597.SH,,,true
002706.SZ,,,true
600764.SH,,,true
000030.SZ,,,true
300553.SZ,,,true
601886.SH,,,true
002887.SZ,,,true
603021.SH,,,true
002280.SZ,,,true
688287.SH,,,true
300850.SZ,,,true
688428.SH,,,true
688129.SH,,,true
300021.SZ,,,true
600004.SH,,,true
002736.SZ,,,true
603337.SH,,,true
603238.SH,,,true
000006.SZ,,,true
688037.SH,,,true
301073.SZ,,,true
601319.SH,,,true
000563.SZ,,,true
002325.SZ,,,true
301535.SZ,,,true
300928.SZ,,,true
300354.SZ,,,true
001202.SZ,,,true
300367.SZ,,,true
603808.SH,,,true
002109.SZ,,,true
601211.SH,,,true
001366.SZ,,,true
603275.SH,,,true
002439.SZ,,,true
002460.SZ,,,true
688681.SH,,,true
600986.SH,,,true
603529.SH,,,true
002768.SZ,,,true
300567.SZ,,,true
603214.SH,,,true
688109.SH,,,true
600490.SH,,,true
300128.SZ,,,true
603336.SH,,,true
300039.SZ,,,true
300965.SZ,,,true
600239.SH,,,true
588200.SH,,,true
600624.SH,,,true
603113.SH,,,true
600744.SH,,,true
002400.SZ,,,true
300424.SZ,,,true
300233.SZ,,,true
001283.SZ,,,true
301207.SZ,,,true
000581.SZ,,,true
605198.SH,,,true
603602.SH,,,true
300278.SZ,,,true
605199.SH,,,true
300197.SZ,,,true
000088.SZ,,,true
001391.SZ,,,true
688337.SH,,,true
001211.SZ,,,true
300268.SZ,,,true
001330.SZ,,,true
000693.SZ,,,true
301130.SZ,,,true
001390.SZ,,,true
603082.SH,,,true
300342.SZ,,,true
300679.SZ,,,true
688813.SH,,,true
601188.SH,,,true
300148.SZ,,,true
002492.SZ,,,true
603867.SH,,,true
603933.SH,,,true
600962.SH,,,true
300384.SZ,,,true
600965.SH,,,true
600315.SH,,,true
002992.SZ,,,true
002180.SZ,,,true
002202.SZ,,,true
688671.SH,,,true
600566.SH,,,true
301373.SZ,,,true
600495.SH,,,true
600355.SH,,,true
600881.SH,,,true
000963.SZ,,,true
688609.SH,,,true
688535.SH,,,true
002214.SZ,,,true
001227.SZ,,,true
600273.SH,,,true
301218.SZ,,,true
002304.SZ,,,true
300430.SZ,,,true
003003.SZ,,,true
002991.SZ,,,true
603311.SH,,,true
600721.SH,,,true
002558.SZ,,,true
002931.SZ,,,true
600842.SH,,,true
300440.SZ,,,true
002025.SZ,,,true
600674.SH,,,true
603538.SH,,,true
002210.SZ,,,true
000922.SZ,,,true
688597.SH,,,true
603353.SH,,,true
000520.SZ,,,true
002172.SZ,,,true
300329.SZ,,,true
002778.SZ,,,true
600309.SH,,,true
601199.SH,,,true
601099.SH,,,true
300144.SZ,,,true
600259.SH,,,true
001209.SZ,,,true
002763.SZ,,,true
600058.SH,,,true
000021.SZ,,,true
600161.SH,,,true
300568.SZ,,,true
600776.SH,,,true
300738.SZ,,,true
600489.SH,,,true
603619.SH,,,true
688702.SH,,,true
601225.SH,,,true
002678.SZ,,,true
002988.SZ,,,true
300836.SZ,,,true
300176.SZ,,,true
001208.SZ,,,true
603982.SH,,,true
603370.SH,,,true
001230.SZ,,,true
300982.SZ,,,true
000995.SZ,,,true
000918.SZ,,,true
605088.SH,,,true
600999.SH,,,true
601958.SH,,,true
603258.SH,,,true
002699.SZ,,,true
000989.SZ,,,true
603023.SH,,,true
002064.SZ,,,true
002952.SZ,,,true
001356.SZ,,,true
688002.SH,,,true
001335.SZ,,,true
300319.SZ,,,true
600283.SH,,,true
002391.SZ,,,true
603839.SH,,,true
300410.SZ,,,true
603979.SH,,,true
605589.SH,,,true
000793.SZ,,,true
688227.SH,,,true
002079.SZ,,,true
600444.SH,,,true
688656.SH,,,true
605077.SH,,,true
603773.SH,,,true
603171.SH,,,true
301004.SZ,,,true
300531.SZ,,,true
300066.SZ,,,true
688981.SH,,,true
300986.SZ,,,true
300348.SZ,,,true
300571.SZ,,,true
600211.SH,,,true
002481.SZ,,,true
688526.SH,,,true
300863.SZ,,,true
600796.SH,,,true
301003.SZ,,,true
002002.SZ,,,true
000400.SZ,,,true
600806.SH,,,true
688247.SH,,,true
603722.SH,,,true
002227.SZ,,,true
002008.SZ,,,true
603323.SH,,,true
300139.SZ,,,true
603007.SH,,,true
002494.SZ,,,true
301316.SZ,,,true
001359.SZ,,,true
300395.SZ,,,true
301628.SZ,,,true
300736.SZ,,,true
002702.SZ,,,true
600626.SH,,,true
603382.SH,,,true
300885.SZ,,,true
688158.SH,,,true
688613.SH,,,true
603226.SH,,,true
000150.SZ,,,true
688799.SH,,,true
603609.SH,,,true
300858.SZ,,,true
688721.SH,,,true
002256.SZ,,,true
002509.SZ,,,true
002354.SZ,,,true
002285.SZ,,,true
300628.SZ,,,true
300707.SZ,,,true
688092.SH,,,true
300118.SZ,,,true
301259.SZ,,,true
300059.SZ,,,true
688370.SH,,,true
300558.SZ,,,true
603003.SH,,,true
300451.SZ,,,true
000925.SZ,,,true
002164.SZ,,,true
688371.SH,,,true
300664.SZ,,,true
000839.SZ,,,true
000033.SZ,,,true
301166.SZ,,,true
002480.SZ,,,true
688398.SH,,,true
300540.SZ,,,true
600660.SH,,,true
603569.SH,,,true
600532.SH,,,true
603697.SH,,,true
000403.SZ,,,true
002024.SZ,,,true
002631.SZ,,,true
603408.SH,,,true
000748.SZ,,,true
301618.SZ,,,true
605028.SH,,,true
603586.SH,,,true
002623.SZ,,,true
600553.SH,,,true
002453.SZ,,,true
000815.SZ,,,true
300935.SZ,,,true
301563.SZ,,,true
000795.SZ,,,true
301439.SZ,,,true
300113.SZ,,,true
300438.SZ,,,true
688788.SH,,,true
002250.SZ,,,true
301368.SZ,,,true
603685.SH,,,true
688238.SH,,,true
002676.SZ,,,true
300332.SZ,,,true
002745.SZ,,,true
002873.SZ,,,true
600366.SH,,,true
000616.SZ,,,true
002893.SZ,,,true
301153.SZ,,,true
600360.SH,,,true
689009.SH,,,true
300426.SZ,,,true
002716.SZ,,,true
002294.SZ,,,true
600088.SH,,,true
000783.SZ,,,true
600926.SH,,,true
300215.SZ,,,true
300026.SZ,,,true
600823.SH,,,true
301321.SZ,,,true
300907.SZ,,,true
300257.SZ,,,true
300219.SZ,,,true
000605.SZ,,,true
688683.SH,,,true
003017.SZ,,,true
600235.SH,,,true
301111.SZ,,,true
300680.SZ,,,true
001368.SZ,,,true
300684.SZ,,,true
301335.SZ,,,true
688480.SH,,,true
603038.SH,,,true
600247.SH,,,true
301137.SZ,,,true
000655.SZ,,,true
002353.SZ,,,true
300534.SZ,,,true
002886.SZ,,,true
603996.SH,,,true
300570.SZ,,,true
000778.SZ,,,true
002297.SZ,,,true
688016.SH,,,true
600595.SH,,,true
301286.SZ,,,true
600610.SH,,,true
688106.SH,,,true
603058.SH,,,true
002356.SZ,,,true
600111.SH,,,true
603938.SH,,,true
002990.SZ,,,true
300480.SZ,,,true
000850.SZ,,,true
600608.SH,,,true
000017.SZ,,,true
603135.SH,,,true
603329.SH,,,true
300006.SZ,,,true
301557.SZ,,,true
600568.SH,,,true
001379.SZ,,,true
688737.SH,,,true
301128.SZ,,,true
688267.SH,,,true
300984.SZ,,,true
002429.SZ,,,true
300866.SZ,,,true
603017.SH,,,true
300943.SZ,,,true
600327.SH,,,true
301092.SZ,,,true
600271.SH,,,true
300828.SZ,,,true
603607.SH,,,true
002451.SZ,,,true
003005.SZ,,,true
600461.SH,,,true
688759.SH,,,true
600059.SH,,,true
002847.SZ,,,true
688192.SH,,,true
