ts_code,pb,pe_ttm,circ_mv,amount,roe
000001.SZ,0.4399,4.7411,20414691.9364,1511009.56495,9.278437493408703
000002.SZ,0.3303,,2973382.3854,500693.46466,
000006.SZ,2.0643,,1108337.5208,507013.65798,
000007.SZ,26.4635,,473940.864,105149.284,
000008.SZ,3.0836,,665492.765,52313.61782,
000009.SZ,1.7589,339.749,1761998.022,172421.79417,0.5177057180447918
000010.SZ,7.4216,,165880.45,53058.3932,
000011.SZ,1.2978,2657.0132,385906.5415,70526.83886,0.04884431887654905
000012.SZ,1.0037,1172.7678,842506.138,460635.78949,0.08558386408630932
000014.SZ,1.7405,,240351.8766,65380.18293,
000017.SZ,9.0927,85.8568,227023.33,32721.44082,10.59054145973295
000019.SZ,1.4049,32.7416,256383.1424,37183.14479,4.29087155178733
000020.SZ,7.3546,94.1144,209064.8716,39385.96319,7.814532101357496
000021.SZ,5.1896,57.831,6932508.5964,8236411.12943,8.973733810586019
000025.SZ,3.5622,46.6856,603700.2471,148002.0236,7.630190037184913
000026.SZ,2.5447,80.7444,776878.8517,243341.90973,3.1515498288426196
000027.SZ,0.9784,16.3564,3273084.2512,537564.34891,5.9817563767088116
000028.SZ,0.6656,11.483,1080399.554,43787.70215,5.796394670382304
000029.SZ,8.1836,1252.5782,2606322.18,285090.35209,0.6533404461294313
000030.SZ,0.8584,11.0334,711805.9986,37186.9166,7.7800134138162305
000031.SZ,0.9765,,998708.9951,91963.90862,
000032.SZ,4.047,,2799379.7156,3666822.51186,
000034.SZ,2.4072,49.8926,2257034.8524,980767.22344,4.824763592196037
000035.SZ,1.1253,41.826,1172704.0299,140349.14228,2.690431788839478
000036.SZ,1.3375,76.0504,687460.788,136083.34263,1.758702123854707
000037.SZ,3.6988,33.7201,351447.8034,512083.3058,10.96912523984211
000039.SZ,1.025,,2043649.5048,486060.45072,
000042.SZ,2.6196,,593033.6202,39845.79098,
000045.SZ,1.8105,77.9064,490384.3914,74520.8051,2.323942577246542
000048.SZ,2.6625,,998265.0808,585750.01786,
000049.SZ,1.3603,28.593,924806.4345,143887.32131,4.757458119120065
000050.SZ,0.8046,,2177566.311,1184703.4958,
000055.SZ,0.7012,,246686.856,89512.427,
000058.SZ,4.0061,116.7564,652882.2222,55484.718,3.4311609470658566
000059.SZ,0.6597,,642964.026,105446.41699,
000060.SZ,1.781,34.4595,3557334.0762,2018701.05414,5.168386076408538
000061.SZ,1.3458,26.8727,1051466.832,161589.8435,5.0080565034402955
000062.SZ,4.883,60.0656,3349949.7206,1931035.83278,8.129445139980287
000063.SZ,2.3635,40.5022,15260656.7268,8270111.11266,5.835485479801098
000065.SZ,1.2784,21.7823,1201153.5536,382094.59233,5.8689853688545295
000066.SZ,5.2642,2852.6144,5754380.8432,5739186.1312,0.1845394877064352
000068.SZ,5.6235,,329181.5805,133237.36692,
