date,code,entry_price,exit_price,loss_pct
2020-03-04,000510.SZ,5.14,4.85,-5.642023346303504
2020-03-06,002517.SZ,3.37,3.17,-5.934718100890213
2020-03-09,002713.SZ,8.37,7.79,-6.929510155316598
2020-03-09,600636.SH,13.6,12.69,-6.691176470588234
2020-03-09,300159.SZ,4.85,4.47,-7.835051546391747
2020-03-09,002208.SZ,7.76,6.9,-11.082474226804118
2020-03-09,600418.SH,5.7,5.4,-5.263157894736836
2020-03-09,002077.SZ,7.2,6.58,-8.611111111111114
2020-03-09,600875.SH,10.06,9.47,-5.8648111332007975
2020-03-09,300337.SZ,4.06,3.82,-5.9113300492610765
2020-03-09,300169.SZ,6.36,6.04,-5.031446540880502
2020-03-09,002567.SZ,9.37,8.75,-6.616862326574169
2020-03-09,000732.SZ,6.42,5.92,-7.788161993769471
2020-03-10,002172.SZ,4.84,4.36,-9.917355371900815
2020-03-11,600096.SH,6.03,5.61,-6.965174129353235
2020-03-12,600586.SH,3.22,3.01,-6.521739130434789
2020-03-12,600143.SH,10.72,9.41,-12.22014925373135
2020-03-12,000819.SZ,9.57,9.07,-5.224660397074188
2020-03-12,600502.SH,4.28,4.06,-5.140186915887868
2020-03-12,600127.SH,4.9,4.5,-8.163265306122458
2020-03-12,000701.SZ,5.56,5.1,-8.273381294964032
2020-03-12,002645.SZ,10.16,9.32,-8.267716535433067
2020-03-12,600678.SH,8.54,8.09,-5.26932084309133
2020-03-12,601002.SH,6.63,6.21,-6.334841628959276
2020-03-13,601718.SH,4.72,4.3,-8.898305084745761
2020-03-13,300055.SZ,7.55,7.08,-6.2251655629139035
2020-03-13,600448.SH,6.5,6.14,-5.538461538461547
2020-03-13,002218.SZ,3.69,3.5,-5.1490514905149
2020-03-13,002486.SZ,4.35,3.98,-8.50574712643677
2020-03-13,600512.SH,3.6,3.4,-5.555555555555558
2020-03-16,000973.SZ,5.6,5.11,-8.749999999999991
2020-03-16,002288.SZ,5.82,5.48,-5.841924398625431
2020-03-16,300422.SZ,12.62,11.6,-8.082408874801894
2020-03-16,603809.SH,12.7,11.83,-6.850393700787394
2020-03-16,002672.SZ,10.94,10.0,-8.59232175502742
2020-03-16,002611.SZ,5.27,4.73,-10.24667931688803
2020-03-16,603105.SH,7.67,7.23,-5.736636245110816
2020-03-16,002548.SZ,9.3,8.54,-8.172043010752706
2020-03-16,002546.SZ,5.03,4.59,-8.747514910536792
2020-03-16,000498.SZ,5.4,5.03,-6.851851851851853
2020-03-16,600707.SH,4.73,4.31,-8.879492600422845
2020-03-16,002066.SZ,8.84,8.22,-7.01357466063347
2020-03-16,600966.SH,8.81,8.29,-5.902383654937582
2020-03-16,300050.SZ,6.67,6.12,-8.245877061469265
2020-03-16,300095.SZ,6.8,6.23,-8.382352941176464
2020-03-16,600458.SH,7.85,7.18,-8.535031847133755
2020-03-16,300670.SZ,9.07,8.2,-9.59206174200663
2020-03-16,300097.SZ,10.89,9.98,-8.356290174471992
2020-03-16,002171.SZ,9.36,8.73,-6.7307692307692175
2020-03-16,300040.SZ,6.72,6.14,-8.630952380952383
2020-03-17,000608.SZ,5.42,5.14,-5.166051660516613
2020-03-17,002707.SZ,5.86,5.31,-9.385665529010245
2020-03-17,000797.SZ,4.31,3.88,-9.976798143851507
2020-03-17,300247.SZ,3.52,3.17,-9.943181818181824
2020-03-17,603023.SH,5.59,5.23,-6.440071556350613
2020-03-17,600130.SH,4.68,4.23,-9.615384615384603
2020-03-18,600297.SH,4.31,3.97,-7.88863109048723
2020-03-18,002006.SZ,5.24,4.9,-6.488549618320604
2020-03-18,600069.SH,2.36,2.24,-5.084745762711851
2020-03-18,300063.SZ,4.63,4.32,-6.6954643628509665
2020-03-18,002097.SZ,6.55,6.15,-6.1068702290076216
2020-03-18,300440.SZ,10.65,9.97,-6.384976525821595
2020-03-18,300310.SZ,6.33,5.67,-10.426540284360186
2020-03-18,002093.SZ,10.43,9.41,-9.77948226270373
2020-03-18,002305.SZ,2.39,2.24,-6.2761506276150625
2020-03-18,002231.SZ,8.68,7.85,-9.562211981566826
2020-03-18,601616.SH,3.67,3.3,-10.081743869209813
2020-03-18,000837.SZ,4.85,4.58,-5.567010309278341
2020-03-18,002310.SZ,6.18,5.84,-5.501618122977348
2020-03-19,600538.SH,6.42,5.75,-10.436137071651086
2020-03-19,300140.SZ,12.56,11.89,-5.334394904458595
2020-03-19,000663.SZ,5.18,4.66,-10.03861003861003
2020-03-20,600026.SH,7.6,6.91,-9.078947368421042
2020-03-23,600724.SH,4.08,3.7,-9.313725490196079
2020-03-23,600089.SH,8.09,7.42,-8.281829419035846
2020-03-23,600692.SH,7.22,6.43,-10.94182825484764
2020-03-23,600510.SH,8.4,7.44,-11.428571428571432
2020-03-23,002334.SZ,5.17,4.6,-11.025145067698261
2020-03-23,600853.SH,3.92,3.71,-5.35714285714286
2020-03-23,300284.SZ,9.94,9.31,-6.338028169014076
2020-03-23,300131.SZ,7.16,6.59,-7.9608938547486074
2020-03-23,300002.SZ,4.38,4.01,-8.447488584474893
2020-03-23,600172.SH,3.25,3.07,-5.538461538461547
2020-03-23,300453.SZ,11.74,10.51,-10.477001703577516
2020-03-23,603861.SH,10.16,9.16,-9.842519685039374
2020-03-23,600579.SH,7.27,6.61,-9.078404401650609
2020-03-23,600738.SH,5.79,5.16,-10.880829015544036
2020-03-23,300215.SZ,8.63,8.11,-6.025492468134431
2020-03-24,002585.SZ,5.7,5.36,-5.964912280701751
2020-03-24,002272.SZ,5.51,5.08,-7.803992740471866
2020-03-25,601126.SH,6.83,6.44,-5.710102489019031
2020-03-26,300197.SZ,3.3,3.03,-8.18181818181818
2020-03-26,300138.SZ,9.55,9.05,-5.235602094240832
2020-03-26,600589.SH,7.59,6.61,-12.911725955204211
2020-03-26,300299.SZ,6.3,5.76,-8.571428571428575
2020-03-26,002398.SZ,8.51,7.94,-6.698002350176258
2020-03-26,002471.SZ,2.99,2.69,-10.033444816053516
2020-03-26,002342.SZ,3.72,3.36,-9.677419354838722
2020-03-26,000721.SZ,4.78,4.54,-5.020920502092052
2020-03-26,603278.SH,10.6,9.95,-6.132075471698117
2020-03-27,603618.SH,6.36,5.95,-6.446540880503148
2020-03-27,300187.SZ,5.53,5.16,-6.690777576853524
