date,code,action,reason,price,shares,pnl_pct
2020-02-28,600267.SH,买入,金叉,14.91,100,0.0
2020-02-28,002062.SZ,买入,金叉,4.54,400,0.0
2020-02-28,002713.SZ,买入,金叉,8.37,200,0.0
2020-02-28,000973.SZ,买入,金叉,5.6,300,0.0
2020-02-28,600636.SH,买入,金叉,13.6,100,0.0
2020-02-28,002517.SZ,买入,金叉,3.37,400,0.0
2020-02-28,601718.SH,买入,金叉,4.72,300,0.0
2020-02-28,002131.SZ,买入,金叉,3.91,400,0.0
2020-02-28,603223.SH,买入,金叉,7.89,100,0.0
2020-02-28,300159.SZ,买入,金叉,4.85,300,0.0
2020-02-28,300098.SZ,买入,金叉,6.65,200,0.0
2020-02-28,002436.SZ,买入,金叉,13.17,100,0.0
2020-02-28,000510.SZ,买入,金叉,5.14,200,0.0
2020-03-02,002541.SZ,买入,金叉,13.11,100,0.0
2020-03-02,002288.SZ,买入,金叉,5.82,200,0.0
2020-03-02,600586.SH,买入,金叉,3.22,400,0.0
2020-03-02,600297.SH,买入,金叉,4.31,300,0.0
2020-03-02,002006.SZ,买入,金叉,5.24,200,0.0
2020-03-02,300422.SZ,买入,金叉,12.62,100,0.0
2020-03-02,600069.SH,买入,金叉,2.36,500,0.0
2020-03-02,600143.SH,买入,金叉,10.72,100,0.0
2020-03-02,002208.SZ,买入,金叉,7.76,100,0.0
2020-03-02,600105.SH,买入,金叉,4.84,200,0.0
2020-03-02,600096.SH,买入,金叉,6.03,100,0.0
2020-03-02,300063.SZ,买入,金叉,4.63,200,0.0
2020-03-02,600418.SH,买入,金叉,5.7,100,0.0
2020-03-02,000819.SZ,买入,金叉,9.57,100,0.0
2020-03-02,300055.SZ,买入,金叉,7.55,100,0.0
2020-03-02,000608.SZ,买入,金叉,5.42,100,0.0
2020-03-03,603809.SH,买入,金叉,12.7,100,0.0
2020-03-03,002077.SZ,买入,金叉,7.2,100,0.0
2020-03-03,002672.SZ,买入,金叉,10.94,100,0.0
2020-03-03,600875.SH,买入,金叉,10.06,100,0.0
2020-03-03,002611.SZ,买入,金叉,5.27,200,0.0
