date,value,n_pos
2020-01-02,1000000.0,0
2020-01-03,1000000.0,0
2020-01-06,1000000.0,0
2020-01-07,1000000.0,0
2020-01-08,1000000.0,0
2020-01-09,1000000.0,0
2020-01-10,1000000.0,0
2020-01-13,1000000.0,0
2020-01-14,1000000.0,0
2020-01-15,1000000.0,0
2020-01-16,1000000.0,0
2020-01-17,1000000.0,0
2020-01-20,1000000.0,0
2020-01-21,1000000.0,0
2020-01-22,1000000.0,0
2020-01-23,1000000.0,0
2020-02-03,1000000.0,0
2020-02-04,1000000.0,0
2020-02-05,1000000.0,0
2020-02-06,1000000.0,0
2020-02-07,1000000.0,0
2020-02-10,1000000.0,0
2020-02-11,1000000.0,0
2020-02-12,1000000.0,0
2020-02-13,1000000.0,0
2020-02-14,1000000.0,0
2020-02-17,1000000.0,0
2020-02-18,1000000.0,0
2020-02-19,1000000.0,0
2020-02-20,999928.3375,1
2020-02-21,1000294.1955,2
2020-02-24,1000540.1955,2
2020-02-25,1000042.4955000001,3
2020-02-26,998333.0855,2
2020-02-27,997649.2035000001,4
2020-02-28,992828.665,6
2020-03-02,1001650.665,6
2020-03-03,1003526.9457500001,7
2020-03-04,1001789.9457500001,7
2020-03-05,1002322.79575,6
2020-03-06,1001614.9595,9
2020-03-09,992085.9595,9
2020-03-10,996795.46575,15
2020-03-11,985800.6642499999,18
2020-03-12,972664.2577499999,16
2020-03-13,971051.6279999998,16
2020-03-16,947106.4324999998,13
2020-03-17,942056.8429999996,16
2020-03-18,932670.6687499997,16
2020-03-19,918600.3692499998,15
2020-03-20,921763.2167499997,30
2020-03-23,882101.4937499997,26
2020-03-24,894378.6302499997,30
2020-03-25,916363.6302499997,30
2020-03-26,902774.6302499997,30
2020-03-27,902726.6302499997,30
2020-03-30,886946.5752499998,30
2020-03-31,890829.2049999996,30
2020-04-01,883253.9869999997,30
2020-04-02,894185.9869999997,30
2020-04-03,885987.9869999997,30
2020-04-07,912748.9869999997,30
2020-04-08,913104.9869999997,30
2020-04-09,927601.9869999997,30
2020-04-10,913776.9869999997,30
2020-04-13,908657.9869999997,30
2020-04-14,928650.9869999997,30
2020-04-15,918986.9869999997,30
2020-04-16,916667.9869999997,30
2020-04-17,926856.9869999997,30
2020-04-20,937035.9869999997,30
2020-04-21,932174.9869999997,30
2020-04-22,931632.9869999997,30
2020-04-23,925373.6154999996,30
2020-04-24,881505.3709999997,30
2020-04-27,880518.3709999997,30
2020-04-28,871788.6769999997,30
2020-04-29,873133.3209999996,30
2020-04-30,882457.3209999996,30
2020-05-06,885665.3209999996,30
2020-05-07,885472.3209999996,30
2020-05-08,892106.3209999996,30
2020-05-11,891025.3209999996,30
2020-05-12,890142.3209999996,30
2020-05-13,897632.3209999996,30
2020-05-14,886743.3209999996,30
2020-05-15,880827.3209999996,30
2020-05-18,883766.8669999996,29
2020-05-19,891281.8669999996,29
2020-05-20,881161.5409999997,29
2020-05-21,868938.6224999996,28
2020-05-22,856342.1104999997,26
2020-05-25,850652.1104999997,26
2020-05-26,861308.3824999996,27
2020-05-27,856104.6714999997,26
2020-05-28,852733.3114999996,25
2020-05-29,851378.4867499997,26
2020-06-01,877546.4867499997,26
2020-06-02,876674.4867499997,26
2020-06-03,874364.4867499997,26
2020-06-04,885868.4867499997,26
2020-06-05,887276.4867499997,26
2020-06-08,885858.3647499997,25
2020-06-09,892240.3647499997,25
2020-06-10,889924.6022499996,24
2020-06-11,878433.6022499996,24
2020-06-12,875587.6022499996,24
2020-06-15,873950.6022499996,24
2020-06-16,885660.6512499996,23
2020-06-17,887800.1772499997,22
2020-06-18,911825.5572499996,15
2020-06-19,885449.9667499997,13
2020-06-22,883883.2314999996,10
2020-06-23,881978.2314999996,10
2020-06-24,879129.9274999996,10
2020-06-29,875561.7052499996,11
2020-06-30,880245.8177499996,11
2020-07-01,883272.1777499996,10
2020-07-02,887959.1777499996,10
2020-07-03,890049.1777499996,10
2020-07-06,901344.1777499996,10
2020-07-07,905471.1777499996,10
2020-07-08,939941.1777499996,10
2020-07-09,918022.1777499996,10
2020-07-10,917414.1777499996,10
2020-07-13,925896.1777499996,10
2020-07-14,917740.1777499996,10
2020-07-15,905575.8297499996,11
2020-07-16,889941.8504999996,12
2020-07-17,890945.1834999996,12
2020-07-20,931072.6204999995,14
2020-07-21,900858.5399999996,16
2020-07-22,898211.8254999996,18
2020-07-23,908154.8254999996,17
2020-07-24,883498.5267499995,16
2020-07-27,890676.1092499995,18
2020-07-28,893111.8002499994,22
