date,value,n_pos
2020-01-02,1000000.0,0
2020-01-03,1000000.0,0
2020-01-06,1000000.0,0
2020-01-07,1000000.0,0
2020-01-08,1000000.0,0
2020-01-09,1000000.0,0
2020-01-10,1000000.0,0
2020-01-13,1000000.0,0
2020-01-14,1000000.0,0
2020-01-15,1000000.0,0
2020-01-16,1000000.0,0
2020-01-17,1000000.0,0
2020-01-20,1000000.0,0
2020-01-21,1000000.0,0
2020-01-22,1000000.0,0
2020-01-23,1000000.0,0
2020-02-03,1000000.0,0
2020-02-04,1000000.0,0
2020-02-05,1000000.0,0
2020-02-06,1000000.0,0
2020-02-07,999364.25145,22
2020-02-10,1009124.25145,22
2020-02-11,1009188.25145,22
2020-02-12,1013457.25145,22
2020-02-13,1010294.25145,22
2020-02-14,1009897.4785500002,23
2020-02-17,1018156.4785500002,23
2020-02-18,1021891.4785500002,23
2020-02-19,1014639.5285500003,22
2020-02-20,1015268.5285500003,22
2020-02-21,1014480.4161,24
2020-02-24,1018934.4161,24
2020-02-25,1024146.4161,24
2020-02-26,1012675.80415,23
2020-02-27,1010128.44615,22
2020-02-28,1001264.8059500001,24
2020-03-02,1012664.8059500001,24
2020-03-03,1018871.8059500001,24
2020-03-04,1016812.8059500001,24
2020-03-05,1020829.8059500001,24
2020-03-06,1015129.7321499999,24
2020-03-09,999094.3674999999,13
2020-03-10,1000002.3674999999,13
2020-03-11,996736.1911999999,12
2020-03-12,995046.9040499997,7
2020-03-13,993125.7850999997,23
2020-03-16,980576.7344999997,14
2020-03-17,978018.8393999997,12
2020-03-18,975624.8353499997,7
2020-03-19,975715.8353499997,7
2020-03-20,977305.1326499998,22
2020-03-23,960186.3006999997,14
2020-03-24,964655.3416999996,13
2020-03-25,969655.3416999996,13
2020-03-26,970262.3416999996,13
2020-03-27,969175.1546499997,22
2020-03-30,954849.9803499996,17
2020-03-31,955766.9586499996,16
2020-04-01,957236.3949499995,15
2020-04-02,964626.3949499995,15
2020-04-03,960648.0734999994,21
2020-04-07,966029.3146999994,20
2020-04-08,967149.3146999994,20
2020-04-09,970963.3146999994,20
2020-04-10,964018.4736999994,19
2020-04-13,959578.6100499994,22
2020-04-14,965976.6100499994,22
2020-04-15,965235.6100499994,22
2020-04-16,965517.6100499994,22
2020-04-17,968243.6100499994,22
2020-04-20,967911.9334999997,21
2020-04-21,967730.9334999997,21
2020-04-22,969731.9334999997,21
2020-04-23,968014.9334999997,21
2020-04-24,955534.9432499997,20
2020-04-27,951131.9197499999,20
2020-04-28,933277.7501499999,18
2020-04-29,934096.9431499998,17
2020-04-30,939268.9431499998,17
2020-05-06,942544.9431499998,17
2020-05-07,943307.1593999995,20
2020-05-08,945764.8156499995,19
2020-05-11,947963.8156499995,19
2020-05-12,948792.8156499995,19
2020-05-13,951043.8156499995,19
2020-05-14,950424.2780999996,20
2020-05-15,949801.2780999996,20
2020-05-18,945539.8160999997,19
2020-05-19,947217.8160999997,19
2020-05-20,944180.6126499997,17
2020-05-21,941698.9072999996,21
2020-05-22,936566.0592999996,20
2020-05-25,934804.2447999995,18
2020-05-26,940833.2447999995,18
2020-05-27,939681.2447999995,18
2020-05-28,936464.9524499995,19
2020-05-29,938200.6874999995,18
2020-06-01,947427.6874999995,18
2020-06-02,936552.6874999995,18
2020-06-03,935169.6874999995,18
2020-06-04,936003.2874499996,20
2020-06-05,936864.2874499996,20
2020-06-08,936791.2874499996,20
2020-06-09,937599.2874499996,20
2020-06-10,937111.9950499996,19
2020-06-11,937542.5792499993,20
2020-06-12,938140.5792499993,20
2020-06-15,937882.5792499993,20
2020-06-16,941879.5792499993,20
2020-06-17,944502.5792499993,20
2020-06-18,942338.8036999996,20
2020-06-19,942509.8036999996,20
2020-06-22,944307.8036999996,20
2020-06-23,946041.8036999996,20
2020-06-24,946027.8036999996,20
2020-06-29,947717.8166999996,21
2020-06-30,955484.8166999996,21
2020-07-01,955222.8166999996,21
2020-07-02,954329.9035999996,20
2020-07-03,956627.9035999996,20
2020-07-06,959979.5215999995,21
2020-07-07,963629.5215999995,21
2020-07-08,967109.5215999995,21
2020-07-09,976048.5215999995,21
2020-07-10,978362.5215999995,21
2020-07-13,984961.3962999998,22
2020-07-14,986834.3962999998,22
2020-07-15,983199.9437999998,21
2020-07-16,967803.7364499999,12
2020-07-17,969705.6933499998,10
2020-07-20,972874.75925,23
2020-07-21,978612.75925,23
2020-07-22,977681.75925,23
2020-07-23,972732.75925,23
2020-07-24,955615.3920500003,13
