date,code,reason,pnl
2020-02-07,300473.SZ,买入,0.0
2020-02-07,603021.SH,买入,0.0
2020-02-07,000678.SZ,买入,0.0
2020-02-07,002830.SZ,买入,0.0
2020-02-07,002829.SZ,买入,0.0
2020-02-07,300509.SZ,买入,0.0
2020-02-07,300681.SZ,买入,0.0
2020-02-07,000668.SZ,买入,0.0
2020-02-07,300208.SZ,买入,0.0
2020-02-07,600774.SH,买入,0.0
2020-02-07,000151.SZ,买入,0.0
2020-02-07,002789.SZ,买入,0.0
2020-02-07,300742.SZ,买入,0.0
2020-02-07,000596.SZ,买入,0.0
2020-02-07,603616.SH,买入,0.0
2020-02-07,603992.SH,买入,0.0
2020-02-07,600617.SH,买入,0.0
2020-02-07,002753.SZ,买入,0.0
2020-02-07,002568.SZ,买入,0.0
2020-02-07,300789.SZ,买入,0.0
2020-02-07,603706.SH,买入,0.0
2020-02-07,300518.SZ,买入,0.0
2020-02-14,300473.SZ,到期,-3.0878859857482177
2020-02-14,603021.SH,到期,2.808112324492984
2020-02-14,000678.SZ,到期,1.2727272727272698
2020-02-14,002830.SZ,到期,2.8673835125448077
2020-02-14,002829.SZ,到期,33.91684901531728
2020-02-14,300509.SZ,到期,5.652759084791392
2020-02-14,300681.SZ,到期,-1.3377926421404673
2020-02-14,000668.SZ,到期,1.7316017316017174
2020-02-14,300208.SZ,到期,1.6697588126159735
2020-02-14,600774.SH,到期,5.696202531645556
2020-02-14,000151.SZ,到期,1.6990291262136026
2020-02-14,002789.SZ,到期,2.600297176820199
2020-02-14,300742.SZ,到期,1.2486427795873833
2020-02-14,000596.SZ,到期,-0.801439319594377
2020-02-14,603616.SH,到期,2.507374631268444
2020-02-14,603992.SH,到期,7.010834926704912
2020-02-14,600617.SH,到期,1.754385964912264
2020-02-14,002753.SZ,到期,6.103286384976525
2020-02-14,002568.SZ,到期,13.632478632478628
2020-02-14,300789.SZ,到期,0.06904170118751107
2020-02-14,603706.SH,到期,3.0248033877797953
2020-02-14,300518.SZ,到期,-2.2346368715083775
2020-02-14,603811.SH,买入,0.0
2020-02-14,300801.SZ,买入,0.0
2020-02-14,688369.SH,买入,0.0
2020-02-14,300442.SZ,买入,0.0
2020-02-14,688022.SH,买入,0.0
2020-02-14,600493.SH,买入,0.0
2020-02-14,688068.SH,买入,0.0
2020-02-14,000028.SZ,买入,0.0
2020-02-14,600250.SH,买入,0.0
2020-02-14,000534.SZ,买入,0.0
2020-02-14,688399.SH,买入,0.0
2020-02-14,688202.SH,买入,0.0
2020-02-14,300151.SZ,买入,0.0
2020-02-14,600889.SH,买入,0.0
2020-02-14,300533.SZ,买入,0.0
2020-02-14,002864.SZ,买入,0.0
2020-02-14,603883.SH,买入,0.0
2020-02-14,603867.SH,买入,0.0
2020-02-14,300516.SZ,买入,0.0
2020-02-14,603233.SH,买入,0.0
2020-02-14,300753.SZ,买入,0.0
2020-02-14,603976.SH,买入,0.0
2020-02-14,600551.SH,买入,0.0
2020-02-19,688068.SH,止损,-7.195888063963462
2020-02-21,603811.SH,到期,-0.18960940462646736
2020-02-21,300801.SZ,到期,-0.3284487114704304
2020-02-21,688369.SH,到期,-4.483915041609732
2020-02-21,300442.SZ,到期,6.115317414094323
2020-02-21,688022.SH,到期,-3.474114441416898
2020-02-21,600493.SH,到期,4.166666666666674
2020-02-21,000028.SZ,到期,-1.4046121593291439
2020-02-21,600250.SH,到期,6.238185255198481
2020-02-21,000534.SZ,到期,11.350737797956857
2020-02-21,688399.SH,到期,-6.811751904243746
2020-02-21,688202.SH,到期,-1.5058179329226484
2020-02-21,300151.SZ,到期,6.385696040868449
2020-02-21,600889.SH,到期,7.7448747152619735
2020-02-21,300533.SZ,到期,4.933333333333345
2020-02-21,002864.SZ,到期,2.2967553773241
2020-02-21,603883.SH,到期,1.5544780376497203
2020-02-21,603867.SH,到期,7.039627039627039
2020-02-21,300516.SZ,到期,4.722792607802884
2020-02-21,603233.SH,到期,-0.5272727272727207
2020-02-21,300753.SZ,到期,1.2538495380554293
2020-02-21,603976.SH,到期,7.594936708860756
2020-02-21,600551.SH,到期,3.4793814432989567
2020-02-21,688037.SH,买入,0.0
2020-02-21,688068.SH,买入,0.0
2020-02-21,300636.SZ,买入,0.0
2020-02-21,603822.SH,买入,0.0
2020-02-21,603229.SH,买入,0.0
2020-02-21,688399.SH,买入,0.0
2020-02-21,688310.SH,买入,0.0
2020-02-21,002880.SZ,买入,0.0
2020-02-21,603566.SH,买入,0.0
2020-02-21,600389.SH,买入,0.0
2020-02-21,688369.SH,买入,0.0
2020-02-21,688025.SH,买入,0.0
2020-02-21,603786.SH,买入,0.0
2020-02-21,002193.SZ,买入,0.0
2020-02-21,603639.SH,买入,0.0
2020-02-21,688022.SH,买入,0.0
2020-02-21,002968.SZ,买入,0.0
2020-02-21,300633.SZ,买入,0.0
2020-02-21,603730.SH,买入,0.0
2020-02-21,300771.SZ,买入,0.0
2020-02-21,688198.SH,买入,0.0
2020-02-21,300298.SZ,买入,0.0
2020-02-21,603755.SH,买入,0.0
2020-02-21,002846.SZ,买入,0.0
2020-02-26,603730.SH,止损,-7.479892761394103
2020-02-27,688025.SH,止损,-7.263681592039795
2020-02-28,688037.SH,到期,-15.38214515093127
2020-02-28,688068.SH,到期,4.707792207792205
2020-02-28,300636.SZ,到期,-6.9272322847156005
2020-02-28,603822.SH,到期,-7.270560190703224
2020-02-28,603229.SH,到期,-6.18762475049901
2020-02-28,688399.SH,到期,11.513311536665105
2020-02-28,688310.SH,到期,-7.331628303495307
2020-02-28,002880.SZ,到期,-3.1773632627252524
2020-02-28,603566.SH,到期,5.6900726392251855
2020-02-28,600389.SH,到期,-6.070745697896762
2020-02-28,688369.SH,到期,0.27308192457735636
2020-02-28,603786.SH,到期,-2.0155951154921303
2020-02-28,002193.SZ,到期,-5.52631578947368
2020-02-28,603639.SH,到期,-3.579766536964979
2020-02-28,688022.SH,到期,-12.614678899082566
2020-02-28,002968.SZ,到期,-10.880829015544036
2020-02-28,300633.SZ,到期,-3.4550451511582203
2020-02-28,300771.SZ,到期,-5.560655737704911
2020-02-28,688198.SH,到期,-6.351084812623286
2020-02-28,300298.SZ,到期,5.616438356164388
2020-02-28,603755.SH,到期,0.5864414731409751
2020-02-28,002846.SZ,到期,-7.834101382488479
2020-02-28,300769.SZ,买入,0.0
2020-02-28,688268.SH,买入,0.0
2020-02-28,688368.SH,买入,0.0
2020-02-28,688168.SH,买入,0.0
2020-02-28,603429.SH,买入,0.0
2020-02-28,688028.SH,买入,0.0
2020-02-28,688088.SH,买入,0.0
2020-02-28,603489.SH,买入,0.0
2020-02-28,300790.SZ,买入,0.0
2020-02-28,603068.SH,买入,0.0
2020-02-28,603938.SH,买入,0.0
2020-02-28,688099.SH,买入,0.0
2020-02-28,300763.SZ,买入,0.0
2020-02-28,603383.SH,买入,0.0
2020-02-28,300787.SZ,买入,0.0
2020-02-28,688333.SH,买入,0.0
2020-02-28,603129.SH,买入,0.0
2020-02-28,688011.SH,买入,0.0
2020-02-28,688122.SH,买入,0.0
2020-02-28,300807.SZ,买入,0.0
2020-02-28,603232.SH,买入,0.0
2020-02-28,300810.SZ,买入,0.0
2020-02-28,688181.SH,买入,0.0
2020-02-28,300416.SZ,买入,0.0
2020-03-06,300769.SZ,到期,6.769230769230772
2020-03-06,688268.SH,到期,2.5552258489943913
2020-03-06,688368.SH,到期,2.5116490510285416
2020-03-06,688168.SH,到期,6.8968761761385
2020-03-06,603429.SH,到期,1.2030075187970057
2020-03-06,688028.SH,到期,6.310344827586212
2020-03-06,688088.SH,到期,3.6848237692979957
2020-03-06,603489.SH,到期,4.555084745762716
2020-03-06,300790.SZ,到期,6.4398857439626145
2020-03-06,603068.SH,到期,2.7583449930041803
2020-03-06,603938.SH,到期,3.7944118661607407
2020-03-06,688099.SH,到期,5.699565287393349
2020-03-06,300763.SZ,到期,3.4157650695517683
2020-03-06,603383.SH,到期,2.9226947245360124
2020-03-06,300787.SZ,到期,7.976291278577485
2020-03-06,688333.SH,到期,16.472727272727283
2020-03-06,603129.SH,到期,11.510245383253226
2020-03-06,688011.SH,到期,6.5645514223194645
2020-03-06,688122.SH,到期,11.205915813424362
2020-03-06,300807.SZ,到期,11.66666666666667
2020-03-06,603232.SH,到期,-4.022866821935212
2020-03-06,300810.SZ,到期,14.589235127478762
2020-03-06,688181.SH,到期,6.049406730208151
2020-03-06,300416.SZ,到期,0.14124293785311437
2020-03-06,300596.SZ,买入,0.0
2020-03-06,002780.SZ,买入,0.0
2020-03-06,300709.SZ,买入,0.0
2020-03-06,688399.SH,买入,0.0
2020-03-06,603079.SH,买入,0.0
2020-03-06,002876.SZ,买入,0.0
2020-03-06,002729.SZ,买入,0.0
2020-03-06,002042.SZ,买入,0.0
2020-03-06,002850.SZ,买入,0.0
2020-03-06,300799.SZ,买入,0.0
2020-03-06,688068.SH,买入,0.0
2020-03-06,300548.SZ,买入,0.0
2020-03-06,603232.SH,买入,0.0
2020-03-06,603516.SH,买入,0.0
2020-03-06,002856.SZ,买入,0.0
2020-03-06,002791.SZ,买入,0.0
2020-03-06,002777.SZ,买入,0.0
2020-03-06,688021.SH,买入,0.0
2020-03-06,603659.SH,买入,0.0
2020-03-06,688369.SH,买入,0.0
2020-03-06,300616.SZ,买入,0.0
2020-03-06,300791.SZ,买入,0.0
2020-03-06,300487.SZ,买入,0.0
2020-03-06,300174.SZ,买入,0.0
2020-03-09,300709.SZ,止损,-9.999999999999998
2020-03-09,688399.SH,止损,-7.710306406685241
2020-03-09,002876.SZ,止损,-7.341231307049911
2020-03-09,002850.SZ,止损,-8.608932833276505
2020-03-09,300799.SZ,止损,-8.047053924630443
2020-03-09,300548.SZ,止损,-10.000000000000009
2020-03-09,603232.SH,止损,-7.478491065519521
2020-03-09,603516.SH,止损,-8.05047867711054
2020-03-09,002791.SZ,止损,-7.941231169797291
2020-03-09,002777.SZ,止损,-8.068081343943412
2020-03-09,688369.SH,止损,-7.30708245243129
