date,code,strategy,reason,pnl
2020-02-10,002580.SZ,红利低波,买入,0.0
2020-02-10,002264.SZ,红利低波,买入,0.0
2020-02-10,002357.SZ,红利低波,买入,0.0
2020-02-10,600900.SH,红利低波,买入,0.0
2020-02-10,002570.SZ,红利低波,买入,0.0
2020-02-10,300660.SZ,红利低波,买入,0.0
2020-02-10,002043.SZ,红利低波,买入,0.0
2020-02-10,300697.SZ,红利低波,买入,0.0
2020-02-10,300529.SZ,红利低波,买入,0.0
2020-02-10,603297.SH,红利低波,买入,0.0
2020-02-10,600776.SH,红利低波,买入,0.0
2020-02-10,603868.SH,红利低波,买入,0.0
2020-02-10,601567.SH,红利低波,买入,0.0
2020-02-10,600763.SH,红利低波,买入,0.0
2020-02-10,603115.SH,红利低波,买入,0.0
2020-02-10,603379.SH,红利低波,买入,0.0
2020-02-10,000088.SZ,红利低波,买入,0.0
2020-02-17,300783.SZ,红利低波,买入,0.0
2020-02-24,002580.SZ,红利低波,调仓,13.524590163934436
2020-02-24,002357.SZ,红利低波,调仓,13.10211946050095
2020-02-24,603297.SH,红利低波,调仓,23.936781609195414
2020-02-24,600776.SH,红利低波,调仓,20.994475138121537
2020-02-24,603115.SH,红利低波,调仓,21.3077790304397
2020-02-24,603379.SH,红利低波,调仓,22.878692646134514
2020-02-24,300783.SZ,红利低波,调仓,14.722175591740804
2020-02-24,000963.SZ,红利低波,买入,0.0
2020-02-24,000893.SZ,红利低波,买入,0.0
2020-02-24,300015.SZ,红利低波,买入,0.0
2020-02-24,000933.SZ,红利低波,买入,0.0
2020-02-24,000807.SZ,红利低波,买入,0.0
2020-02-24,300628.SZ,红利低波,买入,0.0
2020-02-24,000568.SZ,红利低波,买入,0.0
2020-02-24,000400.SZ,红利低波,买入,0.0
2020-03-02,000400.SZ,红利低波,调仓,9.304274937133282
2020-03-02,300251.SZ,红利低波,买入,0.0
2020-03-02,603551.SH,红利低波,买入,0.0
2020-03-09,002570.SZ,红利低波,调仓,12.199630314232902
2020-03-09,002043.SZ,红利低波,调仓,11.111111111111116
2020-03-09,603551.SH,红利低波,调仓,-1.6241299303944134
2020-03-09,600506.SH,红利低波,买入,0.0
2020-03-09,002357.SZ,红利低波,买入,0.0
2020-03-09,300181.SZ,红利低波,买入,0.0
2020-03-13,300628.SZ,红利低波,止损,-12.01923076923077
2020-03-16,000933.SZ,红利低波,止损,-12.474012474012463
2020-03-16,000807.SZ,红利低波,止损,-13.034188034188022
2020-03-16,300251.SZ,红利低波,止损,-15.078630897317302
2020-03-16,002357.SZ,红利低波,调仓,7.194244604316546
2020-03-16,300251.SZ,红利低波,买入,0.0
2020-03-16,603551.SH,红利低波,买入,0.0
2020-03-16,600863.SH,红利低波,买入,0.0
2020-03-17,000963.SZ,红利低波,止损,-13.070942662779384
2020-03-18,000568.SZ,红利低波,止损,-13.981013438540257
2020-03-19,300015.SZ,红利低波,止损,-15.690866510538648
2020-03-23,300697.SZ,红利低波,调仓,20.68181818181818
2020-03-23,600506.SH,红利低波,调仓,-9.172259507829983
2020-03-23,000963.SZ,红利低波,买入,0.0
2020-03-23,600776.SH,红利低波,买入,0.0
2020-03-23,300015.SZ,红利低波,买入,0.0
2020-03-23,000933.SZ,红利低波,买入,0.0
2020-03-30,002264.SZ,红利低波,调仓,-3.8202247191011174
2020-03-30,300529.SZ,红利低波,调仓,4.798551380715255
2020-03-30,300181.SZ,红利低波,调仓,4.036697247706411
2020-03-30,300251.SZ,红利低波,调仓,-1.1982570806100101
2020-03-30,603551.SH,红利低波,调仓,20.72409488139826
2020-03-30,300015.SZ,红利低波,调仓,11.549707602339176
2020-03-30,603115.SH,红利低波,买入,0.0
2020-03-30,603379.SH,红利低波,买入,0.0
2020-03-30,000807.SZ,红利低波,买入,0.0
2020-03-30,600389.SH,红利低波,买入,0.0
2020-03-30,002478.SZ,红利低波,买入,0.0
2020-03-30,300705.SZ,红利低波,买入,0.0
2020-03-30,000888.SZ,红利低波,买入,0.0
2020-03-30,603277.SH,红利低波,买入,0.0
2020-04-07,601567.SH,红利低波,调仓,-3.0729833546734864
2020-04-07,600763.SH,红利低波,调仓,10.935920760056606
