date,open,high,low,close,volume,amount
2021-02-04,0.98,0.991,0.951,0.968,1587134,154098109.0
2021-02-05,0.975,0.993,0.949,0.953,1929955,187187129.0
2021-02-08,0.951,0.963,0.92,0.962,1181278,111560429.0
2021-02-09,0.962,0.999,0.962,0.997,1441479,142511148.0
2021-02-10,1.0,1.02,0.989,1.015,2734522,275949061.99999994
2021-02-18,1.045,1.047,0.992,1.005,1812204,183132988.0
2021-02-19,0.993,1.0,0.96,0.99,1857902,181670106.0
2021-02-22,0.988,1.01,0.971,0.971,1637359,162027504.0
2021-02-23,0.97,0.975,0.948,0.965,1119688,107846773.0
2021-02-24,0.961,0.967,0.907,0.918,2682099,249837494.00000003
2021-02-25,0.93,0.936,0.903,0.909,1282909,117489985.0
2021-02-26,0.893,0.899,0.87,0.893,1335074,118342460.0
2021-03-01,0.902,0.928,0.902,0.923,1076167,98642338.0
2021-03-02,0.93,0.935,0.908,0.92,1075153,99254314.0
2021-03-03,0.915,0.922,0.899,0.922,902242,82131675.0
2021-03-04,0.915,0.915,0.858,0.862,2884824,252578435.0
2021-03-05,0.842,0.87,0.834,0.861,1118466,95437925.0
2021-03-08,0.864,0.87,0.813,0.814,1383493,116072708.0
2021-03-09,0.812,0.825,0.775,0.797,1237786,99196308.0
2021-03-10,0.818,0.827,0.804,0.808,930252,75795748.0
2021-03-11,0.81,0.839,0.805,0.836,1249107,103356098.0
2021-03-12,0.843,0.855,0.831,0.849,1051160,88811464.00000001
2021-03-15,0.849,0.85,0.808,0.818,965807,79425532.0
2021-03-16,0.816,0.826,0.804,0.82,645402,52734405.00000001
2021-03-17,0.819,0.835,0.803,0.833,746144,61602253.0
2021-03-18,0.833,0.846,0.832,0.843,637039,53534410.0
2021-03-19,0.825,0.831,0.81,0.817,822718,67414254.0
2021-03-22,0.815,0.835,0.815,0.829,651115,53901185.0
2021-03-23,0.829,0.829,0.798,0.805,1254544,101230207.0
2021-03-24,0.8,0.809,0.784,0.789,891716,70584546.0
2021-03-25,0.781,0.794,0.772,0.79,643425,50384184.00000001
