thr,N,mode,label,delta_pp,t,mark
58.0,5,none,无止损(纯alpha上界),-0.03449887175029343,-0.40422234403258983,
58.0,5,live_trail,实盘口径:-7%+8%追盈+15%,-0.040888744252658184,-0.8794246043316173,
58.0,5,atr25,ATR自适应 2.0/2.5,-0.014194593636742215,-0.17174214180035155,
58.0,5,atr20,ATR自适应 2.0/2.0,-0.010839174752248309,-0.1277967494450821,
58.0,5,atr30,ATR自适应 3.0/3.0,0.006982445676660622,0.07740315467255725,
58.0,5,time,时间止损(过半不盈换股),-0.16411083014348843,-1.7720314479525052,
58.0,5,ma5,跌破MA5 + -7%止损,-0.21040188446162358,-1.9773847391507524,*
58.0,10,none,无止损(纯alpha上界),-0.046608547789450935,-0.5078276327186904,
58.0,10,live_trail,实盘口径:-7%+8%追盈+15%,0.14977120377006878,1.7429535696687404,
58.0,10,atr25,ATR自适应 2.0/2.5,-0.048269053382010235,-0.49073686022263824,
58.0,10,atr20,ATR自适应 2.0/2.0,0.11120769800397971,1.073388754618684,
58.0,10,atr30,ATR自适应 3.0/3.0,0.03604077679604669,0.3406153649035428,
58.0,10,time,时间止损(过半不盈换股),-0.1390094789318751,-1.5260609111977774,
58.0,10,ma5,跌破MA5 + -7%止损,-0.18290555995894192,-1.7602505831623865,
60.0,5,none,无止损(纯alpha上界),0.0025130387837922884,0.03400057426319323,
60.0,5,live_trail,实盘口径:-7%+8%追盈+15%,-0.01016538456733808,-0.42711958860714777,
60.0,5,atr25,ATR自适应 2.0/2.5,-0.07085831338935802,-1.1383791312272922,
60.0,5,atr20,ATR自适应 2.0/2.0,-0.04836177487985304,-0.754149305771704,
60.0,5,atr30,ATR自适应 3.0/3.0,-0.061008452077491074,-0.856164299126812,
60.0,5,time,时间止损(过半不盈换股),-0.1363302424612281,-1.4393939734375087,
60.0,5,ma5,跌破MA5 + -7%止损,-0.18407557818223666,-1.6074786487520467,
60.0,10,none,无止损(纯alpha上界),-0.006578277539462235,-0.07060194619707527,
60.0,10,live_trail,实盘口径:-7%+8%追盈+15%,0.11719740089439822,1.722338327408241,
60.0,10,atr25,ATR自适应 2.0/2.5,0.027743049229305896,0.2904032699757523,
60.0,10,atr20,ATR自适应 2.0/2.0,0.07146439907424523,0.7523754765156929,
60.0,10,atr30,ATR自适应 3.0/3.0,0.09738011630558531,1.0434948463085778,
60.0,10,time,时间止损(过半不盈换股),-0.016910979933904627,-0.16135188890190627,
60.0,10,ma5,跌破MA5 + -7%止损,-0.12893948398069735,-1.2347628406572921,
