open,close,open_next,open_next2,up_limit_next,vol_next,limit_up_t,oneword_next,ts_code,trade_date,T_intraday,overnight_gap,exec1
31.46,29.91,29.85,30.08,35.89,84638.42,False,False,301358.SZ,2024-07-01,-0.049268912905276574,-0.0020060180541624506,0.007705192629815727
31.19,32.06,32.3,32.4,35.27,4493.0,False,False,603307.SH,2024-07-01,0.0278935556268034,0.007485963817841279,0.003095975232198178
120.02,115.08,115.5,112.66,138.1,10489.78,False,False,300751.SZ,2024-07-02,-0.04115980669888353,0.0036496350364962904,-0.024588744588744604
38.01,37.06,37.01,35.52,44.47,40957.64,False,False,300633.SZ,2024-07-02,-0.024993422783477937,-0.001349163518618579,-0.04025938935422846
37.01,35.79,35.52,34.5,42.95,54431.0,False,False,300633.SZ,2024-07-03,-0.03296406376654959,-0.00754400670578359,-0.02871621621621634
11.28,11.2,11.2,10.63,13.44,10488.0,False,False,301288.SZ,2024-07-03,-0.007092198581560294,0.0,-0.05089285714285696
35.52,34.61,34.5,35.38,41.53,59585.86,False,False,300633.SZ,2024-07-04,-0.025619369369369482,-0.0031782721756717924,0.025507246376811565
7.55,7.41,7.36,7.38,8.89,48892.0,False,False,300320.SZ,2024-07-04,-0.018543046357615833,-0.006747638326585648,0.0027173913043476716
15.0,15.18,15.19,14.66,18.22,3867.05,False,False,300983.SZ,2024-07-05,0.01200000000000001,0.0006587615283266679,-0.03489137590520075
10.63,10.91,10.81,10.49,13.09,9197.0,False,False,301288.SZ,2024-07-05,0.026340545625587852,-0.009165902841429818,-0.029602220166512483
9.88,9.88,7.9,7.43,11.86,858611.16,False,False,300630.SZ,2024-07-08,0.0,-0.2004048582995952,-0.059493670886076044
10.37,9.88,9.88,9.99,10.87,535856.98,False,False,601881.SH,2024-07-08,-0.04725168756026987,0.0,0.011133603238866252
5.84,5.8,5.79,5.75,6.38,56311.68,False,False,000726.SZ,2024-07-09,-0.006849315068493178,-0.0017241379310344307,-0.006908462867012077
14.66,15.18,15.14,15.32,18.22,3669.06,False,False,300983.SZ,2024-07-09,0.03547066848567537,-0.0026350461133068936,0.011889035667107084
5.79,5.68,5.75,5.69,6.25,105063.9,False,False,000726.SZ,2024-07-10,-0.01899827288428335,0.012323943661971981,-0.01043478260869557
9.32,9.12,9.29,9.26,10.03,23755.0,False,False,002674.SZ,2024-07-10,-0.02145922746781126,0.018640350877193068,-0.0032292787944024903
15.32,15.28,15.28,15.35,18.34,3514.65,False,False,300983.SZ,2024-07-11,-0.0026109660574412663,0.0,0.0045811518324607725
11.95,12.21,12.22,12.13,13.43,6576.0,False,False,605033.SH,2024-07-11,0.02175732217573234,0.0008190008190007703,-0.0073649754500818565
9.62,9.53,9.51,9.36,10.48,9354.51,False,False,605122.SH,2024-07-12,-0.009355509355509328,-0.0020986358866735833,-0.01577287066246058
16.24,16.31,16.21,15.7,17.94,5436.98,False,False,603282.SH,2024-07-12,0.004310344827586299,-0.006131207847945963,-0.031462060456508456
4.49,4.3,4.27,4.24,5.16,30219.0,False,False,300126.SZ,2024-07-15,-0.04231625835189323,-0.006976744186046546,-0.007025761124121677
15.35,14.78,14.76,14.84,17.74,2061.81,False,False,300983.SZ,2024-07-15,-0.03713355048859934,-0.0013531799729363803,0.005420054200542035
10.71,10.66,10.61,10.54,12.79,7039.59,False,False,301288.SZ,2024-07-16,-0.004668534080298881,-0.004690431519699834,-0.006597549481621168
17.09,16.91,16.91,16.21,18.6,18156.78,False,False,001336.SZ,2024-07-16,-0.010532475131655894,0.0,-0.04139562389118856
17.25,17.18,17.0,17.51,18.9,95601.06,False,False,002270.SZ,2024-07-17,-0.004057971014492789,-0.010477299185098987,0.030000000000000027
6.93,6.6,6.55,6.61,7.26,56842.14,False,False,603889.SH,2024-07-17,-0.04761904761904767,-0.007575757575757569,0.009160305343511421
3.75,3.79,3.75,3.78,4.55,40761.59,False,False,300326.SZ,2024-07-18,0.010666666666666602,-0.01055408970976257,0.008000000000000007
3.7,3.74,3.73,3.74,4.49,29466.0,False,False,300289.SZ,2024-07-18,0.010810810810810922,-0.002673796791443861,0.002680965147453085
11.3,11.49,11.51,11.58,12.64,5258.0,False,False,605033.SH,2024-07-19,0.016814159292035447,0.0017406440382941035,0.006081668114682914
14.57,14.71,14.66,14.77,17.65,3442.13,False,False,300983.SZ,2024-07-19,0.009608785175017287,-0.003399048266485405,0.007503410641200414
9.08,9.19,9.22,8.98,10.11,6063.8,False,False,605122.SH,2024-07-22,0.012114537444933848,0.0032644178454843686,-0.026030368763557465
4.34,4.34,4.34,4.18,4.77,47379.41,False,False,002724.SZ,2024-07-22,0.0,0.0,-0.03686635944700467
13.83,13.18,13.01,12.69,14.5,55509.95,False,False,603320.SH,2024-07-23,-0.04699927693420103,-0.012898330804248848,-0.024596464258262896
10.63,10.5,10.4,10.36,12.6,8984.0,False,False,301288.SZ,2024-07-23,-0.012229539040451654,-0.00952380952380949,-0.0038461538461539435
3.56,3.53,3.49,3.49,3.88,1057990.91,False,False,600219.SH,2024-07-24,-0.008426966292134908,-0.011331444759206666,0.0
11.24,10.97,10.97,10.94,12.07,134588.7,False,False,000422.SZ,2024-07-24,-0.024021352313167266,0.0,-0.0027347310847767314
16.08,15.43,15.55,16.0,16.97,1753896.1,False,False,601899.SH,2024-07-25,-0.040422885572139244,0.007777057679844601,0.02893890675241151
3.49,3.47,3.49,3.61,3.82,1216426.3,False,False,600219.SH,2024-07-25,-0.005730659025787954,0.0057636887608070175,0.034383954154727725
9.11,9.18,9.19,9.24,10.1,6508.0,False,False,605122.SH,2024-07-26,0.007683863885839859,0.0010893246187364536,0.005440696409140466
5.07,5.1,5.16,5.08,5.61,38280.0,False,False,003037.SZ,2024-07-26,0.005917159763313418,0.011764705882353121,-0.015503875968992276
9.19,9.24,9.24,9.4,10.16,8648.8,False,False,605122.SH,2024-07-29,0.005440696409140466,0.0,0.017316017316017396
4.21,4.25,4.26,4.27,4.68,36908.33,False,False,002724.SZ,2024-07-29,0.009501187648456089,0.0023529411764704466,0.0023474178403755097
12.01,12.2,12.18,12.6,13.42,5168.97,False,False,605259.SH,2024-07-30,0.01582014987510405,-0.0016393442622950616,0.034482758620689724
5.93,5.98,5.99,6.18,6.58,37181.74,False,False,603903.SH,2024-07-30,0.008431703204047292,0.0016722408026754731,0.03171953255425697
11.93,12.55,12.57,12.48,13.81,21819.15,False,False,002940.SZ,2024-07-31,0.051969823973176954,0.0015936254980080111,-0.007159904534606243
5.19,5.36,5.38,5.34,5.9,28431.86,False,False,605366.SH,2024-07-31,0.032755298651252485,0.003731343283581934,-0.0074349442379182396
24.55,24.22,24.06,23.9,29.06,1494.0,False,False,301108.SZ,2024-08-01,-0.01344195519348279,-0.006606110652353392,-0.006650041562759723
5.38,5.36,5.34,5.27,5.9,27447.2,False,False,605366.SH,2024-08-01,-0.0037174721189590088,-0.003731343283582156,-0.01310861423220977
12.37,12.4,12.38,12.19,13.64,5775.76,False,False,605259.SH,2024-08-02,0.0024252223120453387,-0.001612903225806428,-0.015347334410339308
6.61,6.51,6.48,6.44,7.16,38030.0,False,False,603901.SH,2024-08-02,-0.015128593040847238,-0.004608294930875445,-0.006172839506172867
12.38,12.22,12.19,12.52,13.44,3234.36,False,False,605259.SH,2024-08-05,-0.012924071082390909,-0.002454991816694063,0.027071369975389725
9.45,9.3,9.42,9.55,10.23,5975.6,False,False,605122.SH,2024-08-05,-0.015873015873015706,0.012903225806451424,0.013800424628450214
9.42,9.48,9.55,9.48,10.43,5129.0,False,False,605122.SH,2024-08-06,0.006369426751592355,0.007383966244725704,-0.007329842931937169
12.19,12.54,12.52,13.27,13.79,4682.88,False,False,605259.SH,2024-08-06,0.028712059064807116,-0.0015948963317383713,0.059904153354632506
9.55,9.5,9.48,9.46,10.45,5374.0,False,False,605122.SH,2024-08-07,-0.005235602094240899,-0.002105263157894721,-0.002109704641350185
8.4,8.26,8.2,8.35,9.09,27838.35,False,False,002918.SZ,2024-08-07,-0.01666666666666672,-0.007263922518159882,0.018292682926829285
9.48,9.47,9.46,9.47,10.42,6430.0,False,False,605122.SH,2024-08-08,-0.001054852320675037,-0.001055966209081327,0.0010570824524311906
6.0,6.08,6.1,6.1,6.69,18067.0,False,False,603903.SH,2024-08-08,0.01333333333333342,0.0032894736842103978,0.0
9.46,9.44,9.47,9.42,10.38,7048.0,False,False,605122.SH,2024-08-09,-0.0021141649048627142,0.0031779661016950733,-0.0052798310454066355
23.9,23.69,23.83,23.58,26.06,8843.22,False,False,001373.SZ,2024-08-09,-0.00878661087866095,0.005909666525960144,-0.010490977759127107
9.47,9.43,9.42,9.55,10.37,7918.6,False,False,605122.SH,2024-08-12,-0.004223864836325308,-0.0010604453870625141,0.013800424628450214
12.35,12.47,12.68,12.45,13.72,5881.12,False,False,605259.SH,2024-08-12,0.009716599190283448,0.016840417000801855,-0.01813880126182965
12.68,12.46,12.45,12.49,13.71,2549.64,False,False,605259.SH,2024-08-13,-0.017350157728706517,-0.0008025682182987159,0.003212851405622663
2.44,2.45,2.45,2.42,2.7,62165.55,False,False,600828.SH,2024-08-13,0.004098360655737876,0.0,-0.01224489795918382
22.21,21.93,21.68,21.94,26.32,7414.01,False,False,301309.SZ,2024-08-14,-0.012606933813597565,-0.011399908800729608,0.011992619926199266
12.45,12.41,12.49,12.47,13.65,2908.2,False,False,605259.SH,2024-08-14,-0.003212851405622441,0.006446414182111226,-0.0016012810248198228
12.49,12.39,12.47,12.4,13.63,2105.8,False,False,605259.SH,2024-08-15,-0.008006405124099225,0.006456820016142117,-0.005613472333600655
17.42,17.5,17.69,17.42,21.0,12747.2,False,False,300619.SZ,2024-08-15,0.004592422502870175,0.010857142857142899,-0.015262860373092102
4.89,4.78,4.76,4.83,5.74,120462.0,False,False,300215.SZ,2024-08-16,-0.02249488752556228,-0.004184100418410108,0.014705882352941346
12.47,12.4,12.4,12.44,13.64,1951.16,False,False,605259.SH,2024-08-16,-0.005613472333600655,0.0,0.003225806451612856
6.7,6.68,6.66,6.59,7.35,19389.0,False,False,002809.SZ,2024-08-19,-0.0029850746268657025,-0.0029940119760478723,-0.010510510510510551
12.4,12.33,12.44,12.19,13.56,2769.48,False,False,605259.SH,2024-08-19,-0.005645161290322553,0.008921330089213253,-0.020096463022508004
11.27,11.04,11.0,11.05,13.25,8894.0,False,False,300651.SZ,2024-08-20,-0.020408163265306145,-0.0036231884057970065,0.00454545454545463
10.14,9.93,9.92,9.9,11.92,4566.0,False,False,300838.SZ,2024-08-20,-0.02071005917159774,-0.001007049345417954,-0.002016129032258007
14.69,14.72,14.68,14.4,17.66,3374.54,False,False,300983.SZ,2024-08-21,0.002042205582028611,-0.0027173913043478937,-0.019073569482288777
26.5,26.42,26.43,25.71,31.7,2181.92,False,False,301203.SZ,2024-08-21,-0.0030188679245282124,0.00037850113550330633,-0.02724177071509648
8.9,8.6,8.6,8.65,10.32,28686.04,False,False,301126.SZ,2024-08-22,-0.03370786516853941,0.0,0.005813953488372103
5.19,5.06,5.04,5.01,5.57,46580.0,False,False,000529.SZ,2024-08-22,-0.025048169556840194,-0.0039525691699603405,-0.005952380952381042
21.75,21.76,21.57,21.8,23.94,10744.52,False,False,603031.SH,2024-08-23,0.0004597701149426925,-0.008731617647058876,0.01066295781177562
5.04,5.0,5.01,5.11,5.5,37134.5,False,False,000529.SZ,2024-08-23,-0.007936507936507908,0.0020000000000000018,0.019960079840319445
12.22,11.59,11.49,11.7,12.75,30726.4,False,False,002956.SZ,2024-08-26,-0.051554828150572884,-0.008628127696289845,0.018276762402088753
20.23,20.2,20.12,20.31,24.24,71803.87,False,False,301030.SZ,2024-08-26,-0.0014829461196244065,-0.003960396039603853,0.009443339960238495
10.35,10.21,10.06,10.1,11.23,15120.96,False,False,603303.SH,2024-08-27,-0.013526570048309039,-0.014691478942213565,0.00397614314115291
29.2,28.84,28.95,28.68,31.72,3050.66,False,False,605288.SH,2024-08-27,-0.012328767123287676,0.0038141470180304005,-0.00932642487046631
27.65,27.79,27.81,28.27,30.57,3134.8,False,False,603307.SH,2024-08-28,0.005063291139240533,0.0007196833393305901,0.01654081265731744
10.06,10.17,10.1,10.45,11.19,11935.65,False,False,603303.SH,2024-08-28,0.010934393638170947,-0.0068829891838742,0.034653465346534684
44.1,45.51,45.32,46.23,54.61,66689.02,False,False,300223.SZ,2024-08-29,0.03197278911564627,-0.00417490661393094,0.020079435127978718
5.85,5.93,5.85,6.03,7.12,84421.7,False,False,300700.SZ,2024-08-29,0.013675213675213627,-0.013490725126475533,0.030769230769230882
18.34,18.87,18.93,18.72,20.76,13264.0,False,False,605289.SH,2024-08-30,0.02889858233369691,0.0031796502384737746,-0.011093502377179099
12.59,12.73,12.72,12.45,14.0,12864.01,False,False,603282.SH,2024-08-30,0.011119936457506086,-0.0007855459544383603,-0.021226415094339757
15.12,14.86,14.87,14.9,17.83,6708.84,False,False,301227.SZ,2024-09-02,-0.01719576719576721,0.0006729475100941684,0.0020174848688636615
28.42,28.11,28.11,28.15,30.92,2888.0,False,False,603307.SH,2024-09-02,-0.010907811400422296,0.0,0.0014229811454997687
28.11,28.16,28.15,28.2,30.98,2151.01,False,False,603307.SH,2024-09-03,0.001778726431874711,-0.00035511363636364646,0.001776198934280604
12.98,12.8,12.65,12.52,14.08,654914.5,False,False,600489.SH,2024-09-03,-0.013867488443759624,-0.01171875,-0.010276679841897285
12.65,12.49,12.52,12.56,13.74,608611.08,False,False,600489.SH,2024-09-04,-0.012648221343873556,0.0024019215372297342,0.0031948881789138905
