open,close,open_next,open_next2,up_limit_next,vol_next,limit_up_t,oneword_next,ts_code,trade_date,T_intraday,overnight_gap,exec1
1.42,1.45,1.46,1.48,1.6,197451.0,False,False,600467.SH,2024-07-01,0.021126760563380254,0.006896551724137945,0.013698630136986356
25.67,27.02,27.01,26.75,29.72,21039.16,False,False,605266.SH,2024-07-01,0.05259057265290212,-0.00037009622501837924,-0.009626064420585001
40.15,38.13,37.91,36.63,41.94,137080.03,False,False,000733.SZ,2024-07-02,-0.05031133250311326,-0.005769735116706198,-0.03376417831706657
27.01,26.75,26.75,25.91,29.43,21236.97,False,False,605266.SH,2024-07-02,-0.009626064420585001,0.0,-0.03140186915887855
26.75,25.91,25.91,25.04,28.5,19311.06,False,False,605266.SH,2024-07-03,-0.03140186915887855,0.0,-0.03357776920108069
10.74,10.96,10.98,10.51,12.06,96001.47,False,False,600641.SH,2024-07-03,0.020484171322160183,0.0018248175182480342,-0.04280510018214945
25.91,24.95,25.04,25.01,27.45,17214.89,False,False,605266.SH,2024-07-04,-0.03705133153222695,0.003607214428857697,-0.0011980830670925702
17.87,17.32,17.32,17.72,20.78,22895.0,False,False,301018.SZ,2024-07-04,-0.03077783995523231,0.0,0.023094688221708903
10.63,10.91,10.81,10.49,13.09,9197.0,False,False,301288.SZ,2024-07-05,0.026340545625587852,-0.009165902841429818,-0.029602220166512483
3.63,3.7,3.7,3.56,4.07,18500.0,False,False,603176.SH,2024-07-05,0.019283746556473913,0.0,-0.037837837837837895
9.3,8.86,8.89,9.1,9.75,31115.0,False,False,603787.SH,2024-07-08,-0.047311827956989405,0.003386004514672747,0.023622047244094446
12.3,11.72,11.78,12.3,14.06,44383.3,False,False,300681.SZ,2024-07-08,-0.047154471544715415,0.005119453924914641,0.04414261460101887
7.9,7.94,7.43,7.73,9.53,491915.07,False,False,300630.SZ,2024-07-09,0.005063291139240533,-0.06423173803526461,0.04037685060565277
9.39,9.35,9.26,9.33,10.29,10110.5,False,False,002718.SZ,2024-07-09,-0.00425985090521841,-0.009625668449197877,0.0075593952483801186
10.3,10.1,10.28,10.26,11.11,23237.0,False,False,603519.SH,2024-07-10,-0.019417475728155442,0.017821782178217838,-0.0019455252918287869
8.48,8.41,8.55,8.59,9.25,33734.73,False,False,000014.SZ,2024-07-10,-0.008254716981132115,0.01664684898929858,0.004678362573099282
10.28,10.29,10.26,10.18,11.32,17204.0,False,False,603519.SH,2024-07-11,0.0009727626459143934,-0.002915451895043719,-0.007797270955165692
7.73,7.83,7.81,7.88,9.4,325898.54,False,False,300630.SZ,2024-07-11,0.012936610608020649,-0.0025542784163474774,0.008962868117797784
10.26,10.15,10.18,9.98,11.17,18288.44,False,False,603519.SH,2024-07-12,-0.010721247563352798,0.002955665024630516,-0.01964636542239684
17.7,17.58,17.41,17.09,19.34,17295.46,False,False,001336.SZ,2024-07-12,-0.006779661016949157,-0.009670079635949791,-0.018380241240666284
7.88,8.45,8.39,8.16,10.14,331692.39,False,False,300630.SZ,2024-07-15,0.07233502538071068,-0.007100591715976212,-0.027413587604290912
9.58,9.39,9.36,9.4,10.33,7005.5,False,False,002718.SZ,2024-07-15,-0.019832985386221247,-0.0031948881789138905,0.00427350427350448
8.39,8.21,8.16,8.2,9.85,257547.43,False,False,300630.SZ,2024-07-16,-0.021454112038140627,-0.006090133982947665,0.004901960784313708
17.09,16.91,16.91,16.21,18.6,18156.78,False,False,001336.SZ,2024-07-16,-0.010532475131655894,0.0,-0.04139562389118856
8.16,8.13,8.2,8.23,9.76,243359.22,False,False,300630.SZ,2024-07-17,-0.00367647058823517,0.008610086100860892,0.003658536585366079
6.93,6.6,6.55,6.61,7.26,56842.14,False,False,603889.SH,2024-07-17,-0.04761904761904767,-0.007575757575757569,0.009160305343511421
