open,close,open_next,open_next2,up_limit_next,vol_next,limit_up_t,oneword_next,ts_code,trade_date,T_intraday,overnight_gap,exec1
31.46,29.91,29.85,30.08,35.89,84638.42,False,False,301358.SZ,2024-07-01,-0.049268912905276574,-0.0020060180541624506,0.007705192629815727
22.78,22.38,22.3,22.65,24.62,115492.31,False,False,600872.SH,2024-07-01,-0.017559262510974616,-0.003574620196604039,0.015695067264573925
38.01,37.06,37.01,35.52,44.47,40957.64,False,False,300633.SZ,2024-07-02,-0.024993422783477937,-0.001349163518618579,-0.04025938935422846
27.65,27.73,27.93,27.26,30.5,1385.14,False,False,001225.SZ,2024-07-02,0.002893309222423257,0.007212405337179817,-0.023988542785535194
37.01,35.79,35.52,34.5,42.95,54431.0,False,False,300633.SZ,2024-07-03,-0.03296406376654959,-0.00754400670578359,-0.02871621621621634
11.28,11.2,11.2,10.63,13.44,10488.0,False,False,301288.SZ,2024-07-03,-0.007092198581560294,0.0,-0.05089285714285696
35.52,34.61,34.5,35.38,41.53,59585.86,False,False,300633.SZ,2024-07-04,-0.025619369369369482,-0.0031782721756717924,0.025507246376811565
11.01,10.58,10.56,10.77,11.64,16748.0,False,False,603657.SH,2024-07-04,-0.03905540417802,-0.001890359168241873,0.019886363636363535
15.0,15.18,15.19,14.66,18.22,3867.05,False,False,300983.SZ,2024-07-05,0.01200000000000001,0.0006587615283266679,-0.03489137590520075
10.63,10.91,10.81,10.49,13.09,9197.0,False,False,301288.SZ,2024-07-05,0.026340545625587852,-0.009165902841429818,-0.029602220166512483
9.3,8.86,8.89,9.1,9.75,31115.0,False,False,603787.SH,2024-07-08,-0.047311827956989405,0.003386004514672747,0.023622047244094446
9.88,9.88,7.9,7.43,11.86,858611.16,False,False,300630.SZ,2024-07-08,0.0,-0.2004048582995952,-0.059493670886076044
14.66,15.18,15.14,15.32,18.22,3669.06,False,False,300983.SZ,2024-07-09,0.03547066848567537,-0.0026350461133068936,0.011889035667107084
9.94,9.96,9.96,9.9,10.96,19541.0,False,False,603151.SH,2024-07-09,0.00201207243460777,0.0,-0.006024096385542244
5.79,5.68,5.75,5.69,6.25,105063.9,False,False,000726.SZ,2024-07-10,-0.01899827288428335,0.012323943661971981,-0.01043478260869557
9.32,9.12,9.29,9.26,10.03,23755.0,False,False,002674.SZ,2024-07-10,-0.02145922746781126,0.018640350877193068,-0.0032292787944024903
15.32,15.28,15.28,15.35,18.34,3514.65,False,False,300983.SZ,2024-07-11,-0.0026109660574412663,0.0,0.0045811518324607725
26.6,27.14,27.16,27.01,29.85,1840.0,False,False,001225.SZ,2024-07-11,0.020300751879699153,0.0007369196757553986,-0.005522827687776122
9.62,9.53,9.51,9.36,10.48,9354.51,False,False,605122.SH,2024-07-12,-0.009355509355509328,-0.0020986358866735833,-0.01577287066246058
15.28,15.27,15.35,14.76,18.32,3763.94,False,False,300983.SZ,2024-07-12,-0.0006544502617801262,0.0052390307793057644,-0.038436482084690526
11.01,10.65,10.71,10.61,12.78,6589.22,False,False,301288.SZ,2024-07-15,-0.03269754768392363,0.005633802816901401,-0.00933706816059765
15.35,14.78,14.76,14.84,17.74,2061.81,False,False,300983.SZ,2024-07-15,-0.03713355048859934,-0.0013531799729363803,0.005420054200542035
10.71,10.66,10.61,10.54,12.79,7039.59,False,False,301288.SZ,2024-07-16,-0.004668534080298881,-0.004690431519699834,-0.006597549481621168
17.09,16.91,16.91,16.21,18.6,18156.78,False,False,001336.SZ,2024-07-16,-0.010532475131655894,0.0,-0.04139562389118856
6.93,6.6,6.55,6.61,7.26,56842.14,False,False,603889.SH,2024-07-17,-0.04761904761904767,-0.007575757575757569,0.009160305343511421
6.02,5.69,5.6,5.45,6.26,154553.06,False,False,603617.SH,2024-07-17,-0.054817275747508165,-0.015817223198594133,-0.02678571428571419
10.54,10.32,10.23,10.4,12.38,7788.0,False,False,301288.SZ,2024-07-18,-0.020872865275142205,-0.008720930232558155,0.016617790811339184
11.43,11.28,11.3,11.51,12.41,6920.0,False,False,605033.SH,2024-07-18,-0.013123359580052507,0.0017730496453902678,0.018584070796460184
7.12,7.12,7.05,7.06,8.54,68642.02,False,False,300887.SZ,2024-07-19,0.0,-0.0098314606741573,0.0014184397163119478
11.3,11.49,11.51,11.58,12.64,5258.0,False,False,605033.SH,2024-07-19,0.016814159292035447,0.0017406440382941035,0.006081668114682914
9.08,9.19,9.22,8.98,10.11,6063.8,False,False,605122.SH,2024-07-22,0.012114537444933848,0.0032644178454843686,-0.026030368763557465
4.34,4.34,4.34,4.18,4.77,47379.41,False,False,002724.SZ,2024-07-22,0.0,0.0,-0.03686635944700467
13.83,13.18,13.01,12.69,14.5,55509.95,False,False,603320.SH,2024-07-23,-0.04699927693420103,-0.012898330804248848,-0.024596464258262896
27.93,26.91,26.93,25.45,32.29,21102.16,False,False,300893.SZ,2024-07-23,-0.036519871106337254,0.0007432181345223832,-0.054957296695135605
11.24,10.97,10.97,10.94,12.07,134588.7,False,False,000422.SZ,2024-07-24,-0.024021352313167266,0.0,-0.0027347310847767314
26.93,25.82,25.45,25.76,30.98,14936.02,False,False,300893.SZ,2024-07-24,-0.04121797252135162,-0.014329976762199936,0.012180746561886169
3.49,3.47,3.49,3.61,3.82,1216426.3,False,False,600219.SH,2024-07-25,-0.005730659025787954,0.0057636887608070175,0.034383954154727725
16.08,15.43,15.55,16.0,16.97,1753896.1,False,False,601899.SH,2024-07-25,-0.040422885572139244,0.007777057679844601,0.02893890675241151
9.11,9.18,9.19,9.24,10.1,6508.0,False,False,605122.SH,2024-07-26,0.007683863885839859,0.0010893246187364536,0.005440696409140466
9.9,10.25,10.31,10.19,11.28,14919.31,False,False,002849.SZ,2024-07-26,0.03535353535353525,0.005853658536585371,-0.011639185257032114
9.19,9.24,9.24,9.4,10.16,8648.8,False,False,605122.SH,2024-07-29,0.005440696409140466,0.0,0.017316017316017396
61.29,59.94,59.49,59.98,65.93,58729.28,False,False,603893.SH,2024-07-29,-0.022026431718061734,-0.007507507507507394,0.008236678433350075
12.01,12.2,12.18,12.6,13.42,5168.97,False,False,605259.SH,2024-07-30,0.01582014987510405,-0.0016393442622950616,0.034482758620689724
4.61,4.64,4.65,4.85,5.1,21849.0,False,False,605138.SH,2024-07-30,0.006507592190889255,0.0021551724137931494,0.04301075268817178
5.19,5.36,5.38,5.34,5.9,28431.86,False,False,605366.SH,2024-07-31,0.032755298651252485,0.003731343283581934,-0.0074349442379182396
11.93,12.55,12.57,12.48,13.81,21819.15,False,False,002940.SZ,2024-07-31,0.051969823973176954,0.0015936254980080111,-0.007159904534606243
24.55,24.22,24.06,23.9,29.06,1494.0,False,False,301108.SZ,2024-08-01,-0.01344195519348279,-0.006606110652353392,-0.006650041562759723
14.58,14.42,14.42,14.21,15.86,8310.8,False,False,001218.SZ,2024-08-01,-0.010973936899862813,0.0,-0.014563106796116387
12.37,12.4,12.38,12.19,13.64,5775.76,False,False,605259.SH,2024-08-02,0.0024252223120453387,-0.001612903225806428,-0.015347334410339308
22.89,22.78,22.67,22.67,25.06,48896.52,False,False,002791.SZ,2024-08-02,-0.004805591961555278,-0.004828797190517986,0.0
9.45,9.3,9.42,9.55,10.23,5975.6,False,False,605122.SH,2024-08-05,-0.015873015873015706,0.012903225806451424,0.013800424628450214
11.3,10.75,10.9,10.81,12.9,38358.44,False,False,300721.SZ,2024-08-05,-0.04867256637168149,0.013953488372093092,-0.008256880733944927
9.42,9.48,9.55,9.48,10.43,5129.0,False,False,605122.SH,2024-08-06,0.006369426751592355,0.007383966244725704,-0.007329842931937169
12.19,12.54,12.52,13.27,13.79,4682.88,False,False,605259.SH,2024-08-06,0.028712059064807116,-0.0015948963317383713,0.059904153354632506
9.55,9.5,9.48,9.46,10.45,5374.0,False,False,605122.SH,2024-08-07,-0.005235602094240899,-0.002105263157894721,-0.002109704641350185
8.4,8.26,8.2,8.35,9.09,27838.35,False,False,002918.SZ,2024-08-07,-0.01666666666666672,-0.007263922518159882,0.018292682926829285
9.48,9.47,9.46,9.47,10.42,6430.0,False,False,605122.SH,2024-08-08,-0.001054852320675037,-0.001055966209081327,0.0010570824524311906
6.0,6.08,6.1,6.1,6.69,18067.0,False,False,603903.SH,2024-08-08,0.01333333333333342,0.0032894736842103978,0.0
9.46,9.44,9.47,9.42,10.38,7048.0,False,False,605122.SH,2024-08-09,-0.0021141649048627142,0.0031779661016950733,-0.0052798310454066355
23.9,23.69,23.83,23.58,26.06,8843.22,False,False,001373.SZ,2024-08-09,-0.00878661087866095,0.005909666525960144,-0.010490977759127107
9.47,9.43,9.42,9.55,10.37,7918.6,False,False,605122.SH,2024-08-12,-0.004223864836325308,-0.0010604453870625141,0.013800424628450214
23.83,23.53,23.58,23.91,25.88,11031.0,False,False,001373.SZ,2024-08-12,-0.01258917331095244,0.0021249468763280266,0.013994910941475869
9.42,9.56,9.55,9.8,10.52,53248.57,False,False,605122.SH,2024-08-13,0.014861995753715496,-0.0010460251046024993,0.02617801047120416
2.44,2.45,2.45,2.42,2.7,62165.55,False,False,600828.SH,2024-08-13,0.004098360655737876,0.0,-0.01224489795918382
22.21,21.93,21.68,21.94,26.32,7414.01,False,False,301309.SZ,2024-08-14,-0.012606933813597565,-0.011399908800729608,0.011992619926199266
12.45,12.41,12.49,12.47,13.65,2908.2,False,False,605259.SH,2024-08-14,-0.003212851405622441,0.006446414182111226,-0.0016012810248198228
11.68,11.67,11.73,11.49,12.84,6583.0,False,False,605033.SH,2024-08-15,-0.0008561643835616195,0.005141388174807249,-0.020460358056266004
12.49,12.39,12.47,12.4,13.63,2105.8,False,False,605259.SH,2024-08-15,-0.008006405124099225,0.006456820016142117,-0.005613472333600655
6.7,6.67,6.7,6.66,7.34,18993.1,False,False,002809.SZ,2024-08-16,-0.004477611940298498,0.004497751124437732,-0.005970149253731294
12.47,12.4,12.4,12.44,13.64,1951.16,False,False,605259.SH,2024-08-16,-0.005613472333600655,0.0,0.003225806451612856
33.0,32.32,32.5,31.8,38.78,19040.8,False,False,301099.SZ,2024-08-19,-0.020606060606060628,0.005569306930693019,-0.021538461538461506
12.4,12.33,12.44,12.19,13.56,2769.48,False,False,605259.SH,2024-08-19,-0.005645161290322553,0.008921330089213253,-0.020096463022508004
19.0,18.69,18.52,18.54,20.56,5854.0,False,False,603076.SH,2024-08-20,-0.016315789473684172,-0.009095773140717078,0.001079913606911509
4.31,4.15,4.15,4.14,4.57,45695.0,False,False,002345.SZ,2024-08-20,-0.03712296983758678,0.0,-0.002409638554217053
14.69,14.72,14.68,14.4,17.66,3374.54,False,False,300983.SZ,2024-08-21,0.002042205582028611,-0.0027173913043478937,-0.019073569482288777
18.03,17.75,17.76,17.6,21.3,4645.43,False,False,301276.SZ,2024-08-21,-0.015529672767609637,0.0005633802816902289,-0.009009009009009028
8.9,8.6,8.6,8.65,10.32,28686.04,False,False,301126.SZ,2024-08-22,-0.03370786516853941,0.0,0.005813953488372103
5.19,5.06,5.04,5.01,5.57,46580.0,False,False,000529.SZ,2024-08-22,-0.025048169556840194,-0.0039525691699603405,-0.005952380952381042
23.69,23.31,23.42,23.61,27.97,8623.8,False,False,301257.SZ,2024-08-23,-0.016040523427606646,0.004719004719004882,0.008112724167378182
17.6,17.33,17.18,17.35,20.8,7336.47,False,False,301276.SZ,2024-08-23,-0.015340909090909238,-0.008655510675129707,0.009895227008149154
17.18,17.34,17.35,17.27,20.81,4709.17,False,False,301276.SZ,2024-08-26,0.0093131548311991,0.0005767012687429851,-0.004610951008645614
18.48,18.7,18.6,18.47,22.44,7735.36,False,False,300937.SZ,2024-08-26,0.011904761904761862,-0.005347593582887611,-0.00698924731182804
29.2,28.84,28.95,28.68,31.72,3050.66,False,False,605288.SH,2024-08-27,-0.012328767123287676,0.0038141470180304005,-0.00932642487046631
10.35,10.21,10.06,10.1,11.23,15120.96,False,False,603303.SH,2024-08-27,-0.013526570048309039,-0.014691478942213565,0.00397614314115291
17.79,17.55,17.42,18.09,21.06,14161.1,False,False,301399.SZ,2024-08-28,-0.013490725126475422,-0.007407407407407307,0.038461538461538325
10.06,10.17,10.1,10.45,11.19,11935.65,False,False,603303.SH,2024-08-28,0.010934393638170947,-0.0068829891838742,0.034653465346534684
14.79,14.99,14.88,15.12,17.99,13274.89,False,False,301227.SZ,2024-08-29,0.013522650439486306,-0.007338225483655703,0.016129032258064502
22.38,22.85,22.94,23.11,25.14,24670.5,False,False,001317.SZ,2024-08-29,0.021000893655049202,0.003938730853391581,0.007410636442894525
18.34,18.87,18.93,18.72,20.76,13264.0,False,False,605289.SH,2024-08-30,0.02889858233369691,0.0031796502384737746,-0.011093502377179099
14.88,15.2,15.12,14.87,18.24,9164.0,False,False,301227.SZ,2024-08-30,0.021505376344086002,-0.0052631578947368585,-0.016534391534391513
5.37,5.32,5.31,5.3,5.85,139152.13,False,False,600125.SH,2024-09-02,-0.009310986964618184,-0.001879699248120481,-0.0018832391713746732
15.85,15.65,15.67,15.69,17.22,6293.02,False,False,001336.SZ,2024-09-02,-0.012618296529968376,0.0012779552715653786,0.0012763241863433805
12.98,12.8,12.65,12.52,14.08,654914.5,False,False,600489.SH,2024-09-03,-0.013867488443759624,-0.01171875,-0.010276679841897285
6.92,6.96,6.99,6.94,7.66,21486.0,False,False,601566.SH,2024-09-03,0.005780346820809301,0.004310344827586299,-0.007153075822603716
12.65,12.49,12.52,12.56,13.74,608611.08,False,False,600489.SH,2024-09-04,-0.012648221343873556,0.0024019215372297342,0.0031948881789138905
21.7,21.6,21.6,21.72,25.92,2593.0,False,False,301309.SZ,2024-09-04,-0.004608294930875445,0.0,0.005555555555555536
14.9,14.97,14.98,14.53,17.96,7343.84,False,False,301227.SZ,2024-09-05,0.004697986577181235,0.0006680026720107257,-0.030040053404539413
30.0,30.39,30.39,29.29,36.47,11493.29,False,False,301391.SZ,2024-09-05,0.013000000000000123,0.0,-0.036196117143797335
4.29,4.2,4.18,4.21,4.62,12847.01,False,False,002360.SZ,2024-09-06,-0.020979020979020935,-0.004761904761904856,0.0071770334928229484
14.98,14.61,14.53,14.75,17.53,15143.62,False,False,301227.SZ,2024-09-06,-0.02469959946595468,-0.005475701574264247,0.015141087405368348
9.91,9.54,9.44,9.1,10.49,125108.08,False,False,600479.SH,2024-09-09,-0.03733602421796178,-0.010482180293501009,-0.03601694915254239
14.53,14.92,14.75,15.4,17.9,23636.19,False,False,301227.SZ,2024-09-09,0.026841018582243636,-0.011394101876675555,0.04406779661016946
15.46,15.61,15.53,15.6,17.17,7545.0,False,False,001336.SZ,2024-09-10,0.009702457956015431,-0.005124919923126248,0.004507405022537103
30.25,30.19,30.14,30.1,33.21,415793.76,False,False,600036.SH,2024-09-10,-0.0019834710743801276,-0.001656177542232573,-0.0013271400132713884
9.1,9.19,9.18,9.13,10.11,81399.85,False,False,600479.SH,2024-09-11,0.009890109890109855,-0.0010881392818280489,-0.005446623093681824
21.49,20.09,20.4,18.64,22.1,237228.06,False,False,600285.SH,2024-09-11,-0.06514657980456018,0.015430562468889963,-0.08627450980392148
9.18,9.13,9.13,9.35,10.04,131283.43,False,False,600479.SH,2024-09-12,-0.005446623093681824,0.0,0.02409638554216853
7.12,7.05,7.07,7.01,7.76,219966.1,False,False,601918.SH,2024-09-12,-0.0098314606741573,0.0028368794326241176,-0.008486562942008558
36.86,36.41,36.37,37.48,40.05,109552.07,False,False,000999.SZ,2024-09-13,-0.012208355941400018,-0.0010985992859104954,0.030519659059664583
16.71,16.47,16.47,16.26,18.12,6994.1,False,False,605177.SH,2024-09-13,-0.014362657091562037,0.0,-0.012750455373406022
16.47,16.25,16.26,16.56,17.88,6832.41,False,False,605177.SH,2024-09-18,-0.013357619914996843,0.0006153846153846843,0.01845018450184477
15.48,14.89,14.9,15.46,16.38,14813.5,False,False,603237.SH,2024-09-18,-0.03811369509043927,0.000671591672263272,0.037583892617449655
26.75,27.38,27.38,27.18,30.12,2462.0,False,False,603307.SH,2024-09-19,0.02355140186915894,0.0,-0.007304601899196461
13.5,13.63,13.8,13.46,16.36,8998.5,False,False,300980.SZ,2024-09-19,0.009629629629629655,0.01247248716067495,-0.024637681159420333
17.25,17.27,17.17,17.31,20.72,5067.21,False,False,301276.SZ,2024-09-20,0.001159420289855051,-0.005790387955992959,0.00815375655212569
16.56,16.47,16.59,16.43,18.12,4780.0,False,False,605177.SH,2024-09-20,-0.005434782608695676,0.007285974499089409,-0.009644364074743783
23.9,24.31,24.31,25.52,29.17,5224.82,False,False,301203.SZ,2024-09-23,0.017154811715481166,0.0,0.04977375565610864
17.17,17.31,17.31,17.88,20.77,9667.11,False,False,301276.SZ,2024-09-23,0.00815375655212569,0.0,0.032928942807625594
18.81,19.33,19.56,19.29,23.2,13533.0,False,False,301170.SZ,2024-09-24,0.027644869750132806,0.01189860320744951,-0.013803680981595123
27.2,27.9,27.75,27.73,30.25,6420.0,False,False,603307.SH,2024-09-24,0.025735294117646967,-0.005376344086021501,-0.0007207207207207134
