open,close,open_next,open_next2,up_limit_next,vol_next,limit_up_t,oneword_next,ts_code,trade_date,T_intraday,overnight_gap,exec1
15.17,15.17,16.69,17.0,16.69,162308.74,True,True,002857.SZ,2024-07-01,0.0,0.10019775873434411,0.018573996405032878
22.78,22.38,22.3,22.65,24.62,115492.31,False,False,600872.SH,2024-07-01,-0.017559262510974616,-0.003574620196604039,0.015695067264573925
38.01,37.06,37.01,35.52,44.47,40957.64,False,False,300633.SZ,2024-07-02,-0.024993422783477937,-0.001349163518618579,-0.04025938935422846
25.1,24.29,24.38,23.99,26.72,66456.02,False,False,600060.SH,2024-07-02,-0.03227091633466139,0.003705228489090162,-0.01599671862182117
37.01,35.79,35.52,34.5,42.95,54431.0,False,False,300633.SZ,2024-07-03,-0.03296406376654959,-0.00754400670578359,-0.02871621621621634
13.66,13.3,13.36,13.21,14.63,46580.42,False,False,002705.SZ,2024-07-03,-0.026354319180087793,0.004511278195488577,-0.011227544910179521
35.52,34.61,34.5,35.38,41.53,59585.86,False,False,300633.SZ,2024-07-04,-0.025619369369369482,-0.0031782721756717924,0.025507246376811565
17.87,17.32,17.32,17.72,20.78,22895.0,False,False,301018.SZ,2024-07-04,-0.03077783995523231,0.0,0.023094688221708903
22.97,22.97,22.97,22.44,27.56,13681.01,False,False,301270.SZ,2024-07-05,0.0,0.0,-0.02307357422725287
9.98,10.17,10.13,9.95,11.19,6459.79,False,False,603137.SH,2024-07-05,0.019038076152304573,-0.003933136676499416,-0.017769002961500635
52.86,50.1,49.8,48.88,60.12,18861.35,False,False,301096.SZ,2024-07-08,-0.05221339387060153,-0.005988023952095856,-0.01847389558232926
13.17,12.97,12.91,13.07,14.27,46706.56,False,False,002705.SZ,2024-07-08,-0.01518602885345477,-0.004626060138781862,0.012393493415956636
33.45,32.34,32.0,32.42,38.81,47110.0,False,False,300633.SZ,2024-07-09,-0.03318385650224209,-0.010513296227582014,0.013125000000000053
10.49,10.69,10.62,10.8,12.83,6401.0,False,False,301288.SZ,2024-07-09,0.019065776930409895,-0.006548175865294659,0.016949152542373058
9.32,9.12,9.29,9.26,10.03,23755.0,False,False,002674.SZ,2024-07-10,-0.02145922746781126,0.018640350877193068,-0.0032292787944024903
35.15,35.24,35.88,37.27,42.29,307251.49,False,False,300014.SZ,2024-07-10,0.0025604551920341834,0.018161180476730987,0.038740245261984496
17.88,17.75,17.85,17.44,21.3,6313.43,False,False,301227.SZ,2024-07-11,-0.007270693512304249,0.005633802816901401,-0.022969187675070057
15.32,15.28,15.28,15.35,18.34,3514.65,False,False,300983.SZ,2024-07-11,-0.0026109660574412663,0.0,0.0045811518324607725
16.24,16.31,16.21,15.7,17.94,5436.98,False,False,603282.SH,2024-07-12,0.004310344827586299,-0.006131207847945963,-0.031462060456508456
9.62,9.53,9.51,9.36,10.48,9354.51,False,False,605122.SH,2024-07-12,-0.009355509355509328,-0.0020986358866735833,-0.01577287066246058
17.9,17.94,17.88,17.25,19.73,123050.08,False,False,002270.SZ,2024-07-15,0.0022346368715084886,-0.0033444816053512794,-0.03523489932885904
15.35,14.78,14.76,14.84,17.74,2061.81,False,False,300983.SZ,2024-07-15,-0.03713355048859934,-0.0013531799729363803,0.005420054200542035
17.09,16.91,16.91,16.21,18.6,18156.78,False,False,001336.SZ,2024-07-16,-0.010532475131655894,0.0,-0.04139562389118856
12.75,12.52,12.62,12.13,15.02,30006.0,False,False,301188.SZ,2024-07-16,-0.018039215686274535,0.007987220447284393,-0.03882725832012668
16.91,16.35,16.21,15.93,17.99,12704.78,False,False,001336.SZ,2024-07-17,-0.03311649911295089,-0.008562691131498545,-0.01727328809376938
38.78,37.17,37.17,38.14,40.89,10813.52,False,False,001283.SZ,2024-07-17,-0.041516245487364656,0.0,0.026096314231907503
6.55,6.63,6.61,6.73,7.29,28236.0,False,False,603889.SH,2024-07-18,0.012213740458015376,-0.003016591251885359,0.018154311649016597
3.75,3.79,3.75,3.78,4.55,40761.59,False,False,300326.SZ,2024-07-18,0.010666666666666602,-0.01055408970976257,0.008000000000000007
7.12,7.12,7.05,7.06,8.54,68642.02,False,False,300887.SZ,2024-07-19,0.0,-0.0098314606741573,0.0014184397163119478
3.75,3.8,3.78,3.83,4.56,46362.39,False,False,300326.SZ,2024-07-19,0.013333333333333197,-0.0052631578947368585,0.013227513227513255
3.78,3.85,3.83,3.77,4.62,48545.22,False,False,300326.SZ,2024-07-22,0.0185185185185186,-0.0051948051948051965,-0.015665796344647487
6.78,6.91,6.96,7.5,7.6,178133.11,False,False,600834.SH,2024-07-22,0.019174041297935096,0.00723589001447178,0.07758620689655182
3.29,3.15,3.14,3.05,3.47,1463103.19,False,False,000630.SZ,2024-07-23,-0.042553191489361764,-0.0031746031746030523,-0.02866242038216571
13.36,12.97,12.95,12.34,14.27,43557.5,False,False,603239.SH,2024-07-23,-0.029191616766466977,-0.0015420200462606948,-0.0471042471042471
9.6,9.14,9.13,8.95,10.05,34775.0,False,False,603600.SH,2024-07-24,-0.04791666666666661,-0.001094091903719896,-0.019715224534501807
6.99,6.82,6.81,6.59,7.5,475573.13,False,False,002532.SZ,2024-07-24,-0.024320457796852657,-0.0014662756598241566,-0.03230543318649037
9.13,8.9,8.95,9.17,9.79,30164.37,False,False,603600.SH,2024-07-25,-0.025191675794085433,0.00561797752808979,0.024581005586592264
16.08,15.43,15.55,16.0,16.97,1753896.1,False,False,601899.SH,2024-07-25,-0.040422885572139244,0.007777057679844601,0.02893890675241151
9.11,9.18,9.19,9.24,10.1,6508.0,False,False,605122.SH,2024-07-26,0.007683863885839859,0.0010893246187364536,0.005440696409140466
15.55,15.85,16.0,15.97,17.44,1439936.3,False,False,601899.SH,2024-07-26,0.019292604501607746,0.009463722397476282,-0.00187499999999996
9.96,9.96,10.96,10.8,10.96,460467.76,True,True,603988.SH,2024-07-29,0.0,0.10040160642570273,-0.014598540145985384
9.19,9.24,9.24,9.4,10.16,8648.8,False,False,605122.SH,2024-07-29,0.005440696409140466,0.0,0.017316017316017396
20.23,19.29,19.27,19.7,21.22,407807.35,False,False,600183.SH,2024-07-30,-0.046465645081562146,-0.0010368066355624928,0.02231447846393353
8.49,8.59,8.81,9.25,9.45,741053.04,False,False,000737.SZ,2024-07-30,0.011778563015311994,0.025611175785797524,0.0499432463110101
5.99,6.16,6.18,6.1,6.78,29672.06,False,False,603903.SH,2024-07-31,0.02838063439065097,0.0032467532467532756,-0.012944983818770184
21.66,22.65,22.68,22.55,24.92,9594.0,False,False,605289.SH,2024-07-31,0.04570637119113563,0.0013245033112583293,-0.0057319223985889955
5.35,5.33,5.29,5.29,5.86,42950.5,False,False,003037.SZ,2024-08-01,-0.0037383177570092796,-0.007504690431519689,0.0
22.68,22.7,22.55,22.01,24.97,11641.25,False,False,605289.SH,2024-08-01,0.0008818342151675207,-0.0066079295154184425,-0.02394678492239466
8.55,8.14,8.0,8.11,8.95,350813.31,False,False,600834.SH,2024-08-02,-0.04795321637426897,-0.017199017199017286,0.013749999999999929
12.37,12.4,12.38,12.19,13.64,5775.76,False,False,605259.SH,2024-08-02,0.0024252223120453387,-0.001612903225806428,-0.015347334410339308
9.45,9.3,9.42,9.55,10.23,5975.6,False,False,605122.SH,2024-08-05,-0.015873015873015706,0.012903225806451424,0.013800424628450214
12.38,12.22,12.19,12.52,13.44,3234.36,False,False,605259.SH,2024-08-05,-0.012924071082390909,-0.002454991816694063,0.027071369975389725
9.42,9.48,9.55,9.48,10.43,5129.0,False,False,605122.SH,2024-08-06,0.006369426751592355,0.007383966244725704,-0.007329842931937169
5.21,5.31,5.33,5.35,5.84,26758.19,False,False,003037.SZ,2024-08-06,0.019193857965450922,0.0037664783427495685,0.0037523452157597337
9.55,9.5,9.48,9.46,10.45,5374.0,False,False,605122.SH,2024-08-07,-0.005235602094240899,-0.002105263157894721,-0.002109704641350185
10.62,10.62,9.56,9.15,11.68,88258.0,False,False,603390.SH,2024-08-07,0.0,-0.09981167608286245,-0.042887029288702916
9.48,9.47,9.46,9.47,10.42,6430.0,False,False,605122.SH,2024-08-08,-0.001054852320675037,-0.001055966209081327,0.0010570824524311906
6.0,6.08,6.1,6.1,6.69,18067.0,False,False,603903.SH,2024-08-08,0.01333333333333342,0.0032894736842103978,0.0
9.46,9.44,9.47,9.42,10.38,7048.0,False,False,605122.SH,2024-08-09,-0.0021141649048627142,0.0031779661016950733,-0.0052798310454066355
6.1,6.06,6.1,6.12,6.67,33186.6,False,False,603903.SH,2024-08-09,-0.006557377049180357,0.0066006600660066805,0.003278688524590345
9.47,9.43,9.42,9.55,10.37,7918.6,False,False,605122.SH,2024-08-12,-0.004223864836325308,-0.0010604453870625141,0.013800424628450214
12.35,12.47,12.68,12.45,13.72,5881.12,False,False,605259.SH,2024-08-12,0.009716599190283448,0.016840417000801855,-0.01813880126182965
7.36,7.43,7.42,7.75,8.17,297654.61,False,False,600834.SH,2024-08-13,0.009510869565217295,-0.0013458950201884479,0.04447439353099725
9.42,9.56,9.55,9.8,10.52,53248.57,False,False,605122.SH,2024-08-13,0.014861995753715496,-0.0010460251046024993,0.02617801047120416
5.1,4.92,4.93,4.89,5.9,192806.58,False,False,300215.SZ,2024-08-14,-0.03529411764705881,0.00203252032520318,-0.008113590263691739
