trade_date,real_top2,proxy_top2,n_overlap,n_real,n_proxy
2024-07-01,300119.SZ|600702.SH,300119.SZ|301358.SZ,1,2,2
2024-07-02,300979.SZ|600467.SH,300304.SZ|600060.SH,0,2,2
2024-07-03,600641.SH,300625.SZ|600641.SH,1,1,2
2024-07-04,-,300592.SZ|300990.SZ,0,0,2
2024-07-05,300838.SZ|603137.SH,300838.SZ|603137.SH,2,2,2
2024-07-08,-,000726.SZ|300681.SZ,0,0,2
2024-07-09,001332.SZ|002718.SZ,002718.SZ|300838.SZ,1,2,2
2024-07-10,002718.SZ|603507.SH,002718.SZ|603507.SH,2,2,2
2024-07-11,301345.SZ|605122.SH,301345.SZ|605122.SH,2,2,2
2024-07-12,301345.SZ|603137.SH,301345.SZ|603679.SH,1,2,2
2024-07-15,301345.SZ,301345.SZ|605122.SH,1,1,2
2024-07-16,002853.SZ|603617.SH,002853.SZ|603617.SH,2,2,2
2024-07-17,000680.SZ|301345.SZ,000680.SZ|301345.SZ,2,2,2
2024-07-18,301110.SZ|301345.SZ,301345.SZ|605128.SH,1,2,2
2024-07-19,002853.SZ|603617.SH,603320.SH|603617.SH,1,2,2
2024-07-22,000573.SZ|002679.SZ,002679.SZ|603320.SH,1,2,2
2024-07-23,300547.SZ|603320.SH,300547.SZ|300893.SZ,1,2,2
2024-07-24,300881.SZ|300893.SZ,300893.SZ|603239.SH,1,2,2
2024-07-25,300881.SZ|601899.SH,300893.SZ|601899.SH,1,2,2
2024-07-26,300893.SZ|600449.SH,003000.SZ|300893.SZ,1,2,2
2024-07-29,001322.SZ|605122.SH,002126.SZ|300881.SZ,0,2,2
2024-07-30,600183.SH|603337.SH,600183.SH|603337.SH,2,2,2
2024-07-31,001225.SZ|603337.SH,001225.SZ|603337.SH,2,2,2
2024-08-01,605122.SH|605138.SH,001322.SZ|605122.SH,1,2,2
2024-08-02,603681.SH|603777.SH,001322.SZ|603681.SH,1,2,2
2024-08-05,-,002845.SZ|605138.SH,0,0,2
2024-08-06,002918.SZ|603995.SH,002918.SZ|603995.SH,2,2,2
2024-08-07,603819.SH|605122.SH,002918.SZ|301381.SZ,0,2,2
2024-08-08,301108.SZ|605122.SH,002111.SZ|605259.SH,0,2,2
2024-08-09,002845.SZ|603903.SH,603995.SH|605122.SH,0,2,2
2024-08-12,002731.SZ,002731.SZ|605122.SH,1,1,2
2024-08-13,300838.SZ|605122.SH,300838.SZ|605122.SH,2,2,2
2024-08-14,002111.SZ|301309.SZ,300838.SZ|301309.SZ,1,2,2
2024-08-15,300838.SZ,300838.SZ|603176.SH,1,1,2
2024-08-16,002830.SZ|301053.SZ,002830.SZ|300838.SZ,1,2,2
2024-08-19,000554.SZ|002809.SZ,000554.SZ|300838.SZ,1,2,2
2024-08-20,300105.SZ,300105.SZ|301209.SZ,1,1,2
2024-08-21,301227.SZ|600834.SH,000554.SZ|300703.SZ,0,2,2
2024-08-22,301030.SZ|301053.SZ,002609.SZ|301030.SZ,1,2,2
2024-08-23,301030.SZ|301276.SZ,301030.SZ|603031.SH,1,2,2
2024-08-26,603191.SH|603517.SH,301276.SZ|603191.SH,1,2,2
2024-08-27,-,603303.SH,0,0,1
2024-08-28,603307.SH|603517.SH,601512.SH,0,2,1
2024-08-29,301227.SZ|603282.SH,301227.SZ|600548.SH,1,2,2
2024-08-30,603282.SH|603307.SH,603216.SH|603238.SH,0,2,2
2024-09-02,300575.SZ|603216.SH,300575.SZ|603216.SH,2,2,2
2024-09-03,603307.SH|603590.SH,603590.SH,1,2,1
2024-09-04,300775.SZ,002237.SZ|301088.SZ,0,1,2
2024-09-05,301391.SZ|603073.SH,301322.SZ|603073.SH,1,2,2
2024-09-06,-,001368.SZ|603949.SH,0,0,2
2024-09-09,600479.SH|601857.SH,600479.SH|601857.SH,2,2,2
2024-09-10,600035.SH|603307.SH,600035.SH|600479.SH,1,2,2
2024-09-11,600035.SH|600461.SH,600035.SH|601298.SH,1,2,2
2024-09-12,601158.SH,000999.SZ|600479.SH,0,1,2
2024-09-13,000999.SZ|600332.SH,000999.SZ,1,2,1
2024-09-18,-,001318.SZ,0,0,1
2024-09-19,301227.SZ|603307.SH,301227.SZ|603307.SH,2,2,2
2024-09-20,301276.SZ,301227.SZ|603073.SH,0,1,2
2024-09-23,001222.SZ|301276.SZ,301276.SZ|301322.SZ,1,2,2
2024-09-24,002969.SZ|603307.SH,002969.SZ|603307.SH,2,2,2
2024-09-25,002969.SZ|603130.SH,002443.SZ|002969.SZ,1,2,2
2024-09-26,603130.SH|605003.SH,603307.SH|605003.SH,1,2,2
2024-09-27,301233.SZ|603130.SH,300864.SZ|301233.SZ,1,2,2
2024-09-30,600900.SH|601000.SH,600035.SH|601000.SH,1,2,2
2024-10-08,600548.SH|600674.SH,600548.SH|600674.SH,2,2,2
2024-10-09,600642.SH,600642.SH|603535.SH,1,1,2
2024-10-10,600461.SH|601107.SH,600461.SH|603819.SH,1,2,2
2024-10-11,-,603878.SH|603886.SH,0,0,2
2024-10-14,600011.SH|603819.SH,600011.SH|603886.SH,1,2,2
2024-10-15,603137.SH|603225.SH,603137.SH|603225.SH,2,2,2
2024-10-16,601566.SH|603693.SH,002993.SZ,0,2,1
2024-10-17,-,-,0,0,0
