date,code,rank,total_new,prob_ab
2026-09-08,002780.SZ,1,71.0,0.5443704589223318
2026-09-08,300475.SZ,2,68.5,0.5461107544862025
2026-09-08,603901.SH,3,68.5,0.5452474948245727
2026-09-08,301500.SZ,4,68.0,0.5713827360209197
2026-09-08,002541.SZ,5,68.0,0.5532862876474944
2026-09-08,600409.SH,6,68.0,0.5486792713158246
2026-09-08,603068.SH,7,68.0,0.5472430941304861
2026-09-08,300434.SZ,8,68.0,0.543664973171176
2026-09-08,603091.SH,9,67.5,0.5537032705640086
2026-09-08,000062.SZ,10,67.5,0.5475850445747737
2026-09-09,601595.SH,1,69.0,0.5551710084006695
2026-09-09,301210.SZ,2,68.5,0.5720494408083251
2026-09-09,600176.SH,3,68.5,0.5523188203616982
2026-09-09,603663.SH,4,68.5,0.5420079107650645
2026-09-09,002780.SZ,5,68.0,0.5731536372050288
2026-09-09,603255.SH,6,68.0,0.5715212686152149
2026-09-09,603860.SH,7,68.0,0.5587441570822682
2026-09-09,000062.SZ,8,67.5,0.5561574792249651
2026-09-09,003028.SZ,9,66.5,0.5568608255518736
2026-09-09,603757.SH,10,66.0,0.5814280315066634
2026-09-10,301210.SZ,1,65.5,0.5971975532581301
2026-09-10,003018.SZ,2,65.5,0.5907399707487646
2026-09-10,601890.SH,3,65.5,0.5650526811203608
2026-09-10,600409.SH,4,65.0,0.5949401112457303
2026-09-10,300602.SZ,5,65.0,0.5862512605524338
2026-09-10,300434.SZ,6,65.0,0.5800630145663287
2026-09-10,002876.SZ,7,65.0,0.5799623489515663
2026-09-10,001256.SZ,8,65.0,0.5784384087094074
2026-09-10,603860.SH,9,65.0,0.5729831404874568
2026-09-10,603271.SH,10,65.0,0.5683798496540692
2026-09-11,600616.SH,1,68.0,0.5741211180882176
2026-09-11,002128.SZ,2,67.0,0.5946337632145164
2026-09-11,003018.SZ,3,65.5,0.5914940613238191
2026-09-11,603225.SH,4,65.0,0.6078327296706261
2026-09-11,603860.SH,5,65.0,0.6033680653634133
2026-09-11,000949.SZ,6,65.0,0.5966293523901365
2026-09-11,002440.SZ,7,65.0,0.5952163201710045
2026-09-11,601233.SH,8,65.0,0.5936429119475025
2026-09-11,300434.SZ,9,65.0,0.5908565393338966
2026-09-11,002376.SZ,10,65.0,0.5904031598984226
