date,code,rank,total_new,ens,pv,pg
2026-09-09,002824.SZ,1,65.5,0.9916752488843116,0.5431143468929341,0.6125461441808988
2026-09-09,603721.SH,2,64.0,0.9473051836594576,0.6051979607965546,0.4984169889108762
2026-09-10,002412.SZ,1,62.5,0.9990559560590456,0.610016477387844,0.6302421842200524
2026-09-10,600409.SH,2,65.0,0.997425334706488,0.5949401112457303,0.619549109861456
2026-09-10,601233.SH,3,60.0,0.9965671129419842,0.5833782115533275,0.6123678399863862
2026-09-10,002824.SZ,4,62.5,0.995193958118778,0.5728259646314658,0.6201236123354001
2026-09-10,000893.SZ,5,62.5,0.9941640920013732,0.5673200034024667,0.6204483689848348
2026-09-10,601636.SH,6,61.5,0.9918468932372124,0.5575647964464517,0.6278020652069335
2026-09-10,300138.SZ,7,64.0,0.9826639203570202,0.5391440660290249,0.634063898574631
2026-09-10,603985.SH,8,62.5,0.9823206316512186,0.5419593900671773,0.6001494671529747
2026-09-10,300201.SZ,9,62.5,0.9806041881222108,0.537275420913301,0.6345431866976949
2026-09-10,002780.SZ,10,62.5,0.9785444558874014,0.6029053665612499,0.5492055731869225
2026-09-10,002412.SZ,1,62.5,0.9990559560590457,0.610016477387844,0.6302421842200524
2026-09-10,600409.SH,2,65.0,0.9974253347064881,0.5949401112457303,0.619549109861456
2026-09-10,601233.SH,3,60.0,0.9965671129419842,0.5833782115533275,0.6123678399863862
2026-09-10,002824.SZ,4,62.5,0.9951939581187779,0.5728259646314658,0.6201236123354001
2026-09-10,000893.SZ,5,62.5,0.9941640920013731,0.5673200034024667,0.6204483689848348
2026-09-10,601636.SH,6,61.5,0.9918468932372125,0.5575647964464517,0.6278020652069335
2026-09-10,300138.SZ,7,64.0,0.9826639203570202,0.5391440660290249,0.634063898574631
2026-09-10,603985.SH,8,62.5,0.9823206316512186,0.5419593900671773,0.6001494671529747
2026-09-10,300201.SZ,9,62.5,0.9806041881222107,0.537275420913301,0.6345431866976949
2026-09-10,002780.SZ,10,62.5,0.9785444558874014,0.6029053665612499,0.5492055731869225
