date,code,total_new,prob,entry,exit,ret,hold,rank
2026-08-17,300201.SZ,73.0,0.6361099833248711,15.3,14.06,-0.081045751633987,10.0,1
2026-08-17,002846.SZ,70.5,0.6172453597542032,10.82,11.0,0.0166358595194084,10.0,2
2026-08-18,603155.SH,67.0,0.6171050296830326,14.45,13.67,-0.0539792387543252,10.0,1
2026-08-18,300201.SZ,65.0,0.6425391418915959,15.13,13.89,-0.0819563780568407,10.0,2
2026-08-19,002845.SZ,62.0,0.7641138688619268,13.07,13.9,0.0635042081101759,10.0,1
2026-08-19,002725.SZ,60.50000000000001,0.7697339811737192,11.07,11.78,0.0641373080397471,10.0,2
2026-08-20,002918.SZ,70.5,0.6094903206679165,9.91,11.08,0.1180625630676084,10.0,1
2026-08-20,300590.SZ,67.5,0.6361920672499365,10.81,11.28,0.0434782608695651,10.0,2
2026-08-21,600522.SH,74.5,0.6608330596503473,33.42,32.1,-0.0394973070017953,10.0,1
2026-08-21,603032.SH,67.5,0.6654960310891418,18.7,19.2,0.0267379679144386,10.0,2
2026-08-24,000672.SZ,64.5,0.7062,13.89,14.93,0.0748740100791938,10.0,1
2026-08-24,002137.SZ,64.5,0.6882,7.32,7.75,0.0587431693989071,10.0,2
2026-08-25,600522.SH,74.5,0.6579,33.980000000000004,33.4,-0.0170688640376693,10.0,1
2026-08-25,001266.SZ,70.5,0.632,34.800000000000004,33.07,-0.0497126436781609,10.0,2
2026-08-26,300505.SZ,68.5,0.5786497924353216,19.76,22.84,0.1558704453441297,10.0,1
2026-08-26,600596.SH,67.5,0.6701529117602111,10.52,12.25,0.164448669201521,10.0,2
2026-08-27,603985.SH,70.5,0.6434048623432083,16.89,16.75,-0.0082889283599763,10.0,1
2026-08-27,001266.SZ,70.5,0.6150741982916134,34.9,32.28,-0.0750716332378222,10.0,2
2026-08-28,300005.SZ,70.5,0.6439401269312627,,,,,1
2026-08-28,001336.SZ,65.0,0.5949418917980712,,,,,2
2026-08-31,300475.SZ,75.0,0.5997730082152017,,,,,1
2026-08-31,603256.SH,70.5,0.6174146097921757,,,,,2
2026-09-01,600262.SH,62.5,0.6267604212268979,,,,,1
2026-09-01,300964.SZ,62.5,0.6107205225309402,,,,,2
2026-09-02,300475.SZ,70.5,0.6014104629453494,,,,,1
2026-09-02,002641.SZ,69.0,0.5790296097390931,,,,,2
2026-09-02,603032.SH,67.5,0.5738218101858645,,,,,3
2026-09-02,300001.SZ,67.0,0.5995700645642096,,,,,4
2026-09-02,300748.SZ,66.5,0.5703073435378087,,,,,5
2026-09-02,301172.SZ,65.0,0.582718226185717,,,,,6
2026-09-02,603893.SH,65.0,0.5673037102432177,,,,,7
2026-09-02,002772.SZ,64.5,0.6107066569502672,,,,,8
2026-09-02,301150.SZ,64.5,0.5884341851487153,,,,,9
2026-09-02,002965.SZ,63.50000000000001,0.5996152997550911,,,,,10
2026-09-02,601636.SH,63.50000000000001,0.5764811792952483,,,,,11
2026-09-02,601118.SH,63.0,0.5892288256563923,,,,,12
2026-09-03,300475.SZ,70.5,0.6161175994559197,,,,,1
2026-09-03,301183.SZ,70.0,0.5690224411674373,,,,,2
2026-09-03,300748.SZ,69.5,0.5626209312958795,,,,,3
2026-09-03,301099.SZ,67.5,0.5549429844551844,,,,,4
2026-09-03,001266.SZ,67.5,0.5892806452399015,,,,,5
2026-09-03,300005.SZ,67.5,0.58457043950996,,,,,6
2026-09-03,600267.SH,67.0,0.5583829515190794,,,,,7
2026-09-03,002965.SZ,66.5,0.6205120425796102,,,,,8
2026-09-03,300259.SZ,66.5,0.6154686687582654,,,,,9
2026-09-03,300394.SZ,66.5,0.572851181309978,,,,,10
2026-09-03,002993.SZ,65.5,0.5721740466874383,,,,,11
2026-09-03,301265.SZ,65.0,0.6149431325871226,,,,,12
2026-09-03,301528.SZ,65.0,0.6122703216426831,,,,,13
2026-09-03,603876.SH,64.5,0.6226341770700583,,,,,14
2026-09-04,300005.SZ,67.5,0.5871350681138107,,,,,1
2026-09-04,603876.SH,64.5,0.5798947558973129,,,,,2
2026-09-04,301217.SZ,64.5,0.5930790624562767,,,,,3
2026-09-04,000062.SZ,64.5,0.6200949345388452,,,,,4
2026-09-04,601636.SH,63.50000000000001,0.5937841320512898,,,,,5
2026-09-04,002824.SZ,62.5,0.5824338641304503,,,,,6
2026-09-04,300130.SZ,62.5,0.6423975616702903,,,,,7
2026-09-04,301590.SZ,62.5,0.5938679845606544,,,,,8
2026-09-04,002376.SZ,62.0,0.6133917807421051,,,,,9
2026-09-04,603255.SH,62.0,0.6160429269749021,,,,,10
2026-09-04,601615.SH,60.50000000000001,0.6185632546674777,,,,,11
2026-09-07,300475.SZ,70.5,0.5990076802097937,,,,,1
2026-09-07,002048.SZ,70.5,0.5846383948393493,,,,,2
2026-09-07,002137.SZ,70.5,0.5777710164421176,,,,,3
2026-09-07,603551.SH,69.5,0.6163699387208713,,,,,4
