选股日,次日,代码,total_new,open,close,open→close%
2026-08-17,2026-08-18,300201.SZ,73.0,15.3,15.28,-0.13
2026-08-17,2026-08-18,002846.SZ,70.5,10.82,10.67,-1.39
2026-08-18,2026-08-19,603155.SH,67.0,14.450000000000001,13.82,-4.36
2026-08-18,2026-08-19,300201.SZ,65.0,15.13,14.35,-5.16
2026-08-19,2026-08-20,002845.SZ,62.0,13.07,13.22,1.15
2026-08-19,2026-08-20,002725.SZ,60.50000000000001,11.07,11.190000000000001,1.08
2026-08-20,2026-08-21,002918.SZ,70.5,9.91,10.13,2.22
2026-08-20,2026-08-21,300590.SZ,67.5,10.81,10.93,1.11
2026-08-21,2026-08-24,600522.SH,74.5,33.42,32.53,-2.66
2026-08-21,2026-08-24,603032.SH,67.5,18.7,20.22,8.13
2026-08-24,2026-08-25,000672.SZ,64.5,13.89,13.82,-0.5
2026-08-24,2026-08-25,002137.SZ,64.5,7.32,7.6000000000000005,3.83
