ts_code,model_prob,score_total,SC_F1,SC_F2,SC_F3,SC_F4,SC_F5,SC_F6,combo,trade_date
001260.SZ,0.6674,66.5,7.0,4.0,7.0,10.0,8.0,4.0,0.6664,20260814
002237.SZ,0.6487,67.5,8.0,4.0,7.0,5.0,8.0,10.0,0.6592,20260814
300684.SZ,0.685,60.5,7.0,4.0,4.0,10.0,8.0,4.0,0.653,20260814
000737.SZ,0.6452,65.5,8.0,4.0,7.0,5.0,6.0,10.0,0.6491,20260814
603230.SH,0.5833,72.0,8.0,6.0,7.0,10.0,4.0,7.0,0.638,20260814
300916.SZ,0.5833,72.0,8.0,4.0,7.0,10.0,8.0,7.0,0.638,20260814
300818.SZ,0.6253,65.5,8.0,6.0,7.0,5.0,8.0,4.0,0.6372,20260814
600790.SH,0.6326,63.5,8.0,4.0,7.0,7.0,4.0,7.0,0.6336,20260814
000539.SZ,0.5913,69.5,8.0,8.0,7.0,5.0,5.0,7.0,0.6328,20260814
002104.SZ,0.6439,61.5,8.0,4.0,7.0,5.0,8.0,4.0,0.6323,20260814
