ts_code,name,quote_pct,model_prob,F1,F2,F3,F4,F5,F6,total,pe_ttm,main_net_inflow,liangbi,industry_pct,catalyst_note,source
300684.SZ,中石科技,0.94,0.7512,7.0,5.0,8.0,10.0,2.0,4.0,64.5,71.69,-17619773.0,2.33,-6.26,半年报净利+13.59%，中际旭创拟入股(10.47%)光模块散热协同，上周融资加仓5.5亿,tencent+em
000960.SZ,锡业股份,-3.75,0.5747,9.0,5.0,6.0,7.0,2.0,7.0,64.0,23.7,-41408523.0,2.85,-6.14,中邮证券买入评级，H1扣非净利+49.3%，锡价上涨,tencent+em
002104.SZ,恒宝股份,-0.35,0.6657,8.0,5.0,7.0,5.0,10.0,1.0,62.5,582.91,-22483364.0,5.65,14.49,3连板异动(涨幅偏离超20%)，龙虎榜净买6244万机构买入,tencent+em
002237.SZ,恒邦股份,-0.46,0.6217,8.0,8.0,0.0,5.0,5.0,10.0,58.5,21.76,17974155.0,3.85,0.8,无,tencent+em
000737.SZ,北方铜业,-2.15,0.609,8.0,5.0,0.0,5.0,10.0,10.0,57.5,26.86,-13492133.0,2.57,3.84,无,tencent+em
001260.SZ,坤泰股份,-2.0,0.6681,7.0,2.0,0.0,10.0,8.0,4.0,48.5,54.51,-870123.0,1.79,2.5,无,tencent+em
002155.SZ,湖南黄金,0.0,0.5957,8.0,5.0,0.0,5.0,4.0,7.0,48.5,21.45,,0.0,0.0,停牌(8/24起),tencent+em
605077.SH,华康股份,0.65,0.6284,8.0,6.0,0.0,5.0,2.0,7.0,48.5,30.25,232192.0,1.56,-1.63,无,tencent+em
000539.SZ,粤电力Ａ,-0.56,0.604,8.0,2.0,0.0,5.0,2.0,7.0,40.5,33.41,-39966.0,1.58,-1.31,无,tencent+em
300818.SZ,耐普矿机,-1.08,0.6201,8.0,2.0,0.0,5.0,2.0,4.0,37.5,82.21,-292196.0,1.46,-2.95,无,tencent+em
