ts_code,name,quote_pct,model_prob,F1,F2,F3,F4,F5,F6,total,pe_ttm,main_net_inflow,liangbi,industry_pct,catalyst_note,source,crosscheck_warn
300413.SZ,芒果超媒,4.19,0.582,8.0,5.0,8.0,10.0,5.0,4.0,70.0,99.15,-5478000.0,7.118,1.0166,AI长剧《后西游记》上星湖南卫视黄金档，传媒AIGC主线标杆；9/1涨停20CM+龙虎榜营业部净买2.98亿；今日再拉+11%但资金两源反向分歧,tdx_quotes1017+mx_dongcai1017+rev_cache0925,"F2资金:悟道capital_flow不可达，用TDX(首优先)vs东财mx当日两源对拍；两源反向: TDX +29628672元 vs 东财mx -24380000元，主力口径分歧; 行情:sina globalStockQuoteRealtime不可达，用TDX现价对拍；腾讯vsTDX最新价差2.06%(快速波动时点差,需9:45复核); F5板块:sina cnVirtualSectorRanking/悟道板块源不可达，仅TDX行业涨幅单源(无法两源对拍)"
002190.SZ,成飞集成,-1.78,0.616,8.0,5.0,5.0,10.0,5.0,1.0,61.0,-78.95,-27880000.0,2.6267,0.3327,军工/兵装重组题材(9/2地面兵装领涨)；9/11业绩说明会；中报净利-5891万(-294.83%)亏损扩大，题材驱动,tdx_quotes1017+mx_dongcai1017+rev_cache0925,F5板块:sina cnVirtualSectorRanking/悟道板块源不可达，仅TDX行业涨幅单源(无法两源对拍)
300434.SZ,金石亚药,-2.2,0.551,9.0,2.0,5.0,5.0,4.0,10.0,58.0,23.4,-3064000.0,1.619,-0.0809,"中报净利9547万+45.22%/扣非+54.72%；快克品牌势能；但董事郑志勇减持55万股(9/2届满,减持价11.26)",tdx_quotes1017+mx_dongcai1017+rev_cache0925,F5板块:sina cnVirtualSectorRanking/悟道板块源不可达，仅TDX行业涨幅单源(无法两源对拍)
600267.SH,海正药业,0.17,0.5527,9.0,2.0,7.0,3.0,4.0,7.0,56.0,10.9,-5730000.0,0.8817,-0.0809,中报净利6.36亿+112.82%/Q2+167.81%；与星际开发战略合作布局太空生物制药(8/28),tdx_quotes1017+mx_dongcai1017+rev_cache0925,F5板块:sina cnVirtualSectorRanking/悟道板块源不可达，仅TDX行业涨幅单源(无法两源对拍)
002346.SZ,柘中股份,-1.5,0.5812,9.0,2.0,6.0,3.0,5.0,7.0,55.0,13.15,-3807000.0,1.4963,0.5343,3.54亿控股杰创半导体53.19%(光芯片转型)；中报净利3.2亿+118.53%靠投资收益；9/2融资买入1158万,tdx_quotes1017+mx_dongcai1017+rev_cache0925,F5板块:sina cnVirtualSectorRanking/悟道板块源不可达，仅TDX行业涨幅单源(无法两源对拍)
300001.SZ,特锐德,0.44,0.583,9.0,2.0,6.0,3.0,5.0,7.0,55.0,41.84,-5799000.0,0.6062,0.529,累计回购518万股(1.85亿)；连续中标(307.94/878.55万)；开源证券买入评级目标价43.27；AI算电岛+充电网,tdx_quotes1017+mx_dongcai1017+rev_cache0925,F5板块:sina cnVirtualSectorRanking/悟道板块源不可达，仅TDX行业涨幅单源(无法两源对拍)
002628.SZ,成都路桥,-3.66,0.6375,9.0,2.0,3.0,10.0,5.0,1.0,53.5,-60.47,-23400000.0,1.5498,0.3249,四川基建+机器人题材；控股股东一致行动人7%股份遭司法拍卖；中报亏损；9/1曾触涨停后回落,tdx_quotes1017+mx_dongcai1017+rev_cache0925,F5板块:sina cnVirtualSectorRanking/悟道板块源不可达，仅TDX行业涨幅单源(无法两源对拍)
600103.SH,青山纸业,-6.36,0.5549,9.0,2.0,3.0,10.0,4.0,1.0,52.5,102.49,-45420000.0,1.8807,-0.2388,CPO概念9/1涨停6天4板后高位分歧；9/1龙虎榜沪股通净卖9486万/换手33.97%；今日-3~-4%继续回落,tdx_quotes1017+mx_dongcai1017+rev_cache0925,"行情:sina globalStockQuoteRealtime不可达，用TDX现价对拍；腾讯vsTDX最新价差1.31%(快速波动时点差,需9:45复核); F5板块:sina cnVirtualSectorRanking/悟道板块源不可达，仅TDX行业涨幅单源(无法两源对拍)"
600498.SH,烽火通信,-2.92,0.6039,8.0,1.0,5.0,7.0,4.0,1.0,47.5,137.19,-271200000.0,1.7549,-0.9677,光纤光缆/CPO概念(英伟达财报催化通信设备)；但中报增收不增利净利-32.72%；今日-1.6%主力净流出,tdx_quotes1017+mx_dongcai1017+rev_cache0925,F5板块:sina cnVirtualSectorRanking/悟道板块源不可达，仅TDX行业涨幅单源(无法两源对拍)
603663.SH,三祥新材,-1.66,0.5732,8.0,2.0,5.0,5.0,5.0,1.0,47.5,155.31,-6597000.0,1.1552,0.0132,中报净利7701万；锆铪项目或投产在即(浙商)；9/2融资买入7317万(>80%分位)；9/1跌4.7%,tdx_quotes1017+mx_dongcai1017+rev_cache0925,F5板块:sina cnVirtualSectorRanking/悟道板块源不可达，仅TDX行业涨幅单源(无法两源对拍)
