ts_code,name,quote_pct,model_prob,F1,F2,F3,F4,F5,F6,total,pe_ttm,main_net_inflow,liangbi,industry_pct,catalyst_note,source,f2_source,f5_source,ind_used,ind_label,crosscheck_warn,tushare_crosscheck
605277.SH,新亚电子,-2.02,0.5358,9.0,6.0,7.0,7.0,10.0,10.0,79.0,25.56,,2.41,,H1净利+30%；高速铜缆H1营收1.45亿+54%；9/3获3家机构调研；全年目标43亿；今日-2%回调,tencent+ifind,tushare_20260907,sw_l1_20260907,3.02738774757699,电子(sw_l1_20260907),,
601999.SH,出版传媒,3.02,0.5658,9.0,5.0,7.0,10.0,8.0,7.0,76.5,44.1,,7.21,,9/3拟出资2.4亿参设10亿数智文化基金(AI方向)；9/7投决会架构落地推进；9/18股东会审议；今日+3.02%放量,tencent+ifind,tushare_20260907,sw_l1_20260907,1.5725347380291317,传媒(sw_l1_20260907),,
601579.SH,会稽山,-0.13,0.5366,7.0,8.0,7.0,10.0,5.0,7.0,74.5,40.62,,5.69,,9/4黄酒板块涨停、连续10日站上年线；H1净利1.29亿+37%、中高端占比70%；高端化/年轻化叙事；但营收增速放缓承压,tencent+ifind,tushare_20260907,sw_l1_20260907,1.2402791240666189,食品饮料(sw_l1_20260907),,
002709.SZ,天赐材料,-0.35,0.5694,8.0,8.0,9.0,3.0,5.0,7.0,70.5,17.46,,1.81,,H1净利28.61亿+968%；电解液/六氟满产、8月提价2次至3.1万/吨；9/3 H股通过港交所聆讯；东吴研报2026出货超100万吨+40%,tencent+ifind,tushare_20260907,sw_l1_20260907,0.780603459908647,电力设备(sw_l1_20260907),,
001218.SZ,丽臣实业,0.5,0.5313,9.0,5.0,8.0,3.0,5.0,7.0,65.0,12.28,,2.07,,中报预增154-190%(净利1.4-1.6亿)；表面活性剂毛利率+3.16pp、外销+81.5%；2家机构预测2026净利2.9亿+79%,tencent+ifind,tushare_20260907,sw_l1_20260907,0.9153359508025416,基础化工(sw_l1_20260907),,
603683.SH,晶华新材,-0.18,0.5844,8.0,6.0,5.0,5.0,5.0,7.0,61.5,47.46,,1.37,,9/2公告累计回购195万股(0.67%)约3000万，中性偏好；无重大新催化,tencent+ifind,tushare_20260907,sw_l1_20260907,0.9153359508025416,基础化工(sw_l1_20260907),,
301190.SZ,善水科技,0.0,0.5586,8.0,6.0,6.0,3.0,5.0,7.0,60.5,36.54,,1.06,,H1净利8515万+78%(氯代吡啶放量)；但9/2-9/4主力连续净流出(-1265万/-407万)，资金面压制,tencent+ifind,tushare_20260907,sw_l1_20260907,0.9153359508025416,基础化工(sw_l1_20260907),,
301371.SZ,敷尔佳,0.51,0.5711,8.0,6.0,6.0,3.0,5.0,7.0,60.5,24.49,,1.44,,H1营收+34%/净利+11%；8/31获15家机构调研；股权激励2026-28收入+20/35/50%；但Q2净利-39%环比走弱,tencent+ifind,tushare_20260907,sw_l1_20260907,0.8741617758895951,美容护理(sw_l1_20260907),,
300558.SZ,贝达药业,-1.26,0.5528,8.0,5.0,7.0,3.0,5.0,7.0,60.5,43.18,,2.72,,9/3恩沙替尼新适应症获注册证；8/28四度递表港交所；H1经调净利2.98亿+97%；但埃克替尼仿制药上市、毛利率下滑,tencent+ifind,tushare_20260907,sw_l1_20260907,0.38497418934577465,医药生物(sw_l1_20260907),,
605398.SH,新炬网络,-6.22,0.59,8.0,5.0,2.0,10.0,4.0,1.0,54.0,1755.7,,9.54,,5天4板后9/4澄清AI智能体收入占比<1%、H1亏损639.9万；9/7龙虎榜机构净卖3074万/北向净卖109万；今日-6.22%放量(量比9.5)高位派发风险,tencent+ifind,tushare_20260907,sw_l1_20260907,-0.11784085525597354,计算机(sw_l1_20260907),,
