ts_code,name,quote_pct,model_prob,F1,F2,F3,F4,F5,F6,total,pe_ttm,main_net_inflow,liangbi,industry_pct,catalyst_note,source,f2_source,f5_source,ind_used,ind_label,crosscheck_warn,tushare_crosscheck,trade_date,pre20,dist_hi20,vr,amt5,pct_chg
601890.SH,亚星锚链,-2.22,0.6638,9.0,10.0,7.0,10.0,5.0,10.0,86.5,27.38,,9.34,,9/9涨停(航母/船舶/海工概念领涨+龙虎榜沪股通净买2683.94万/营业部净买1.86亿)+中报净利+33.37%；9/10主力净卖出1.75亿高位分歧、9/11融资客净买5917.99万；今日-2.22%回调,tencent+ifind,tushare_20260909,realtime,,实时行业,F5板块:东财概念板块 船舶制造 -2.68%（09:34 单源实时，TDX 不可达/悟道受限未交叉）,,2026-09-10,20.838183934807898,0.0,3.408570907666281,8.918246380000001,2.9761904761904656
000949.SZ,新乡化纤,-7.02,0.5249,9.0,8.0,6.0,3.0,5.0,10.0,70.0,21.96,,6.16,,9/9-9/10 13亿定增问询函回复(控股股东白鹭/国资认购≥1亿)+中报净利预增378-537%+生物质长丝全球第一满产(利用率93.96%)；但9/11广发基金重仓浮亏+今日-7.02%大跌,tencent+em,tushare_20260909,realtime,,实时行业,F5板块:板块 化纤 涨幅未取到（东财mx 概念接口未返回，TDX 不可达/悟道受限）,,2026-09-10,7.716535433070892,-13.962264150943394,1.1030478069494742,3.9944076980000003,-6.938775510204076
300145.SZ,南方泵业,-2.34,0.54,9.0,6.0,6.0,5.0,5.0,7.0,66.0,34.71,,3.77,,数据中心液冷泵全场景方案(屏蔽泵/CDU/一次侧)+中邮证券首予增持(9/8)+9/2融资买入5617万+中报净利+10.75%；今日-2.34%,tencent+ifind,tushare_20260909,realtime,,实时行业,F5板块:板块 通用机械 涨幅未取到（东财mx 概念接口未返回，TDX 不可达/悟道受限）,,2026-09-10,9.027777777777768,-8.897485493230173,0.568011523896973,4.784133454,-2.886597938144342
600551.SH,时代出版,-2.65,0.5437,9.0,5.0,4.0,5.0,5.0,10.0,63.0,12.39,,6.8,,8/28-9/1涨停异动后9/1-9/2连续风险提示公告(非理性炒作警示)、9/17临时股东会；9/9融资净买961.4万；今日-2.65%,tencent+ifind,tushare_20260909,realtime,,实时行业,F5板块:东财概念板块 出版 -1.76%（09:34 单源实时，TDX 不可达/悟道受限未交叉）,,2026-09-10,8.9337175792507,-16.74008810572688,0.5975804365417203,4.563452116000001,-2.3255813953488413
002346.SZ,柘中股份,-2.67,0.5409,8.0,6.0,7.0,3.0,5.0,7.0,62.5,12.89,,16.17,,8/25斥资3亿控股杰创半导体(光芯片IDM跨界半导体)+中报净利+118.53%(8/20)+9/9融资买入685万；今日-2.67%,tencent+ifind,tushare_20260909,realtime,,实时行业,F5板块:东财概念板块 电力设备 -1.35%（09:34 单源实时，TDX 不可达/悟道受限未交叉）,,2026-09-10,-16.844053678852365,-31.673003802281364,0.8881538943450461,0.9568111699999999,-2.601626016260161
003018.SZ,金富科技,-2.82,0.5491,9.0,5.0,8.0,5.0,5.0,1.0,62.0,103.56,,45.05,,液冷业务Q2并表(卓晖/联益51%)+中报净利+93.87%+9/3涨停(液冷散热+定增扩产)+9/4定增3亿获批；今日-2.82%,tencent+ifind,tushare_20260909,realtime,,实时行业,行情:腾讯/东财至少一源缺失（300990/003018 东财push2 连接失败）; F5板块:东财概念板块 包装印刷 -0.96%（09:34 单源实时，TDX 不可达/悟道受限未交叉）,,2026-09-10,26.325088339222624,-11.306042884990253,0.6196775924744576,12.215105803999998,-2.928626842513582
300674.SZ,宇信科技,-2.31,0.5178,8.0,5.0,6.0,5.0,5.0,7.0,61.5,22.33,,13.53,,9/9机构调研(泰康/工银瑞信/磐泽/鸿道/东北证券)+数字人民币参建半数新增运营机构+金融智算Token工厂战略合作(9/3)+9/10融资净买147万；今日-2.31%,tencent+em,tushare_20260909,realtime,,实时行业,F5板块:板块 金融科技 涨幅未取到（东财mx 概念接口未返回，TDX 不可达/悟道受限）,,2026-09-10,5.621486570893186,-7.036833424958777,0.39236257858896995,4.840801138000001,-1.1111111111111183
300990.SZ,同飞股份,-4.92,0.5436,9.0,5.0,6.0,5.0,5.0,4.0,61.0,56.96,,71.65,,液冷全套方案(CDU/Manifold/浸没TANK)+定增11.4亿获批(8/28)+浙商证券买入评级(9/9)+机构调研(8/31)；今日-4.92%,tencent+ifind,tushare_20260909,realtime,,实时行业,行情:腾讯/东财至少一源缺失（300990/003018 东财push2 连接失败）; F5板块:板块 液冷服务器 涨幅未取到（东财mx 概念接口未返回，TDX 不可达/悟道受限）,,2026-09-10,22.43335611756663,-16.46301650965394,0.5918184246737602,9.975124423999999,-3.4393530997304578
002412.SZ,汉森制药,-3.87,0.5679,8.0,5.0,3.0,3.0,5.0,10.0,55.5,18.54,,8.15,,8/21-8/27涨停后8/31-9/2连续跌停异动(炒作退潮)、8/31股东户数+169.52%筹码散化、9/9主力净流出3391万；今日-3.87%,tencent+ifind,tushare_20260909,realtime,,实时行业,F5板块:东财概念板块 中药 -1.05%（09:34 单源实时，TDX 不可达/悟道受限未交叉）,,2026-09-10,23.297002724795625,-35.449358059914424,0.9977334324110042,6.590411492000001,-6.022845275181721
603089.SH,正裕工业,-1.58,0.5361,8.0,5.0,3.0,3.0,5.0,1.0,46.5,-56.06,,8.52,,"8/19异动公告后回落+9/21解禁3569万股(占总股本12.94%,定增机构配售)+中报计提信用/资产减值(8/29)；今日-1.58%",tencent+ifind,tushare_20260909,realtime,,实时行业,F5板块:东财概念板块 汽车零部件 -1.17%（09:34 单源实时，TDX 不可达/悟道受限未交叉）,,2026-09-10,6.884875846501126,-19.745762711864423,0.7948940998487141,0.4509312420000001,-2.672147995888996
