ts_code,prob,total_new,SC_F1,SC_F2,SC_F3,SC_F4,SC_F5,SC_F6,trade_date
300475.SZ,0.599,70.5,8.0,6.0,9.0,7.0,5.0,5.0,20260907
002048.SZ,0.5846,70.5,8.0,6.0,9.0,7.0,5.0,5.0,20260907
002137.SZ,0.5778,70.5,8.0,6.0,9.0,7.0,5.0,5.0,20260907
603551.SH,0.6164,69.5,9.0,6.0,5.0,10.0,5.0,5.0,20260907
002993.SZ,0.6077,68.5,8.0,6.0,8.0,7.0,5.0,5.0,20260907
603683.SH,0.6646,67.5,8.0,6.0,9.0,5.0,5.0,5.0,20260907
301150.SZ,0.6403,67.5,8.0,6.0,9.0,5.0,5.0,5.0,20260907
002741.SZ,0.6206,67.5,8.0,6.0,9.0,5.0,5.0,5.0,20260907
300005.SZ,0.6061,67.5,8.0,6.0,9.0,5.0,5.0,5.0,20260907
601636.SH,0.5808,66.5,8.0,6.0,7.0,7.0,5.0,5.0,20260907
