ts_code,prob,total_new,SC_F1,SC_F2,SC_F3,SC_F4,SC_F5,SC_F6,trade_date
603093.SH,0.6124,70.5,8.0,6.0,9.0,7.0,5.0,5.0,20260908
603986.SH,0.5581,69.5,8.0,6.0,10.0,5.0,5.0,5.0,20260908
002741.SZ,0.5698,67.5,8.0,6.0,9.0,5.0,5.0,5.0,20260908
603002.SH,0.576,67.5,8.0,6.0,9.0,5.0,5.0,5.0,20260908
002145.SZ,0.5809,67.5,8.0,6.0,9.0,5.0,5.0,5.0,20260908
601233.SH,0.5531,65.0,7.0,6.0,9.0,5.0,5.0,5.0,20260908
000786.SZ,0.5604,64.5,8.0,10.0,5.0,3.0,5.0,5.0,20260908
603256.SH,0.6001,64.5,8.0,6.0,9.0,3.0,5.0,5.0,20260908
300724.SZ,0.6107,62.5,8.0,6.0,8.0,3.0,5.0,5.0,20260908
603155.SH,0.6332,62.5,8.0,6.0,5.0,7.0,5.0,5.0,20260908
