ts_code,total_new,ens,pv,pg,trade_date
603271.SH,62.5,0.9984,0.6043661593553278,0.7000661319450877,20260911
603225.SH,65.0,0.9972,0.6078327296706261,0.6645644261887609,20260911
600409.SH,62.5,0.9969,0.6426125151214523,0.645482056798743,20260911
601233.SH,65.0,0.9967,0.5936429119475025,0.6902014345874773,20260911
000893.SZ,62.5,0.9959,0.5959880041755408,0.6589900701441526,20260911
000949.SZ,65.0,0.9956,0.5966293523901365,0.6515335775988532,20260911
000524.SZ,62.5,0.9943,0.588238635152787,0.656584223700688,20260911
002365.SZ,62.5,0.9942,0.6022056414658676,0.6346201786848981,20260911
300138.SZ,61.0,0.9938,0.5814666038972577,0.6745609412802676,20260911
600191.SH,62.5,0.9915,0.5736890852932695,0.688995014291179,20260911
