instrument,mode,fill,cost,hold,n_trades,win_rate,avg_win,avg_loss,total,cagr,max_dd,sharpe,years
HS300,V1,close,0.0,4d,105,0.6571428571428571,0.022544289855072463,-0.014519305555555556,1.712745088331082,0.059828403072780256,-0.0728282336766977,1.004731981112564,17.17453798767967
HS300,V1,close,0.0,5d,105,0.638095238095238,0.028129268656716416,-0.018287815789473683,2.1060592894728813,0.06820523801135803,-0.08050510883195075,0.8906999666880502,17.177275838466805
HS300,V1,open,0.0,4d,105,0.6095238095238096,0.023006609375,-0.015604975609756096,1.2099863306652918,0.047254740465255685,-0.1273111243979423,0.7387602289443045,17.17453798767967
HS300,V1,open,0.0,5d,105,0.6095238095238096,0.028419859375000002,-0.017878341463414636,1.7781767558114283,0.061290126713559934,-0.1343218496431284,0.7515545925582411,17.177275838466805
HS300,V2,close,0.0,4d,209,0.6363636363636364,0.0221323984962406,-0.018651447368421052,3.2282551472500867,0.08660926246818823,-0.15016478137515002,0.9186291821167142,17.357973990417523
HS300,V2,close,0.0,5d,209,0.6267942583732058,0.02617223664122137,-0.0228061923076923,3.598009061739729,0.09185482974025971,-0.2139072066367056,0.8107879242097492,17.360711841204655
HS300,V2,open,0.0,4d,209,0.6028708133971292,0.02202522222222222,-0.019726831325301206,1.8681110917688653,0.06267329636280272,-0.2294577576323495,0.6746742813929035,17.333333333333332
HS300,V2,open,0.0,5d,209,0.6076555023923444,0.025948811023622044,-0.02312332926829268,2.5712893276884703,0.07618941248695976,-0.2265630925066749,0.6758250445384599,17.336071184120467
SSE,V1,close,0.0,4d,103,0.7378640776699029,0.019352539473684212,-0.013108296296296297,1.9740296826946921,0.06579967516034824,-0.052324856280707696,1.2983454335356226,17.10335386721424
SSE,V1,close,0.0,5d,103,0.6990291262135923,0.024790958333333335,-0.01747367741935484,2.311749122228767,0.0724872952344695,-0.0762239655800722,1.0633421867012756,17.111567419575632
SSE,V1,open,0.0,4d,103,0.6601941747572816,0.020806632352941175,-0.0145788,1.3901539656038016,0.05224954659870784,-0.10643798795199992,0.8976995465667361,17.1088295687885
SSE,V1,open,0.0,5d,103,0.6407766990291263,0.02659463636363637,-0.01689318918918919,1.9306343092056797,0.06485196742640742,-0.117836,0.8605195048332943,17.111567419575632
SSE,V2,close,0.0,4d,209,0.6555023923444976,0.019561124087591246,-0.017351527777777778,2.8941432269852507,0.08146849663630551,-0.1647989474853072,0.9423571096014238,17.357973990417523
SSE,V2,close,0.0,5d,209,0.6220095693779905,0.02404943846153846,-0.02013688607594937,3.177853996968281,0.08584473595942832,-0.19052983615681335,0.8203033867043734,17.360711841204655
SSE,V2,open,0.0,4d,209,0.6172248803827751,0.01984353488372093,-0.018050975000000004,1.8499932116364999,0.062284855374648895,-0.20255289233934098,0.7378545126696534,17.333333333333332
SSE,V2,open,0.0,5d,209,0.6076555023923444,0.023949055118110234,-0.020734743902439023,2.4320067393895006,0.07372268346840394,-0.2162401370818019,0.7045841362523442,17.336071184120467
ETF510300,V1,close,0.0,4d,64,0.609375,0.020554410256410256,-0.016646875000000002,0.4667033119573234,0.03461557324480147,-0.07134664595224081,0.6271072660293665,11.255304585900069
ETF510300,V1,close,0.0,5d,64,0.640625,0.024937439024390242,-0.02211417391304348,0.6132809095391394,0.043408593006450946,-0.07614827815000003,0.5777864214425206,11.255304585900069
