run_id,date,total_asset,cash,market_value,daily_return,benchmark_close,benchmark_return
20260823_214004_b1e363,2019-01-02,1000000.0,1000000.0,0.0,0.0,2969.535,0.0
20260823_214004_b1e363,2019-01-03,997262.183374,16021.162374,981241.021,-0.00273782,2964.842,-0.00158038
20260823_214004_b1e363,2019-01-04,1022637.818374,16021.162374,1006616.656,0.0254453,3035.874,0.02395811
20260823_214004_b1e363,2019-01-07,1041863.816374,16021.162374,1025842.654,0.0188004,3054.303,0.00607041
20260823_214004_b1e363,2019-01-08,1043670.993658,9175.789658,1034495.204,0.00173456,3047.703,-0.00216089
20260823_214004_b1e363,2019-01-09,1047559.217658,9175.789658,1038383.428,0.00372553,3078.475,0.01009678
20260823_214004_b1e363,2019-01-10,1050343.976658,9175.789658,1041168.187,0.00265833,3072.686,-0.00188048
20260823_214004_b1e363,2019-01-11,1058701.879658,9175.789658,1049526.09,0.0079573,3094.778,0.0071898
20260823_214004_b1e363,2019-01-14,1061125.167658,9175.789658,1051949.378,0.00228892,3067.784,-0.00872244
20260823_214004_b1e363,2019-01-15,1075051.964118,5849.903118,1069202.061,0.01312456,3127.99,0.01962524
20260823_214004_b1e363,2019-01-16,1070768.085118,5849.903118,1064918.182,-0.00398481,3128.651,0.00021132
20260823_214004_b1e363,2019-01-17,1060479.246118,5849.903118,1054629.343,-0.00960884,3111.416,-0.00550876
20260823_214004_b1e363,2019-01-18,1074104.475118,5849.903118,1068254.572,0.01284818,3168.173,0.01824153
20260823_214004_b1e363,2019-01-21,1085034.885118,5849.903118,1079184.982,0.0101763,3185.636,0.00551201
20260823_214004_b1e363,2019-01-22,1086125.277446,27579.643446,1058545.634,0.00100494,3143.317,-0.01328432
20260823_214004_b1e363,2019-01-23,1088545.990446,27579.643446,1060966.347,0.00222876,3141.053,-0.00072026
20260823_214004_b1e363,2019-01-24,1096345.800446,27579.643446,1068766.157,0.00716535,3158.781,0.00564397
20260823_214004_b1e363,2019-01-25,1089688.396446,27579.643446,1062108.753,-0.00607236,3184.469,0.00813225
20260823_214004_b1e363,2019-01-28,1088042.611446,27579.643446,1060462.968,-0.00151033,3183.777,-0.0002173
20260823_214004_b1e363,2019-01-29,1076579.334647,20300.766647,1056278.568,-0.01053569,3193.969,0.00320123
20260823_214004_b1e363,2019-01-30,1071077.780852,120304.241852,950773.539,-0.00511022,3168.482,-0.00797973
20260823_214004_b1e363,2019-01-31,1054380.456852,120304.241852,934076.215,-0.01558927,3201.633,0.01046274
20260823_214004_b1e363,2019-02-01,1070352.880288,172528.451288,897824.429,0.01514863,3247.397,0.01429396
20260823_214004_b1e363,2019-02-11,1093833.873288,172528.451288,921305.422,0.02193762,3306.472,0.01819149
20260823_214004_b1e363,2019-02-12,1106068.79761,14854.73861,1091214.059,0.01118536,3330.335,0.00721706
20260823_214004_b1e363,2019-02-13,1124761.69661,14854.73861,1109906.958,0.0169003,3397.027,0.02002561
20260823_214004_b1e363,2019-02-14,1131207.99061,14854.73861,1116353.252,0.00573125,3402.14,0.00150514
20260823_214004_b1e363,2019-02-15,1132456.83861,14854.73861,1117602.1,0.001104,3338.704,-0.01864591
20260823_214004_b1e363,2019-02-18,1171577.58361,14854.73861,1156722.845,0.03454502,3445.744,0.03206034
20260823_214004_b1e363,2019-02-19,1173583.438744,8647.781744,1164935.657,0.0017121,3439.607,-0.00178104
20260823_214004_b1e363,2019-02-20,1181929.998744,8647.781744,1173282.217,0.00711203,3451.927,0.0035818
20260823_214004_b1e363,2019-02-21,1172989.470744,8647.781744,1164341.689,-0.00756435,3442.705,-0.00267155
20260823_214004_b1e363,2019-02-22,1197569.637744,8647.781744,1188921.856,0.02095515,3520.118,0.0224861
20260823_214004_b1e363,2019-02-25,1246259.868744,8647.781744,1237612.087,0.04065754,3729.483,0.0594767
20260823_214004_b1e363,2019-02-26,1238978.89314,11328.75814,1227650.135,-0.00584226,3684.693,-0.01200971
20260823_214004_b1e363,2019-02-27,1235071.03514,11328.75814,1223742.277,-0.0031541,3678.392,-0.00171005
