run_id,date,total_asset,cash,market_value,daily_return,benchmark_close,benchmark_return
20260823_193217_742648,2019-01-02,1000000.0,1000000.0,0.0,0.0,2969.535,0.0
20260823_193217_742648,2019-01-03,995061.52639,11150.41339,983911.113,-0.00493847,2964.842,-0.00158038
20260823_193217_742648,2019-01-04,1018679.99839,11150.41339,1007529.585,0.02373569,3035.874,0.02395811
20260823_193217_742648,2019-01-07,1037702.46139,11150.41339,1026552.048,0.01867364,3054.303,0.00607041
20260823_193217_742648,2019-01-08,1040831.16011,2602.75811,1038228.402,0.00301502,3047.703,-0.00216089
20260823_193217_742648,2019-01-09,1049913.41911,2602.75811,1047310.661,0.00872597,3078.475,0.01009678
20260823_193217_742648,2019-01-10,1051544.61211,2602.75811,1048941.854,0.00155365,3072.686,-0.00188048
20260823_193217_742648,2019-01-11,1054307.65111,2602.75811,1051704.893,0.0026276,3094.778,0.0071898
20260823_193217_742648,2019-01-14,1063978.91911,2602.75811,1061376.161,0.0091731,3067.784,-0.00872244
20260823_193217_742648,2019-01-15,1068082.377279,8198.597279,1059883.78,0.00385671,3127.99,0.01962524
20260823_193217_742648,2019-01-16,1060044.652279,8198.597279,1051846.055,-0.00752538,3128.651,0.00021132
20260823_193217_742648,2019-01-17,1045923.301279,8198.597279,1037724.704,-0.01332147,3111.416,-0.00550876
20260823_193217_742648,2019-01-18,1056601.884279,8198.597279,1048403.287,0.01020972,3168.173,0.01824153
20260823_193217_742648,2019-01-21,1052506.222279,8198.597279,1044307.625,-0.00387626,3185.636,0.00551201
20260823_193217_742648,2019-01-22,1049984.170839,3496.731839,1046487.439,-0.00239623,3143.317,-0.01328432
20260823_193217_742648,2019-01-23,1050545.469839,3496.731839,1047048.738,0.00053458,3141.053,-0.00072026
20260823_193217_742648,2019-01-24,1063491.940839,3496.731839,1059995.209,0.01232357,3158.781,0.00564397
20260823_193217_742648,2019-01-25,1064007.577839,3496.731839,1060510.846,0.00048485,3184.469,0.00813225
20260823_193217_742648,2019-01-28,1070916.301839,3496.731839,1067419.57,0.00649312,3183.777,-0.0002173
20260823_193217_742648,2019-01-29,1054136.567031,7130.193031,1047006.374,-0.01566858,3193.969,0.00320123
20260823_193217_742648,2019-01-30,1057961.035362,108290.120362,949670.915,0.00362806,3168.482,-0.00797973
20260823_193217_742648,2019-01-31,1036107.237362,108290.120362,927817.117,-0.02065652,3201.633,0.01046274
20260823_193217_742648,2019-02-01,1049561.300362,108290.120362,941271.18,0.0129852,3247.397,0.01429396
20260823_193217_742648,2019-02-11,1080788.008362,108290.120362,972497.888,0.02975215,3306.472,0.01819149
20260823_193217_742648,2019-02-12,1094291.558948,4149.372948,1090142.186,0.01249417,3330.335,0.00721706
20260823_193217_742648,2019-02-13,1104554.310948,4149.372948,1100404.938,0.00937844,3397.027,0.02002561
20260823_193217_742648,2019-02-14,1107815.327948,4149.372948,1103665.955,0.00295234,3402.14,0.00150514
20260823_193217_742648,2019-02-15,1105382.768948,4149.372948,1101233.396,-0.00219582,3338.704,-0.01864591
20260823_193217_742648,2019-02-18,1142962.701948,4149.372948,1138813.329,0.03399721,3445.744,0.03206034
20260823_193217_742648,2019-02-19,1146112.377354,640.354354,1145472.023,0.00275571,3439.607,-0.00178104
20260823_193217_742648,2019-02-20,1166435.458354,640.354354,1165795.104,0.01773219,3451.927,0.0035818
20260823_193217_742648,2019-02-21,1157153.848354,640.354354,1156513.494,-0.00795724,3442.705,-0.00267155
20260823_193217_742648,2019-02-22,1189278.815354,640.354354,1188638.461,0.02776205,3520.118,0.0224861
20260823_193217_742648,2019-02-25,1236740.139354,640.354354,1236099.785,0.03990765,3729.483,0.0594767
20260823_193217_742648,2019-02-26,1222612.315199,4517.703199,1218094.612,-0.01142344,3684.693,-0.01200971
20260823_193217_742648,2019-02-27,1216323.691199,4517.703199,1211805.988,-0.0051436,3678.392,-0.00171005
20260823_193217_742648,2019-02-28,1225785.856199,4517.703199,1221268.153,0.00777931,3669.37,-0.0024527
20260823_193217_742648,2019-03-01,1244237.313199,4517.703199,1239719.61,0.01505276,3749.714,0.02189586
20260823_193217_742648,2019-03-04,1251968.523199,4517.703199,1247450.82,0.00621361,3794.104,0.01183824
20260823_193217_742648,2019-03-05,1270595.215128,6936.771128,1263658.444,0.01487792,3816.013,0.00577449
20260823_193217_742648,2019-03-06,1296752.375128,6936.771128,1289815.604,0.02058654,3848.09,0.00840589
20260823_193217_742648,2019-03-07,1318673.855128,6936.771128,1311737.084,0.01690491,3808.849,-0.01019753
20260823_193217_742648,2019-03-08,1258584.440128,6936.771128,1251647.669,-0.04556806,3657.579,-0.03971541
20260823_193217_742648,2019-03-11,1309283.406128,6936.771128,1302346.635,0.04028253,3729.954,0.01978768
20260823_193217_742648,2019-03-12,1325418.823174,1598.223174,1323820.6,0.01232385,3755.351,0.00680893
20260823_193217_742648,2019-03-13,1317151.391174,1598.223174,1315553.168,-0.0062376,3724.194,-0.00829669
20260823_193217_742648,2019-03-14,1283109.133174,1598.223174,1281510.91,-0.02584536,3698.485,-0.00690324
20260823_193217_742648,2019-03-15,1318789.357174,1598.223174,1317191.134,0.02780763,3745.005,0.01257812
20260823_193217_742648,2019-03-18,1342240.217174,1598.223174,1340641.994,0.01778211,3851.747,0.0285025
20260823_193217_742648,2019-03-19,1334532.528283,4165.976283,1330366.552,-0.00574241,3833.962,-0.00461739
20260823_193217_742648,2019-03-20,1342128.303283,4165.976283,1337962.327,0.00569171,3835.439,0.00038524
20260823_193217_742648,2019-03-21,1351503.358283,4165.976283,1347337.382,0.00698522,3836.891,0.00037857
20260823_193217_742648,2019-03-22,1355839.547283,4165.976283,1351673.571,0.00320842,3833.801,-0.00080534
20260823_193217_742648,2019-03-25,1351278.331283,4165.976283,1347112.355,-0.00336413,3742.825,-0.02372997
