trade_date,e20_log,e20_exec_log,n_active,n_base,cov_codes,pct_rank
2020-11-23,0.07627600628252487,0.058462946578484276,43,1996,1.0,0.4062677483441748
2020-11-24,-0.0016367805384427253,-0.0026477447631467754,33,1998,1.0,0.3184946412871344
2020-11-25,-0.013767092102406661,-0.011099510063504375,31,2019,1.0,0.356114706530194
2020-11-26,-0.0703646003704237,-0.09632505741794607,24,2029,1.0,0.3086756929611609
2020-11-27,0.04835897049894587,0.004820120263618499,27,2034,1.0,0.3577483280864532
2020-11-30,0.081269130011737,0.08626409093238344,26,2031,1.0,0.2762735940667258
2020-12-01,0.011335488504672475,0.002020072386716476,44,2022,1.0,0.5002288580817915
2020-12-02,0.015585536190623459,0.025349726634257636,48,2025,1.0,0.5864652872627379
2020-12-03,0.0019464009256243558,0.025286635020318624,45,2029,1.0,0.5230554753398896
2020-12-04,0.08059628109189806,0.13751883836661605,38,2027,1.0,0.3556764699399525
2020-12-07,0.05770313021685543,0.0601360097304582,35,2031,1.0,0.3089020213356973
2020-12-08,0.17517966741741348,0.11943060728347069,35,2033,1.0,0.3582976768241525
2020-12-09,0.09521221159217777,0.06690503033348252,33,2066,1.0,0.3638247344555236
2020-12-10,0.10487299795777849,0.06009723373757086,30,2064,1.0,0.2863514771309882
2020-12-11,0.1166759581842442,0.03960820021793092,22,2087,1.0,0.354202643249727
2020-12-14,0.1467112315268659,0.11502863704399502,47,2079,1.0,0.577703419415489
2020-12-15,0.07240450312511851,0.052450870836491525,35,2086,1.0,0.4058050727677135
2020-12-16,0.03648046690356439,0.023994147545710845,27,2106,1.0,0.3529005575620846
2020-12-17,0.055002933704021484,0.046010639375262355,50,2092,1.0,0.6129124579635111
2020-12-18,0.09295701192655122,0.06404418097456306,41,2093,1.0,0.4041036562237243
2020-12-21,0.11376128881075716,0.06901575893613743,52,2077,1.0,0.4924091866488504
2020-12-22,0.02217742845847967,-0.04745966220470897,36,2095,1.0,0.3781235173549275
2020-12-23,0.05806367785191098,0.021347001101084437,53,2088,1.0,0.5122322129094745
2020-12-24,0.008978740814897072,-0.03330814069457737,38,2120,1.0,0.3597769676216706
2020-12-25,0.027541580402585066,0.008751002347567385,70,2106,1.0,0.6275387763081345
2020-12-28,-0.040969579561160166,-0.08195183020667698,65,2132,1.0,0.5321347168454534
2020-12-29,-0.030572230173974133,-0.059107151662586954,62,2140,1.0,0.4822924587089056
2020-12-30,-0.018561396023322116,-0.02319219120217733,68,2134,1.0,0.4910654148993848
2020-12-31,-0.003496244765756995,-0.02113567954718372,61,2106,1.0,0.5043809031215862
2021-01-04,0.00467561363442788,-0.008827553207917102,110,2099,1.0,0.64794208922375
2021-01-05,0.03127622478755768,0.012450341405156926,81,2100,1.0,0.5128481361554519
2021-01-06,0.013780719281814985,-0.018328680266336286,53,2122,1.0,0.3986018078744513
2021-01-07,0.03730261670859781,0.006771441722007318,36,2158,1.0,0.4032924051261783
2021-01-08,0.0034413054463668658,-0.0065873603957795485,50,2161,1.0,0.5368566428608744
2021-01-11,0.07552674521145382,0.03233873832452998,41,2179,1.0,0.328328976182666
2021-01-12,0.029703362590514357,0.010901511476878636,73,2181,1.0,0.5166595211508552
2021-01-13,-0.017484280925759453,-0.039936308945673835,40,2196,1.0,0.3594870860039461
2021-01-14,-0.032689698216162404,-0.05558854630481493,68,2186,1.0,0.5650599377149819
2021-01-15,0.0018982131723271284,-0.0021102084231656203,79,2170,1.0,0.5222304852391328
