,nav
20190102,1.0
20190103,1.0
20190104,1.0
20190107,1.0
20190108,1.0
20190109,1.0
20190110,1.0
20190111,1.0
20190114,1.0
20190115,1.0
20190116,1.0
20190117,1.0
20190118,1.0
20190121,1.0
20190122,1.0
20190123,1.0
20190124,1.0
20190125,1.0
20190128,1.0
20190129,1.0
20190130,1.0
20190131,1.0
20190201,0.9998
20190211,1.019181176904391
20190212,1.0247448997843251
20190213,1.0402055932503418
20190214,1.0481164357503103
20190215,1.0424137165228056
20190218,1.064090765404353
20190219,1.063235683582758
20190220,1.0851261021030836
20190221,1.0982972809527494
20190222,1.123395721108947
20190225,1.1900112423362224
20190226,1.155297233015813
20190227,1.162263032569373
20190228,1.1702143337674462
20190301,1.169540534914346
20190304,1.18494398995893
20190305,1.2071435284687162
20190306,1.2219333124031022
20190307,1.2302578955492864
20190308,1.2107511869882384
20190311,1.240010586215708
20190312,1.2499305877330478
20190313,1.2343773171118064
20190314,1.2047982800814667
20190315,1.2194894032388677
20190318,1.2486834621031107
20190319,1.2753815085542588
20190320,1.2833502939687682
20190321,1.2866727321513018
20190322,1.2778461238647765
20190325,1.2674832344949007
20190326,1.2403759421976261
20190327,1.2404683139440094
20190328,1.237533164095387
20190329,1.2577474794132624
20190401,1.2695338330223396
20190402,1.2780920264600033
20190403,1.2891743744160875
20190404,1.2982820806872473
20190408,1.318871844623851
20190409,1.2925615654990852
20190410,1.2830275924256276
20190411,1.262614233194675
20190412,1.2837135651309342
20190415,1.2815303187838307
20190416,1.3163762303790623
20190417,1.336955568337858
20190418,1.3248119290127924
20190419,1.3231626555215692
20190422,1.3169702754019232
20190423,1.287684686810377
20190424,1.2864162445516065
20190425,1.2465057954146712
20190426,1.2448320058342697
20190429,1.208321569066952
20190430,1.2094953885691258
20190506,1.1774691341799222
20190507,1.1910961527921533
20190508,1.196960153227666
20190509,1.2018777836481387
20190510,1.2213398248827743
20190513,1.2215043593250245
20190514,1.2274934922768184
20190515,1.2410663602770098
20190516,1.2525546935491192
20190517,1.217305237983407
20190520,1.2108374100975006
20190521,1.2182717355306945
20190522,1.217308806140459
20190523,1.208607975291471
20190524,1.2071200089159817
20190527,1.2131302219126416
20190528,1.213215664689639
20190529,1.2115945409636069
20190530,1.2074801204499528
20190531,1.2008654782363708
20190603,1.1950100626200229
20190604,1.1877398538886335
20190605,1.1849499766664227
20190606,1.1745551056080556
20190610,1.1810264333066103
20190611,1.1995688298096887
20190612,1.1962424705744306
20190613,1.2009374063945362
20190614,1.1931093398508477
20190617,1.1894606914131451
20190618,1.1835706419590872
20190619,1.1892660897919032
20190620,1.1988694405373332
20190621,1.209764433699542
20190624,1.2076519234952392
20190625,1.2047003472818256
20190626,1.2049555213915943
20190627,1.2079876690876732
20190628,1.2052690395094257
20190701,1.2123190857663557
20190702,1.2147050644360289
20190703,1.204942682774173
20190704,1.2136975074650527
20190705,1.2108076328829547
20190708,1.1968401277891716
20190709,1.1932317288788654
20190710,1.1951564138039594
20190711,1.1962334616733912
20190712,1.1988377458728818
20190715,1.2048667063036942
20190716,1.2093405456153015
20190717,1.21200617479305
20190718,1.2075110027254534
20190719,1.2059568735200756
20190722,1.1989259690798204
20190723,1.2017414077119177
20190724,1.206427817410312
20190725,1.2090987770711301
20190726,1.2092660922140193
20190729,1.2088498711955036
20190730,1.2122961887365538
20190731,1.2119362697349887
20190801,1.212406815987541
20190802,1.210454596426928
20190805,1.20413243476996
20190806,1.1903145233988848
20190807,1.196575338580043
20190808,1.199225662413456
20190809,1.198698578024082
20190812,1.1997536407508804
20190813,1.1985446310652244
20190814,1.2016907492685045
20190815,1.2014435371930607
20190816,1.2096871041029207
20190819,1.2252461559314456
20190820,1.2290836145345665
20190821,1.2293959979787634
20190822,1.2309371317009565
20190823,1.239335935137638
20190826,1.2319268214353873
20190827,1.2439185228239065
20190828,1.2421810914551803
20190829,1.2436589998810272
20190830,1.240299954741032
20190902,1.244175620850663
20190903,1.2525354191421583
20190904,1.256122931175738
20190905,1.2644454084342862
20190906,1.2697918572513869
20190909,1.2859091880598743
20190910,1.2905727255772286
20190911,1.283159061807703
20190912,1.2843388792500403
20190916,1.2882390777747574
20190917,1.2715248659184268
20190918,1.2747655236384359
20190919,1.275111485205514
20190920,1.2777902301210327
20190923,1.2726669456947846
20190924,1.2750597173949865
20190925,1.2623235642458654
20190926,1.2498398192836773
20190927,1.2523643760743408
20190930,1.2515515303879197
20191008,1.2499728224124091
20191009,1.2532637668654014
20191010,1.2619514662051106
20191011,1.2654185143095154
20191014,1.2694905682907498
20191015,1.2603565350332477
20191016,1.2596910731017141
20191017,1.260638783772207
20191018,1.2535475100072215
20191021,1.2442902486325693
20191022,1.2450551358990627
20191023,1.2504430900237926
20191024,1.2462470477685794
20191025,1.248926949580797
20191028,1.2619256038861355
20191029,1.2518701066663718
20191030,1.2423045122673513
20191031,1.2375512675968505
20191101,1.2395297310204645
20191104,1.2407438805250066
20191105,1.2398534403979113
20191106,1.2367498773423766
20191107,1.2455382875863157
20191108,1.246299415735473
20191111,1.2357970940150993
20191112,1.2343686930949875
20191113,1.2317418171872596
20191114,1.2358576864062618
20191115,1.226199807357451
20191118,1.2264929789604695
20191119,1.2365032868374801
20191120,1.2348383957054418
20191121,1.2313799428452392
20191122,1.2280569677796875
20191125,1.23167144583241
20191126,1.234207781979868
20191127,1.2318406890972924
20191128,1.2297177581542802
20191129,1.2278519796180987
20191202,1.22517786752963
20191203,1.2280347244502692
20191204,1.2309232743870615
20191205,1.2344739194662893
20191206,1.2372302285354657
20191209,1.2424124113359551
20191210,1.2527243533140267
20191211,1.2575385720234666
20191212,1.2535240428413734
20191213,1.2565495764039947
20191216,1.269299582281576
20191217,1.2811491721192285
20191218,1.2808209131461974
20191219,1.2886883574037022
20191220,1.2903200444498841
20191223,1.2726988996776158
20191224,1.2867535229268232
20191225,1.2883861443369993
20191226,1.2921559606715602
20191227,1.2948137291311468
20191230,1.2958715201726818
20191231,1.2974023348038752
20200102,1.305674403159095
20200103,1.3113773058434297
20200106,1.3219928823407328
20200107,1.3318062003958766
20200108,1.3237913799449794
20200109,1.3409533359911294
20200110,1.338579414493288
20200113,1.3429612597509935
20200114,1.3513844386921994
20200115,1.35081965046074
20200116,1.3427096693086613
20200117,1.3327375510132042
20200120,1.3390152221339804
20200121,1.3384710978752623
20200122,1.3406325464958018
20200123,1.3164816799780565
20200203,1.2991826658581458
20200204,1.3324553693331593
20200205,1.3618688506426884
20200206,1.3953795272185328
20200207,1.4204198125287193
20200210,1.395669011485568
20200211,1.3903538154161734
20200212,1.3950704676241164
20200213,1.3839657641054097
20200214,1.390260567391105
20200217,1.4071155635445463
20200218,1.4238622387605255
20200219,1.4147023027301922
20200220,1.432283898258447
20200221,1.4489214634894478
20200224,1.4682694467747919
20200225,1.4597361615138262
20200226,1.4331459640858546
20200227,1.438147624465096
20200228,1.4442068634178313
20200302,1.4579706128095977
20200303,1.4691953650785967
20200304,1.4717000759317393
20200305,1.4876080641992457
20200306,1.4972480187505957
20200309,1.460662916385581
20200310,1.471459802731384
20200311,1.4715290860116907
20200312,1.4543856470153766
20200313,1.451038927448891
20200316,1.4334071643113593
20200317,1.4365118449063101
20200318,1.4479358791916535
20200319,1.4566229708263938
20200320,1.49120158986673
20200323,1.4353327229244033
20200324,1.4746622550164212
20200325,1.5089566159661991
20200326,1.4942673341571056
20200327,1.473381281912899
20200330,1.4558924524234933
20200331,1.459291333373195
20200401,1.4630154842531
20200402,1.4699403593603915
20200403,1.4591117114613075
20200407,1.4842512448445466
20200408,1.480232516703171
20200409,1.483382092169626
20200410,1.4632940542643267
20200413,1.4333252868292787
20200414,1.4452893204369153
20200415,1.4545266343440402
20200416,1.457256845684695
20200417,1.4603938292253638
20200420,1.4639655387170258
20200421,1.4533658496303568
20200422,1.456653437332737
20200423,1.4617264208859544
20200424,1.452839392798206
20200427,1.4517953684887708
20200428,1.429004698481378
20200429,1.4232911650321358
20200430,1.4455401957617957
20200506,1.4452829408546628
20200507,1.4366950742456204
20200508,1.4409454592711242
20200511,1.4320441950065987
20200512,1.4252813390492747
20200513,1.4261902088555505
20200514,1.41372970280876
20200515,1.4012369285109036
20200518,1.3826583868058913
20200519,1.3817662842550595
20200520,1.360960259417351
20200521,1.3642947871468385
20200522,1.3567636213311134
20200525,1.3447394951425964
20200526,1.3571653491121132
20200527,1.3566580297992457
20200528,1.3534998580837545
20200529,1.3680369744167724
20200601,1.3738254407546706
20200602,1.3812023565333804
20200603,1.3753259173951153
20200604,1.368810038477775
20200605,1.3627978322222656
20200608,1.365559184055936
20200609,1.3664262080769252
20200610,1.363101853113372
20200611,1.3625653809078349
20200612,1.3611027446292883
20200615,1.3588063420242562
20200616,1.363468428910173
20200617,1.3650034084886233
20200618,1.3664330308157389
20200619,1.3631750144210746
20200622,1.361624511792073
20200623,1.3482523722762596
20200624,1.3444492862263087
20200629,1.3521788045663234
20200630,1.3589870200184437
20200701,1.3609767400898354
20200702,1.384499419805777
20200703,1.401631312960994
20200706,1.4425981921754694
20200707,1.4406842021489894
20200708,1.4576496650310609
20200709,1.4754509612466564
20200710,1.4633085471578902
20200713,1.4973015302395818
20200714,1.4823450592716667
20200715,1.4557660087385655
20200716,1.4135683655589981
20200717,1.415627041733941
20200720,1.4539009404715335
20200721,1.4533698159706487
20200722,1.4806285578065603
20200723,1.4905560077772477
20200724,1.4536231527814483
20200727,1.4499383592690034
20200728,1.4539801640331473
20200729,1.4707580338417194
