,nav
20190102,1.0
20190103,1.0
20190104,1.0
20190107,1.0
20190108,1.0
20190109,1.0
20190110,1.0
20190111,1.0
20190114,1.0
20190115,1.0
20190116,1.0
20190117,1.0
20190118,1.0
20190121,1.0
20190122,1.0
20190123,1.0
20190124,1.0
20190125,1.0
20190128,1.0
20190129,1.0
20190130,1.0
20190131,1.0
20190201,0.9998
20190211,1.0109070900376402
20190212,1.0169108261581756
20190213,1.0258651929241294
20190214,1.0307417352146977
20190215,1.030276064814975
20190218,1.0492233763011698
20190219,1.0484362052131906
20190220,1.0550668837650763
20190221,1.0591560937552196
20190222,1.0696564036444485
20190225,1.0919822528672023
20190226,1.0871678719637672
20190227,1.0862674682203928
20190228,1.0871206768270911
20190301,1.0906182047817137
20190304,1.1143055251037335
20190305,1.1363123586148711
20190306,1.151590790299693
20190307,1.150517769360618
20190308,1.1302803325361854
20190311,1.1520215517731651
20190312,1.1700564786175451
20190313,1.1499994452508886
20190314,1.127192791258174
20190315,1.137733537187268
20190318,1.160454530322021
20190319,1.1766854225890728
20190320,1.175559031358894
20190321,1.1938697249336412
20190322,1.1878858183051653
20190325,1.1765429833007304
20190326,1.1471086800277492
20190327,1.1456111309526964
20190328,1.1432175414963537
20190329,1.165709954421251
20190401,1.1870548905933818
20190402,1.190752414755378
20190403,1.1958850919881685
20190404,1.2030777776047377
20190408,1.2058738532078526
20190409,1.1981818611467927
20190410,1.188935978743279
20190411,1.1758191353759087
20190412,1.1764095412444038
20190415,1.1650145484582022
20190416,1.1716457828003037
20190417,1.1727539409416399
20190418,1.1724205996569175
20190419,1.1726508421678687
20190422,1.1643413383860848
20190423,1.15119383054419
20190424,1.1467416661184335
20190425,1.154672933567668
20190426,1.1519476884322073
20190429,1.129643503549323
20190430,1.139694634290767
20190506,1.1118148908651002
20190507,1.1181551647741366
20190508,1.1225110142033825
20190509,1.1260515109411071
20190510,1.1415330207319219
20190513,1.138021670776482
20190514,1.1405640732986062
20190515,1.152300843974277
20190516,1.1559882937348014
20190517,1.1351893081489415
20190520,1.130614119841539
20190521,1.1359549971954563
20190522,1.1348710514168483
20190523,1.1293378820671869
20190524,1.1275432083262675
20190527,1.1315436966410777
20190528,1.1314448587398012
20190529,1.130268600923155
20190530,1.124978376843843
20190531,1.1220443226340315
20190603,1.1161157941923108
20190604,1.1093550271730404
20190605,1.10827516802739
20190606,1.0979796100155421
20190610,1.0993058188442377
20190611,1.1134713311980038
20190612,1.111423555943687
20190613,1.1136914959326123
20190614,1.1085145552875157
20190617,1.1077567867410085
20190618,1.1043880625710434
20190619,1.1090048391273504
20190620,1.1189663070380906
20190621,1.1314821273139526
20190624,1.1301921724708266
20190625,1.1233830330098697
20190626,1.1227464746999574
20190627,1.1256065924929988
20190628,1.1234330811034445
20190701,1.133485759152556
20190702,1.1370245105621506
20190703,1.1334341523738063
20190704,1.1381365069682094
20190705,1.134093349413981
20190708,1.1219442729239635
20190709,1.1205437245661478
20190710,1.1201333193814247
20190711,1.1192790599181262
20190712,1.117865765231644
20190715,1.118157574402519
20190716,1.1185070779631068
20190717,1.1193397520929693
20190718,1.1145311934347792
20190719,1.115963130113506
20190722,1.1102195878364556
20190723,1.1123048276824397
20190724,1.1138411604150162
20190725,1.1154242188558712
20190726,1.11968587576683
20190729,1.1194018077596846
20190730,1.1231798313830907
20190731,1.1229582249422738
20190801,1.121608428523709
20190802,1.1185604752038163
20190805,1.1146572165318178
20190806,1.106582974615132
20190807,1.1089809441062353
20190808,1.11017296508719
20190809,1.1089300210462611
20190812,1.110665950717308
20190813,1.109925175094124
20190814,1.1111127217309418
20190815,1.1087350000878842
20190816,1.1122884472095245
20190819,1.123162804751626
20190820,1.124547673296857
20190821,1.125448813027121
20190822,1.126042168508788
20190823,1.1261730945230952
20190826,1.1269085764166593
20190827,1.1342980523538477
20190828,1.1350573455980129
20190829,1.135520244318985
20190830,1.1347674641937358
20190902,1.1398205542501245
20190903,1.1398323556725172
20190904,1.1424151737485346
20190905,1.1492027028585416
20190906,1.1544403353775474
20190909,1.1655101414043036
20190910,1.169879085687412
20190911,1.169930090140573
20190912,1.1724578557567742
20190916,1.1738690203487374
20190917,1.1611341291410147
20190918,1.1612070004994735
20190919,1.1651736754809112
20190920,1.167147073562169
20190923,1.165963094589929
20190924,1.1641622034433556
20190925,1.1586063757883773
20190926,1.154227201212916
20190927,1.1562697438362244
20190930,1.157221669451825
20191008,1.156588382714713
20191009,1.157046783775873
20191010,1.161993326110657
20191011,1.1641254094527327
20191014,1.1707130742602867
20191015,1.1662055920608703
20191016,1.165152416119957
20191017,1.1659183921941219
20191018,1.1586921373550154
20191021,1.1533743867259787
20191022,1.1551888780864694
20191023,1.1561237668552091
20191024,1.1501569774031537
20191025,1.152225164955536
20191028,1.1644896153235182
20191029,1.1562540178938283
20191030,1.1476792816370225
20191031,1.1446993129223497
20191101,1.1461304979117568
20191104,1.147310178415112
20191105,1.147959859686412
20191106,1.1476622434720187
20191107,1.1504544788813174
20191108,1.150608759626896
20191111,1.145176554042872
20191112,1.1447343524758293
20191113,1.1438926326998056
20191114,1.143424007841332
20191115,1.1403398197018675
20191118,1.139599193326505
20191119,1.145124750536176
20191120,1.1452679886645982
20191121,1.1409142645108148
20191122,1.1385949877680757
20191125,1.1387757396893332
20191126,1.1368695745151782
20191127,1.1346439309084326
20191128,1.131809240869554
20191129,1.1314201339619245
20191202,1.13033433198605
20191203,1.1306628764748996
20191204,1.1325737273584728
20191205,1.1353345283326644
20191206,1.1367940683619007
20191209,1.1391662403673535
20191210,1.1471044336843983
20191211,1.147259358415067
20191212,1.146621831261369
20191213,1.1489501283856787
20191216,1.1580064001413877
20191217,1.1683537221485802
20191218,1.1711432945898876
20191219,1.1734252422646867
20191220,1.1734901069735615
20191223,1.1640587078824403
20191224,1.1768994934574555
20191225,1.1796499091536305
20191226,1.185052949396604
20191227,1.1842895918656395
20191230,1.1829258194104795
20191231,1.1849842527569239
20200102,1.1963329358998245
20200103,1.204134603091953
20200106,1.2143513551870089
20200107,1.2201151632911882
20200108,1.2168088532741939
20200109,1.226374749267782
20200110,1.2219534694078655
20200113,1.2262863315912251
20200114,1.2322082901957343
20200115,1.2281094445471281
20200116,1.2222408697350209
20200117,1.2240649429829509
20200120,1.2320296973756462
20200121,1.229811933267962
20200122,1.2297458420817515
20200123,1.2043253395709137
20200203,1.166662353979737
20200204,1.1837026410406797
20200205,1.1984659300201177
20200206,1.2183513055812218
20200207,1.2201127901733324
20200210,1.2229103919427646
20200211,1.2319362246641472
20200212,1.245703600508255
20200213,1.2427954997260862
20200214,1.241477579275153
20200217,1.2573149673088275
20200218,1.2695428039105856
20200219,1.2765051723372078
20200220,1.2898190145949606
20200221,1.3090709267118419
20200224,1.3286555557659312
20200225,1.321007242142264
20200226,1.305771551394746
20200227,1.3126151607101364
20200228,1.2917166078117708
20200302,1.308110424324816
20200303,1.3094484684414596
20200304,1.30908122179459
20200305,1.3197554753811696
20200306,1.3254748960263334
20200309,1.3073030511205423
20200310,1.30735738961116
20200311,1.307045885078483
20200312,1.2953748793632378
20200313,1.28987047243959
20200316,1.26890969243135
20200317,1.269133231707909
20200318,1.277868024296396
20200319,1.2742068835897586
20200320,1.312341038873801
20200323,1.2734440870436938
20200324,1.2902985166997882
20200325,1.3129545044241966
20200326,1.3072588486761925
20200327,1.2971873437771473
20200330,1.2873307652597883
20200331,1.2870742337042786
20200401,1.2967880805454837
20200402,1.296506563090042
20200403,1.2787929784460166
20200407,1.285712484528011
20200408,1.285840116554495
20200409,1.2854612211387972
20200410,1.271353648737019
20200413,1.2529059867799022
20200414,1.2613668852236408
20200415,1.2664891809340804
20200416,1.2925711817853858
20200417,1.2865310970874926
20200420,1.3148824527417597
20200421,1.311957283336213
20200422,1.3147580211967418
20200423,1.3164349107119107
20200424,1.309846367170332
20200427,1.317022854307863
20200428,1.3090044845875417
20200429,1.298691276555382
20200430,1.301020493126619
20200506,1.306501484578928
20200507,1.2968387113972701
20200508,1.3013468409971822
20200511,1.3002351103938796
20200512,1.2957062736983027
20200513,1.2947130661107773
20200514,1.2825854571109334
20200515,1.2771051413028975
20200518,1.2596293272057175
20200519,1.2585540453057142
20200520,1.243134821099448
20200521,1.2440712053129068
20200522,1.2353627081907392
20200525,1.2258753604823538
20200526,1.2367979700371594
20200527,1.2417834989888754
20200528,1.2404883153954938
20200529,1.2483314398988912
20200601,1.2609470322872733
20200602,1.2633239037722621
20200603,1.2594642645197673
20200604,1.257277738870693
20200605,1.2540811897547148
20200608,1.2516125391874422
20200609,1.2505550163538175
20200610,1.2459953694128478
20200611,1.245004405870266
20200612,1.2451847419450015
20200615,1.2458996448519204
20200616,1.2495000790676336
20200617,1.251587683445815
20200618,1.2578573073004684
20200619,1.253012726939605
20200622,1.2467297880284152
20200623,1.2368515983462172
20200624,1.230415000936854
20200629,1.2281606236640759
20200630,1.2317591454017205
20200701,1.2317275863763115
20200702,1.2400320938827623
20200703,1.2511238072911612
20200706,1.2787763575944293
20200707,1.2821551289157862
20200708,1.2843379352502358
20200709,1.2981108284296605
20200710,1.2872353270682444
20200713,1.3067163637970298
20200714,1.2969849078752773
20200715,1.2881457549814062
20200716,1.261780321284257
20200717,1.2646032776530187
20200720,1.2839510634623528
20200721,1.2867491283167005
20200722,1.2911063538527057
20200723,1.2893089543461975
20200724,1.271427346281852
20200727,1.2718460217135508
20200728,1.283943559747979
20200729,1.2887959028893325
20200730,1.294114681965522
20200731,1.300743658783278
