,nav
20190102,1.0
20190103,1.0
20190104,1.0
20190107,1.0
20190108,1.0
20190109,1.0
20190110,1.0
20190111,1.0
20190114,1.0
20190115,1.0
20190116,1.0
20190117,1.0
20190118,1.0
20190121,1.0
20190122,1.0
20190123,1.0
20190124,1.0
20190125,1.0
20190128,1.0
20190129,1.0
20190130,1.0
20190131,1.0
20190201,0.9998
20190211,1.013477144612511
20190212,1.0170800172702101
20190213,1.0308018227777633
20190214,1.0365099320985751
20190215,1.0361420850372018
20190218,1.0606521186902418
20190219,1.0590064828239598
20190220,1.0726177422057523
20190221,1.0801933430523085
20190222,1.0978541844525025
20190225,1.1460225248934188
20190226,1.1287781007843132
20190227,1.1292626264032315
20190228,1.1360779424059995
20190301,1.1442012586711645
20190304,1.1654888452608878
20190305,1.1912744584000834
20190306,1.2236411438801138
20190307,1.2351739325979885
20190308,1.207492992122434
20190311,1.245346131202156
20190312,1.2615472230046443
20190313,1.2375682313846572
20190314,1.2000809100432739
20190315,1.2137463888400866
20190318,1.2390127578154282
20190319,1.2613613934293615
20190320,1.2607249400571854
20190321,1.2759491930156117
20190322,1.2637650036757777
20190325,1.252517771633857
20190326,1.2222577373941839
20190327,1.2222492849666529
20190328,1.22070744745694
20190329,1.2472592511527927
20190401,1.2573400207925818
20190402,1.2669975333503878
20190403,1.2764113567234605
20190404,1.2876696146484645
20190408,1.2951444007371151
20190409,1.281990879258945
20190410,1.2744828096303285
20190411,1.25696743523891
20190412,1.269581010392811
20190415,1.2598789595329227
20190416,1.2763141036591383
20190417,1.2897508883804096
20190418,1.291473955133077
20190419,1.2882663644192476
20190422,1.3051258702149826
20190423,1.269427834694856
20190424,1.2607999213520327
20190425,1.2588936535804571
20190426,1.2586197383265751
20190429,1.2319179032943788
20190430,1.2401116897067501
20190506,1.2144129087049542
20190507,1.227778782122606
20190508,1.2436127670983337
20190509,1.2417955252295685
20190510,1.2644461904549447
20190513,1.2622844178587858
20190514,1.2649046471739758
20190515,1.2869540367016408
20190516,1.2959664216697602
20190517,1.2618374878597542
20190520,1.2534701156544257
20190521,1.262062988556376
20190522,1.2574354732261208
20190523,1.245038704985669
20190524,1.242716209991251
20190527,1.2478052663864472
20190528,1.2473148839123207
20190529,1.2464754333559516
20190530,1.241308334980703
20190531,1.2382024500837938
20190603,1.2315029975317628
20190604,1.2159291718664262
20190605,1.2168280247738537
20190606,1.2067917717497798
20190610,1.2124244500856023
20190611,1.2353866965109896
20190612,1.2334466920097065
20190613,1.2361903522176827
20190614,1.2276959754877885
20190617,1.2244447390149429
20190618,1.2224970760212839
20190619,1.2322916507789168
20190620,1.2507250061372097
20190621,1.262651763211657
20190624,1.2630638376506769
20190625,1.2542042304243142
20190626,1.2566218874761104
20190627,1.2636907415731533
20190628,1.2702698729514743
20190701,1.2780051816034235
20190702,1.2811794218446935
20190703,1.2728769297885585
20190704,1.2803801575743385
20190705,1.276633899857856
20190708,1.2581300454491955
20190709,1.2581759163031803
20190710,1.2592141565421389
20190711,1.2595571996866868
20190712,1.263412995229555
20190715,1.2679225142977284
20190716,1.2686668647744352
20190717,1.2701645279380636
20190718,1.2634686752227822
20190719,1.2634393622162785
20190722,1.2532766550857029
20190723,1.2556268659161354
20190724,1.2599185963521131
20190725,1.2624977011255014
20190726,1.263126132207393
20190729,1.2606857549156152
20190730,1.2642495435349308
20190731,1.2637917283369082
20190801,1.2614385078580401
20190802,1.255874413708109
20190805,1.2498674774928538
20190806,1.237590341021708
20190807,1.2426275161978653
20190808,1.2465708473297241
20190809,1.2464218334905253
20190812,1.249201264847267
20190813,1.2490347010226162
20190814,1.2506881745098664
20190815,1.248627425597646
20190816,1.255892227671377
20190819,1.2719429927511208
20190820,1.2751326375296506
20190821,1.274546685957377
20190822,1.2751903548928416
20190823,1.2805811244804648
20190826,1.2737116964656061
20190827,1.2859760800002764
20190828,1.2859774968162727
20190829,1.284721101124523
20190830,1.281657428672407
20190902,1.2859131416062808
20190903,1.290590932950677
20190904,1.2933041387992408
20190905,1.301965410381126
20190906,1.3076622431415605
20190909,1.321982999911552
20190910,1.3393145865128488
20190911,1.3294714616783596
20190912,1.3271598544287544
20190916,1.3291129427589714
20190917,1.3082013100217855
20190918,1.3111158353952064
20190919,1.311757025936721
20190920,1.3164167451426034
20190923,1.3192764786208757
20190924,1.318706265590925
20190925,1.3087980201563862
20190926,1.2960001884384598
20190927,1.3028304893174834
20190930,1.3009756189446364
20191008,1.3036718511327403
20191009,1.3087405951856352
20191010,1.3192621047241786
20191011,1.325163918604256
20191014,1.335850720353863
20191015,1.3294929741395571
20191016,1.3281166536201872
20191017,1.3304522085531647
20191018,1.3247539944459854
20191021,1.3167351748456244
20191022,1.3178525175350024
20191023,1.3223485269121527
20191024,1.3179244330422801
20191025,1.3197914540226903
20191028,1.334635284003229
20191029,1.3288343148326494
20191030,1.3072344197808206
20191031,1.2997839103254927
20191101,1.3027650263347546
20191104,1.3059165736833425
20191105,1.3078518408131905
20191106,1.3028235445589955
20191107,1.3111242425453378
20191108,1.311069507695286
20191111,1.3021470569839684
20191112,1.3054327685345037
20191113,1.2997802999401782
20191114,1.301461128265044
20191115,1.2923590348423963
20191118,1.2943559868687782
20191119,1.305810412682711
20191120,1.303569640058838
20191121,1.2995230747990971
20191125,1.2969716668894342
20191126,1.2974232958442429
20191127,1.2939424736687501
20191128,1.2915161015648688
20191129,1.2918318631029377
20191202,1.290846885312694
20191203,1.2929980348208758
20191204,1.2951975296238816
20191205,1.3002803215608942
20191206,1.307380344465552
20191209,1.3116245751373086
20191210,1.3187099255297785
20191211,1.321309622473269
20191212,1.3198921238951833
20191213,1.326896715033117
20191216,1.3482140615632459
20191217,1.3578143972083736
20191218,1.3617414047110319
20191219,1.3671065274493246
20191220,1.3687914296159636
20191223,1.351266980095988
20191224,1.3698614988486255
20191225,1.3750682723326535
20191226,1.38112027056933
20191227,1.378386987712393
20191230,1.3784856672661883
20191231,1.3813715143389365
20200102,1.394560555858463
20200103,1.4017645094784186
20200106,1.4071056536251725
20200107,1.420245192901498
20200108,1.4105764406216086
20200109,1.4389603275925527
20200110,1.4358753059856233
20200113,1.4382275030262235
20200114,1.4455731065316813
20200115,1.4414367093794365
20200116,1.4294291638598764
20200117,1.4217909157790274
20200120,1.4344197052975676
20200121,1.437542447281992
20200122,1.4429928897550897
20200123,1.4108341836268081
20200203,1.3817004200404952
20200204,1.417377367247247
20200205,1.4502971933217736
20200206,1.4848619425390122
20200207,1.4907331583574561
20200210,1.4898053471813488
20200211,1.4815954225526353
20200212,1.488231088614878
20200213,1.481936130365912
20200214,1.4843195653499979
20200217,1.5032889098190094
20200218,1.5199104715286862
20200219,1.5205674420093804
20200220,1.5472430396743388
20200221,1.5725172317207337
20200224,1.5762873650874205
20200225,1.5647562850573569
20200226,1.5401458724754458
20200227,1.5367807413079864
20200228,1.5221569602886922
20200302,1.5399960476812076
20200303,1.5505604918146239
20200304,1.5487796728434753
20200305,1.5686645343372383
20200306,1.5703936921575272
20200309,1.5324344648261625
20200310,1.550732581976752
20200311,1.5500078572311415
20200312,1.5404099568584986
20200313,1.5335547349301686
20200316,1.5081305375763607
20200317,1.5344187313851705
20200318,1.533793456416094
20200319,1.5499687571101441
20200320,1.6045276168942346
20200323,1.5418938608422728
20200324,1.5693652720884348
20200325,1.599317169771931
20200326,1.5817531001780187
20200327,1.5638710120879489
20200330,1.5472988869635869
20200331,1.5444880383860318
20200401,1.547113661593653
20200402,1.5572345589343664
20200403,1.5434442067838352
20200407,1.5659630054371614
20200408,1.5627963820849788
20200409,1.5708597703416178
20200410,1.5483859086127165
20200413,1.5235108081751758
20200414,1.5354240908947194
20200415,1.5443318710166258
20200417,1.5532834726134965
20200420,1.5613492377266485
20200421,1.553395027744697
20200422,1.5585956483476375
20200423,1.5623548731957113
20200424,1.5501956538473827
20200427,1.5498908298104999
20200428,1.5347113072943828
20200429,1.5283271448977158
20200430,1.5475582272794755
20200506,1.550422547069758
20200507,1.5442958090863843
20200508,1.5472931986315575
20200511,1.5433575086490514
20200512,1.5378825471736912
20200513,1.5359095405017873
20200514,1.5232344031745086
20200515,1.5107739343197013
20200518,1.4942888508416245
20200519,1.4931275451169561
20200520,1.4770557035826313
20200521,1.4755895418576617
20200522,1.4634732637992374
20200525,1.4515100161624885
20200526,1.4638439170569633
20200527,1.4697081570848052
20200528,1.466330964031783
20200529,1.4792557646672835
20200601,1.4894453506736067
20200602,1.4982535086857762
20200603,1.4982904594149093
20200604,1.4905124583124247
20200605,1.4835710829170548
20200608,1.482937492234396
20200609,1.4831493848583635
20200610,1.4823881315162661
20200611,1.4800694457511911
20200612,1.479496600665773
20200615,1.4822789897189084
20200616,1.4854733624636094
20200617,1.489260490890482
20200618,1.4926659562854474
20200619,1.488604755473601
20200622,1.4857809063062783
20200623,1.4750973732751673
20200624,1.4683286129528756
20200629,1.4649493889644143
20200630,1.4738002507846188
20200701,1.4753581120256563
20200702,1.4984448098212313
20200703,1.5162727686037332
20200706,1.5618672913677
20200707,1.5639475539724568
20200708,1.5791667130571254
20200709,1.5937904080641565
20200710,1.5798014695768539
20200713,1.6149042232974222
20200714,1.5958583638265047
20200715,1.5710491000694344
20200716,1.5288712351259512
20200717,1.5331065130216044
20200720,1.5778565209692366
20200721,1.585398774214092
20200722,1.6049918827120644
20200723,1.610600492995191
20200724,1.579152571474736
20200727,1.5800352123577124
20200728,1.5917283055612526
20200729,1.601674680982244
20200730,1.609057147494544
20200731,1.6180506844815243
