,nav
20190102,1.0
20190103,1.0
20190104,1.0
20190107,1.0
20190108,1.0
20190109,1.0
20190110,1.0
20190111,1.0
20190114,1.0
20190115,1.0
20190116,1.0
20190117,1.0
20190118,1.0
20190121,1.0
20190122,1.0
20190123,1.0
20190124,1.0
20190125,1.0
20190128,1.0
20190129,1.0
20190130,1.0
20190131,1.0
20190201,0.9998
20190211,1.0106746563284648
20190212,1.0160908062176128
20190213,1.0289322621890702
20190214,1.035470718040586
20190215,1.0371977297554564
20190218,1.0631878260376746
20190219,1.0632657117328959
20190220,1.078105562514694
20190221,1.0820948784949913
20190222,1.0940374830712174
20190225,1.1219433746958114
20190226,1.1273514500841908
20190227,1.1205831967121356
20190228,1.1297495127024584
20190301,1.1383551680423745
20190304,1.1582384849908876
20190305,1.1827815024498398
20190306,1.2129228075041711
20190307,1.2200203561770049
20190308,1.1922227894345454
20190311,1.2276990093044182
20190312,1.2488574620267006
20190313,1.2277443138223934
20190314,1.1938194959844675
20190315,1.205977498729549
20190318,1.2282317931749058
20190319,1.2467927127328156
20190320,1.2488231862795915
20190321,1.2625269832065547
20190322,1.2525932696228836
20190325,1.242706377643468
20190326,1.21034156900037
20190327,1.2089639973418664
20190328,1.2060926229085223
20190329,1.230043468851461
20190401,1.242176999748792
20190402,1.246303528288729
20190403,1.2508585723570222
20190404,1.2571675528949209
20190408,1.2625035724736875
20190409,1.2561440219901348
20190410,1.2506092735774756
20190411,1.2314148529139108
20190412,1.2328462649562477
20190415,1.2220021786205666
20190416,1.2285592323475394
20190417,1.2314605632588889
20190418,1.237711894037939
20190419,1.2368983237774729
20190422,1.2510363221612177
20190423,1.225483029075393
20190424,1.2148294430671545
20190425,1.2196585838041774
20190426,1.2184799283066565
20190429,1.193341869331991
20190430,1.2005988943626187
20190506,1.180192630502186
20190507,1.188538181881227
20190508,1.1948317406288704
20190509,1.1974847409759641
20190510,1.2128073643395285
20190513,1.2108285667948073
20190514,1.2146378300415794
20190515,1.2260077795516688
20190516,1.233689668052236
20190517,1.2065747858054872
20190520,1.2031466398484214
20190521,1.2095186614394777
20190522,1.2073637421722183
20190523,1.2001936103135844
20190524,1.1990209617240544
20190527,1.2017026028933993
20190528,1.2019190064048058
20190529,1.2006334937876395
20190530,1.1952434106883634
20190531,1.192936792808983
20190603,1.1886827584265323
20190604,1.1817909627918435
20190605,1.1797223043271319
20190606,1.1697321736948212
20190610,1.1734896122605918
20190611,1.1900835262995775
20190612,1.18726781317022
20190613,1.1900028908349722
20190614,1.181251231368641
20190617,1.1781878416173661
20190618,1.1733616563465448
20190619,1.1791095868470205
20190620,1.1935047905707206
20190621,1.2068376050083736
20190624,1.2006828722293228
20190625,1.196180185465078
20190626,1.1975741654072103
20190627,1.201549456493801
20190628,1.199253285867287
20190701,1.209699523351508
20190702,1.214010556043235
20190703,1.209373961539479
20190704,1.2172747519133245
20190705,1.2130473678856677
20190708,1.1993389653021003
20190709,1.1988945953060632
20190710,1.200512302034273
20190711,1.1992044320204776
20190712,1.2008638498826434
20190715,1.2039192793742632
20190716,1.2035940163171956
20190717,1.2090290779404995
20190718,1.2019762602410968
20190719,1.2019516591906916
20190722,1.1944403237493737
20190723,1.1969518019299228
20190724,1.199387690958692
20190725,1.2014453135641734
20190726,1.201884579484841
20190729,1.19983653981469
20190730,1.2030662476438971
20190731,1.2032219925042023
20190801,1.2032876635009728
20190802,1.1996943586745712
20190805,1.196064428873424
20190806,1.1864044398958697
20190807,1.1910073554207226
20190808,1.1932669157976963
20190809,1.1925971442574579
20190812,1.1941673656878427
20190813,1.1933958047993118
20190814,1.192784827300249
20190815,1.1919853044086277
20190816,1.196134015032486
20190819,1.2062894996000881
20190820,1.2079919251929596
20190821,1.2088029258774553
20190822,1.2094087675275786
20190823,1.2116540284076251
20190826,1.210044201492667
20190827,1.2193280387906846
20190828,1.2190256914709394
20190829,1.2183952445184165
20190830,1.216372252473625
20190902,1.2187452723243826
20190903,1.2192872759924418
20190904,1.2204551238242611
20190905,1.2288335776982153
20190906,1.2351519201216974
20190909,1.2473523362652108
20190910,1.2614975022531516
20190911,1.2592167366963318
20190912,1.2583307333770888
20190916,1.2596471529656486
20190917,1.2465640132454785
20190918,1.2490857589986017
20190919,1.2508331996053799
20190920,1.2521588281263796
20190923,1.2495705832695916
20190924,1.251421484161419
20190925,1.2472842146428893
20190926,1.2430326298492207
20190927,1.2440346121884536
20190930,1.2448439144643533
20191008,1.2435301049162986
20191009,1.2483078364387101
20191010,1.2553936123943463
20191011,1.2611773865918303
20191014,1.271278666951788
20191015,1.264648070219051
20191016,1.2622158462074575
20191017,1.2623229483195098
20191018,1.2588627676280684
20191021,1.251300848695796
20191022,1.253766870961961
20191023,1.2602106598786855
20191024,1.255520867113279
20191025,1.2584219241164645
20191028,1.2679527122917615
20191029,1.2597564249861515
20191030,1.2469599652495722
20191031,1.2407374809825635
20191101,1.2440785762918332
20191104,1.245453172525462
20191105,1.2453315980684947
20191106,1.2434102233157855
20191107,1.2480687040582386
20191108,1.2478125433466705
20191111,1.2416454007268738
20191112,1.2393257022814093
20191113,1.2373689110024726
20191114,1.2379792533049085
20191115,1.2302575088405583
20191118,1.2317392365426614
20191119,1.2382575732460361
20191120,1.2375822651516457
20191121,1.2337546252704268
20191125,1.2325415350809379
20191126,1.2325881168283892
20191127,1.2298858815627192
20191128,1.227362119347353
20191129,1.2274539408984118
20191202,1.2254920525068533
20191203,1.2267421636716291
20191204,1.2288635182118302
20191205,1.2327052104648262
20191206,1.2374017625073688
20191209,1.240869298325918
20191210,1.2476249461424103
20191211,1.2492494160579308
20191212,1.248016912416406
20191213,1.2546865956469921
20191216,1.2713563286601792
20191217,1.2802234675353241
20191218,1.2815269432853464
20191219,1.2867491242392968
20191220,1.2878929771343455
20191223,1.272468501318492
20191224,1.2881006685966487
20191225,1.2917023976105795
20191226,1.297946945775196
20191227,1.2964050928840298
20191230,1.296746037182559
20191231,1.3007462969354027
20200102,1.3087199298859895
20200103,1.3144629152264549
20200106,1.3163829553859796
20200107,1.326199705995
20200108,1.3153534234438296
20200109,1.3320433799907718
20200110,1.3274344208251057
20200113,1.327162256830422
20200114,1.3373383684375995
20200115,1.332625365872423
20200116,1.3240146561082915
20200117,1.3186059690012946
20200120,1.323484684301675
20200121,1.3249281435776987
20200122,1.3211463419758078
20200123,1.3035477033027034
20200203,1.2828572684337889
20200204,1.3113573590057184
20200205,1.3340980581904256
20200206,1.3583374893330329
20200207,1.3707234900718694
20200210,1.3621306252703214
20200211,1.3591773476639186
20200212,1.3677010995525354
20200213,1.3590383036693827
20200214,1.3640209307752467
20200217,1.3806447214360376
20200218,1.3955485438082547
20200219,1.398047799046381
20200220,1.4176470134115795
20200221,1.4194380631213332
20200224,1.4278588628488158
20200225,1.422296495656005
20200226,1.4050001575583608
20200227,1.4064432814845655
20200228,1.3998407591123876
20200302,1.4171964388939835
20200303,1.4258037300259285
20200304,1.4314988783915998
20200305,1.449970407408096
20200306,1.4565352211905989
20200309,1.4280662427495507
20200310,1.440484683491667
20200311,1.4413818399024416
20200312,1.4346093850076005
20200313,1.4271348186691593
20200316,1.4097468365570152
20200317,1.4284026086101178
20200318,1.4281213885495767
20200319,1.4355231381218077
20200320,1.4849749459572195
20200323,1.4720527704981743
20200324,1.4857996398548263
20200325,1.5104183268574949
20200326,1.4907024696479252
20200327,1.474411892956467
20200330,1.458278588740755
20200331,1.457783023105406
20200401,1.4611978288948333
20200402,1.4662933531209874
20200403,1.4562133904034997
20200407,1.4671306927131345
20200408,1.466835048736761
20200409,1.4715719518658277
20200410,1.46017087611704
20200413,1.443820541313177
20200414,1.4481914073874722
20200415,1.4535033790523546
20200417,1.4636438785091574
20200420,1.4678479020947983
20200421,1.4636295706327707
20200422,1.4675378288656733
20200423,1.4743510912673155
20200424,1.4697713150682659
20200427,1.4714895095828326
20200428,1.4568048933775528
20200429,1.4498899755951375
20200430,1.4562404283936592
20200506,1.459626505446525
20200507,1.4543047039455315
20200508,1.4549206354069788
20200511,1.4545610067654098
20200512,1.4502688921183151
20200513,1.4467395746864138
20200514,1.4377434153963304
20200515,1.4250999948903686
20200518,1.41035380952246
20200519,1.409067839604249
20200520,1.3958016789308196
20200521,1.3963341151111934
20200522,1.386678826886189
20200525,1.3756796853996278
20200526,1.385565478739315
20200527,1.3932535480137551
20200528,1.39361625202459
20200529,1.4049348123310674
20200601,1.418744364443101
20200602,1.4227985674750665
20200603,1.4163723161921398
20200604,1.413750349707074
20200605,1.405878351973799
20200608,1.4047189969686666
20200609,1.4065473513493503
20200610,1.404927247290669
20200611,1.4048674054365144
20200612,1.4057898321531581
20200615,1.404045605192497
20200616,1.4084530204925922
20200617,1.4105391776023206
20200618,1.4194431830288425
20200619,1.4143899858505544
20200622,1.4103454306155527
20200623,1.396841398220755
20200624,1.3907870201157213
20200629,1.388926603667437
20200630,1.3975159575164957
20200701,1.4005787708542932
20200702,1.4166592771667699
20200703,1.4360267149364567
20200706,1.4755902511172208
20200707,1.4749139803753137
20200708,1.4838784575032262
20200709,1.5001972647804291
20200710,1.4843105415176183
20200713,1.4986936913746127
20200714,1.4869218026050042
20200715,1.4720652702445638
20200716,1.4424604438534105
20200717,1.4472484956800304
20200720,1.480420492812733
20200721,1.4841313778467624
20200722,1.4901828256264804
20200723,1.4885327955197865
20200724,1.4681649950850695
20200727,1.4649386313141586
20200728,1.4753425975535546
20200729,1.4830578175854414
20200730,1.4911593927616404
20200731,1.4992524667956066
