,nav
20190102,1.0
20190103,1.0
20190104,1.0
20190107,1.0
20190108,1.0
20190109,1.0
20190110,1.0
20190111,1.0
20190114,1.0
20190115,1.0
20190116,1.0
20190117,1.0
20190118,1.0
20190121,1.0
20190122,1.0
20190123,1.0
20190124,1.0
20190125,1.0
20190128,1.0
20190129,1.0
20190130,1.0
20190131,1.0
20190201,0.9998
20190211,1.0088324524541863
20190212,1.0148194680168714
20190213,1.021600267212469
20190214,1.0257627394715598
20190215,1.0298545133183619
20190218,1.0440315265932234
20190219,1.0405494357537293
20190220,1.0411396957698633
20190221,1.0471508307532196
20190222,1.0578295069567307
20190225,1.0737170454266431
20190226,1.0810687205311997
20190227,1.0859295621545773
20190228,1.0821431865367759
20190301,1.0855163701480628
20190304,1.0924400891442256
20190305,1.1084545735784923
20190306,1.130800911409015
20190307,1.129875199686168
20190308,1.1149893516092957
20190311,1.1367004975595179
20190312,1.1525829077995449
20190313,1.1440945087339773
20190314,1.130947942089221
20190315,1.1402695018808933
20190318,1.1548119492621625
20190319,1.1604012341113743
20190320,1.15720240544807
20190321,1.1723074459194454
20190322,1.1764071206259328
20190325,1.1694527415881053
20190326,1.1502958204272986
20190327,1.1554778665125347
20190328,1.1528610492902238
20190329,1.1677790258286085
20190401,1.178237420640658
20190402,1.1867036580095676
20190403,1.188203200148965
20190404,1.193463441098999
20190408,1.1957462187343517
20190409,1.1939605231227512
20190410,1.1904316487735649
20190411,1.1788473311572858
20190412,1.1754309748031329
20190415,1.1674821991891227
20190416,1.163144543236373
20190417,1.165020755049363
20190418,1.163958615676622
20190419,1.1639596835924666
20190422,1.1572083285524006
20190423,1.1473243767431722
20190424,1.140354498823711
20190425,1.1234841478388145
20190426,1.1167270665038305
20190429,1.1109084863829246
20190430,1.1142897726582348
20190506,1.1022750426235883
20190507,1.1072318337742582
20190508,1.1097207864088874
20190509,1.1092953704953759
20190510,1.1171012044389586
20190513,1.1147046376357637
20190514,1.113444035603527
20190515,1.1192618166724886
20190516,1.1226544405215695
20190517,1.1123667888434308
20190520,1.1090967460052064
20190521,1.1123945324882032
20190522,1.1108432239574084
20190523,1.1057487017065286
20190524,1.106009254237955
20190527,1.1065244924168842
20190528,1.106524832436119
20190529,1.105985923117574
20190530,1.1039686472731174
20190531,1.104354085049328
20190603,1.1018540217425885
20190604,1.0976590263383839
20190605,1.09778329761908
20190606,1.0880425586119995
20190610,1.08920732628706
20190611,1.096133273616454
20190612,1.0952121773921828
20190613,1.0954212805844414
20190614,1.0919275683736533
20190617,1.0905825374644342
20190618,1.0885123347905172
20190619,1.090894776711476
20190620,1.095173793256493
20190621,1.1041093748927797
20190624,1.1044007334792934
20190625,1.0987938652493097
20190626,1.0998086175034636
20190627,1.1030063618075021
20190628,1.1032487386347443
20190701,1.107808909374526
20190702,1.112538077525916
20190703,1.1123280475054818
20190704,1.1134047071645004
20190705,1.113887716680627
20190708,1.107263858005567
20190709,1.1072843248960882
20190710,1.1064117172633192
20190711,1.1056859627501305
20190712,1.1063884866565512
20190715,1.10538106108425
20190716,1.1061247367848015
20190717,1.1071102458588458
20190718,1.1044925304802187
20190719,1.104966512448293
20190722,1.1016072276442503
20190723,1.101999110202635
20190724,1.1034906180258572
20190725,1.1054419388830319
20190726,1.1077194044965355
20190729,1.1085901083271268
20190730,1.1111095493413374
20190731,1.113411853658622
20190801,1.1131602376031373
20190802,1.1112881658830331
20190805,1.1097516060382702
20190806,1.1059095060694908
20190807,1.1083079961420148
20190808,1.109310909456741
20190809,1.1086664277853353
20190812,1.109698552962112
20190813,1.110219967906051
20190814,1.1093180749431009
20190815,1.1080878693540568
20190816,1.1079820898243564
20190819,1.1109513108816085
20190820,1.1131118418274721
20190821,1.1134006820620839
20190822,1.113047008857059
20190823,1.1130754967934404
20190826,1.1115588570635684
20190827,1.1153204426014138
20190828,1.1159771639141842
20190829,1.116720915357353
20190830,1.1186631843331152
20190902,1.1213276687924898
20190903,1.1220171119265252
20190904,1.1215164366323098
20190905,1.1239390225396182
20190906,1.1256820147768956
20190909,1.1350689158704828
20190910,1.1377476251971101
20190911,1.1383340900227579
20190912,1.1417102268260624
20190916,1.1416067520331838
20190917,1.1335158694258674
20190918,1.1362038190172226
20190919,1.137544602098925
20190920,1.1400328383992873
20190923,1.1407773601157534
20190924,1.142832996147551
20190925,1.141891243843235
20190926,1.1391000706547008
20190927,1.139333619764
20190930,1.141281637162384
20191008,1.1416288012205003
20191009,1.1407138129302505
20191010,1.1429358695835328
20191011,1.1443838869769707
20191014,1.1469080523432746
20191015,1.1455716874758222
20191016,1.1440641638754108
20191017,1.1441407162393837
20191018,1.1421016596503903
20191021,1.1398563197438638
20191022,1.140743588573651
20191023,1.1395872659705026
20191024,1.1367330590648939
20191025,1.13830266227918
20191028,1.1415910698276441
20191029,1.1426929744146404
20191030,1.1384773219826045
20191031,1.1366219866235394
20191101,1.137471253262341
20191104,1.136207103631621
20191105,1.1378420975308927
20191106,1.1379811124134909
20191107,1.1395426682758092
20191108,1.139846399583358
20191111,1.1366879621721813
20191112,1.1374638219988153
20191113,1.1356606574847203
20191114,1.1350106777166464
20191115,1.133025980195417
20191118,1.1303243331318573
20191119,1.1310855110065459
20191120,1.1297774381941088
20191121,1.1280943910497452
20191125,1.1269596918190248
20191126,1.1274304391969674
20191127,1.1263918192535118
20191128,1.1233545417676247
20191129,1.1225788022887895
20191202,1.1227017427493606
20191203,1.1222074285322974
20191204,1.123861558754368
20191205,1.124815777925358
20191206,1.1257847650902333
20191209,1.1256626051561978
20191210,1.1261155326728636
20191211,1.1268123951457758
20191212,1.12646494931396
20191213,1.129163287515026
20191216,1.1321022094848527
20191217,1.1366319308601063
20191218,1.1376764877971648
20191219,1.138370045753261
20191220,1.1385107485982773
20191223,1.1348563229741189
20191224,1.138183107289007
20191225,1.1402331041994154
20191226,1.1451259505582436
20191227,1.14605043750101
20191230,1.1476310209365213
20191231,1.1541403182780436
20200102,1.1610707219452636
20200103,1.1641213696110215
20200106,1.167399829025503
20200107,1.1742863128069563
20200108,1.1741636003604716
20200109,1.186213529373237
20200110,1.1796504029355739
20200113,1.181357090269107
20200114,1.1837635609700123
20200115,1.1815186950023848
20200116,1.1817088752911162
20200117,1.1848901198465236
20200120,1.1929950692230997
20200121,1.196838703828103
20200122,1.1998059303106823
20200123,1.1951580835357363
20200203,1.1685174483529315
20200204,1.1855533569395325
20200205,1.192584757255058
20200206,1.1989934875423545
20200207,1.198026481674887
20200210,1.2058394080726103
20200211,1.2092920856005096
20200212,1.2160638067908502
20200213,1.2134725304416512
20200214,1.2132849568118969
20200217,1.2206474262132876
20200218,1.2334093919907603
20200219,1.2373728687246537
20200220,1.2451536569705073
20200221,1.244796827080121
20200224,1.2500906370901228
20200225,1.2495802453902152
20200226,1.2465126794110128
20200227,1.2503147853093897
20200228,1.2419363545845479
20200302,1.251131213284544
20200303,1.254483307275633
20200304,1.2616554047586013
20200305,1.2713044849842694
20200306,1.2825466763197813
20200309,1.2711905955214773
20200310,1.2740872011203124
20200311,1.2764020852266056
20200312,1.2697205691289823
20200313,1.266653226393688
20200316,1.2633001816072984
20200317,1.2714713878486976
20200318,1.2753181136601435
20200319,1.2685264025403111
20200320,1.2912781887112121
20200323,1.268901563174747
20200324,1.2857804089004836
20200325,1.3052583966145315
20200326,1.300816556120132
20200327,1.2883819696399148
20200330,1.2809030113145212
20200331,1.2815142094598126
20200401,1.2830302479924867
20200402,1.2851762557131692
20200403,1.2751300925673263
20200407,1.2790968552860336
20200408,1.2760030257973403
20200409,1.2768083015359348
20200410,1.2708531681561104
20200413,1.2591091672173174
20200414,1.260378518502467
20200415,1.2612892465501935
20200417,1.2713306246281106
20200420,1.2742448561203272
20200421,1.2714319805695007
20200422,1.2726008387185672
20200423,1.2717500400516464
20200424,1.2674411788956816
20200427,1.2686793556714713
20200428,1.2636494768051905
20200429,1.264303635564436
20200430,1.2696364299201977
20200506,1.2694669988501288
20200507,1.263388360787445
20200508,1.264057566423155
20200511,1.2621250244360198
20200512,1.2589620816075575
20200513,1.2591876585779491
20200514,1.250468139109669
20200515,1.2430909472365235
20200518,1.2299080795630608
20200519,1.2243855185908519
20200520,1.2137008546155175
20200521,1.214288051186327
20200522,1.2125545811321177
20200525,1.208366582949434
20200526,1.2131269595471836
20200527,1.2179804560515612
20200528,1.2177070044588774
20200529,1.2237753916173277
20200601,1.2273977845951096
20200602,1.229848621460765
20200603,1.2306200772358924
20200604,1.228849751333766
20200605,1.2247425613717364
20200608,1.2192351446701857
20200609,1.218059195945974
20200610,1.2161857892839136
20200611,1.216344318581045
20200612,1.2156470796622891
20200615,1.217186953742948
20200616,1.2196330951684224
20200617,1.2213102503181033
20200618,1.227018534196731
20200619,1.2220905382369527
20200622,1.2175751500314331
20200623,1.2124010822074518
20200624,1.208950212353196
20200629,1.2051739980435594
20200630,1.2070765685083618
20200701,1.207316379526049
20200702,1.215407190358458
20200703,1.2266346193399131
20200706,1.2553696517824566
20200707,1.2574189059947516
20200708,1.2561740697090176
20200709,1.2683690128423035
20200710,1.258419724167994
20200713,1.2686075489077375
20200714,1.2674497283950361
20200715,1.2557810530724154
20200716,1.2359996080312359
20200717,1.2349375475345137
20200720,1.2481402026444357
20200721,1.2476948678785076
20200722,1.250941815242983
20200723,1.2525401508440386
20200724,1.2470897451935816
20200727,1.2550498726821584
20200728,1.2541677477995745
20200729,1.2599709435787596
20200730,1.2667563168372595
20200731,1.2752991127422368
20200803,1.2818420136182958
