,nav
20190102,1.0
20190103,1.0
20190104,1.0
20190107,1.0
20190108,1.0
20190109,1.0
20190110,1.0
20190111,1.0
20190114,1.0
20190115,1.0
20190116,1.0
20190117,1.0
20190118,1.0
20190121,1.0
20190122,1.0
20190123,1.0
20190124,1.0
20190125,1.0
20190128,1.0
20190129,1.0
20190130,1.0
20190131,1.0
20190201,0.9998
20190211,1.009916485206349
20190212,1.0148579722064146
20190213,1.023068478674716
20190214,1.0281206127477767
20190215,1.0305116170620547
20190218,1.047649173719021
20190219,1.0438808984653467
20190220,1.044267142370603
20190221,1.052193297475607
20190222,1.070342047152582
20190225,1.1187878048735411
20190226,1.0985997426302465
20190227,1.1069530100819678
20190228,1.1107459646612992
20190301,1.1142138373144252
20190304,1.134797369530753
20190305,1.1571523624143454
20190306,1.166827524099584
20190307,1.1617180231722724
20190308,1.136745352991024
20190311,1.1656436024443624
20190312,1.1780408355433878
20190313,1.1618482341870169
20190314,1.1449928605973558
20190315,1.159168220731413
20190318,1.17932953086358
20190319,1.192701131867976
20190320,1.1899350147916818
20190321,1.1993004500114135
20190322,1.1929185632421042
20190325,1.1787997293457055
20190326,1.1499756473295255
20190327,1.1500578011375757
20190328,1.1449474299397029
20190329,1.170297209425991
20190401,1.1931017214565147
20190402,1.192608873334658
20190403,1.1934293211133757
20190404,1.2050970809172217
20190408,1.1995531509541395
20190409,1.1936268629619884
20190410,1.1827162921377583
20190411,1.1658481997370993
20190412,1.1693303948890277
20190415,1.157676346345808
20190416,1.1603065482342079
20190417,1.180875415315273
20190418,1.1799591493340698
20190419,1.189731362193498
20190422,1.1802491063770875
20190423,1.163492146580369
20190424,1.16583155301611
20190425,1.1434784917692467
20190426,1.1345067727542277
20190429,1.1031955443858974
20190430,1.1177392078196833
20190506,1.0855328969121456
20190507,1.0906116229468694
20190508,1.0963605493519084
20190509,1.0972720057492875
20190510,1.1156857010819319
20190513,1.1102990618879494
20190514,1.1138236041479364
20190515,1.1263475404498848
20190516,1.1288163604341612
20190517,1.112891284450295
20190520,1.1069078134305907
20190521,1.1150086217043382
20190522,1.1114744286281217
20190523,1.103942358605923
20190524,1.1040892921365222
20190527,1.113443975998313
20190528,1.1205748306069123
20190529,1.1285334822223037
20190530,1.1089690114258905
20190531,1.1017664013115587
20190603,1.0930733238479986
20190604,1.0858376647755357
20190605,1.0867798737687646
20190606,1.0746459814717684
20190610,1.082297545276605
20190611,1.1001628989703274
20190612,1.1038748880850224
20190613,1.0998694484547549
20190614,1.0909799007159313
20190617,1.0893904213163008
20190618,1.0873730566170918
20190619,1.0927962638559199
20190620,1.1068178034573073
20190621,1.1219900882124845
20190624,1.12015339163485
20190625,1.11811994663814
20190626,1.1240599010422256
20190627,1.1339131116851395
20190628,1.1374477951991524
20190701,1.1471466427398458
20190702,1.1502817541115928
20190703,1.1475498527862247
20190704,1.1487864031649557
20190705,1.150448339870308
20190708,1.136758402452329
20190709,1.1371895946961794
20190710,1.1328039926050133
20190711,1.1325138703346642
20190712,1.133728284827274
20190715,1.1361919341794884
20190716,1.1374492830614575
20190717,1.1399975507496958
20190718,1.1344818535054118
20190719,1.1383346708744009
20190722,1.130376293598161
20190723,1.1297288930361573
20190724,1.1328127296284751
20190725,1.1335118585790929
20190726,1.1382948910762871
20190729,1.1379834254917007
20190730,1.1425160917610142
20190731,1.141651977768307
20190801,1.139837815978189
20190802,1.1335995586203103
20190805,1.1258233590857993
20190806,1.1132512036998108
20190807,1.114218132923099
20190808,1.1177759967002203
20190809,1.1156106415457705
20190812,1.1287504367643824
20190813,1.1280775307870354
20190814,1.130091980357157
20190815,1.1352839311588534
20190816,1.1399468821132401
20190819,1.1531384733084211
20190820,1.1506635689368643
20190821,1.1515807498003787
20190822,1.1509829765964756
20190823,1.1511254042976835
20190826,1.1467934566358189
20190827,1.1521746348561503
20190828,1.1549201566169833
20190829,1.1520214556124753
20190830,1.14829461624391
20190902,1.1525283602198333
20190903,1.1553673759728824
20190904,1.1569501620756082
20190905,1.166076261929223
20190906,1.1717157404399092
20190909,1.183468065930422
20190910,1.1943822979475034
20190911,1.1892855272157916
20190912,1.189373036776059
20190916,1.1934414218457503
20190917,1.1748858729442107
20190918,1.1774962111477438
20190919,1.1778224178473697
20190920,1.178622240689334
20190923,1.1757412815141097
20190924,1.1738964164359198
20190925,1.1673596791149783
20190926,1.1563502064576392
20190927,1.1592054834326335
20190930,1.160591883164073
20191008,1.1626021811864564
20191009,1.1687377330293927
20191010,1.1808693188053145
20191011,1.1850347166229294
20191014,1.1978410831951258
20191015,1.1884924339664733
20191016,1.1859991866315018
20191017,1.1852750708211517
20191018,1.1834153746855283
20191021,1.1801623271579387
20191022,1.181128344667824
20191023,1.1841780406451021
20191024,1.1841473368664386
20191025,1.198132433096256
20191028,1.2229390109237748
20191029,1.219363487558866
20191030,1.2059240611054205
20191031,1.1963527494217703
20191101,1.1991141015660078
20191104,1.2024244294725004
20191105,1.207743327556232
20191106,1.2029227388357995
20191107,1.2103302722791536
20191108,1.2083921458479951
20191111,1.1973979766199894
20191112,1.2024856994784534
20191113,1.1985322013136945
20191114,1.2003598689766295
20191115,1.1931086852464596
20191118,1.1987001846449084
20191119,1.2053343358009496
20191120,1.202257057028678
20191121,1.197541120600053
20191125,1.1930586258899467
20191126,1.192245057290058
20191127,1.1905913725163149
20191128,1.188749577717382
20191129,1.1878983470733908
20191202,1.1883201735154967
20191203,1.1918781314076454
20191204,1.1944446586770243
20191205,1.2000833983720336
20191206,1.2071243955050985
20191209,1.2078189120677951
20191210,1.2145398594106924
20191211,1.2158771564861977
20191212,1.2138057670487268
20191213,1.2233714329907397
20191216,1.2378950547484608
20191217,1.2446539773406151
20191218,1.2572725824483777
20191219,1.2581255703106582
20191220,1.2615476265497023
20191223,1.2479246697301112
20191224,1.2701384401397608
20191225,1.2692360402589697
20191226,1.2767533081524685
20191227,1.2742277720892738
20191230,1.2722103519242967
20191231,1.2807381443172108
20200102,1.290357832264151
20200103,1.2956845088551774
20200106,1.3001559109346381
20200107,1.3118145691092251
20200108,1.3028948443360797
20200109,1.3226686605601001
20200110,1.32342576934044
20200113,1.3238675112517602
20200114,1.3220251715405562
20200115,1.318060634982341
20200116,1.3078065544945374
20200117,1.3032460390742209
20200120,1.311538298103726
20200121,1.3104156533377573
20200122,1.3189475484052322
20200123,1.2898388874540734
20200203,1.2395613924004352
20200204,1.2732309881529262
20200205,1.3075157341846229
20200206,1.3429976403922352
20200207,1.3314208008858177
20200210,1.3456411205397276
20200211,1.33818411850795
20200212,1.3517320615613393
20200213,1.3463032288759247
20200214,1.345318192962545
20200217,1.3686747939481438
20200218,1.3756312002097781
20200219,1.374994230570402
20200220,1.3909227368102766
20200221,1.4157319992765736
20200224,1.4185265367893516
20200225,1.4087089931114538
20200226,1.3899955038110827
20200227,1.3911002906515346
20200228,1.3717741395392746
20200302,1.3848093078233281
20200303,1.3988858411762213
20200304,1.3995144416879939
20200305,1.408535283204071
20200306,1.40801670597997
20200309,1.3735774523159516
20200310,1.379534220921484
20200311,1.3792788803417393
20200312,1.3691212640558665
20200313,1.3617822044783516
20200316,1.3383378689158307
20200317,1.346791028532662
20200318,1.346920424619158
20200319,1.356191154050001
20200320,1.407753862107683
20200323,1.388825723998107
20200324,1.3976566158456758
20200325,1.411202649804467
20200326,1.3964887332255185
20200327,1.3890888296780752
20200330,1.3852395967369753
20200331,1.3906151220012493
20200401,1.4009171868526598
20200402,1.4084514951763234
20200403,1.4006199078500994
20200407,1.4160072760920948
20200408,1.4162894458766937
20200409,1.4224553757663985
20200410,1.3982076441066233
20200413,1.3841784032217794
20200414,1.394412562078806
20200415,1.397497775737511
20200417,1.40836984610331
20200420,1.4170273540296927
20200421,1.4174433515156937
20200422,1.427039149335982
20200423,1.439958321359285
20200424,1.4233503066974107
20200427,1.4267536304858497
20200428,1.426642084235813
20200429,1.418285127652071
20200430,1.4366178348643142
20200506,1.445728250643094
20200507,1.4494313603288778
20200508,1.4525173000338465
20200511,1.4531811852885457
20200512,1.446697932095028
20200513,1.442683872895633
20200514,1.4264204812238825
20200515,1.4185549203296577
20200518,1.4031764246872145
20200519,1.4090887952150077
20200520,1.3914350424501367
20200521,1.3809988891877611
20200522,1.3703145279086544
20200525,1.3600812111415355
20200526,1.3725344729735207
20200527,1.3836656722405043
20200528,1.3767694727666886
20200529,1.3858930396266378
20200601,1.4065650401980463
20200602,1.4116041624810995
20200603,1.4082030571690631
20200604,1.4099102238380992
20200605,1.4047329558889632
20200608,1.4042099948836575
20200609,1.4020398377498657
20200610,1.3970471653380456
20200611,1.395865770541755
20200612,1.3932671737822147
20200615,1.391144870246184
20200616,1.4065515793892907
20200617,1.4076432795783922
20200618,1.4094177344572743
20200619,1.4141472887408881
20200622,1.4114981728828346
20200623,1.4009726644631446
20200624,1.396377776918374
20200629,1.382661029867553
20200630,1.3941866103157665
20200701,1.3960093003004441
20200702,1.4200632161901856
20200703,1.440743749483365
20200706,1.4868856234833776
20200707,1.490475440471544
20200708,1.5082116802367236
20200709,1.5318462607035965
20200710,1.5179602559758987
20200713,1.528023684372569
20200714,1.5099537992706697
20200715,1.495142178198217
20200716,1.4548964796567163
20200717,1.4635250092519017
20200720,1.4957903037453921
20200721,1.5025692947160976
20200722,1.5255778136361895
20200723,1.5265916138913609
20200724,1.4859957754540478
20200727,1.4782748419476606
20200728,1.4862575179496493
20200729,1.5025704120416141
20200730,1.5086174580977183
20200731,1.5156236023471268
20200803,1.5257346751831253
