,nav
20190102,1.0
20190103,1.0
20190104,1.0
20190107,1.0
20190108,1.0
20190109,1.0
20190110,1.0
20190111,1.0
20190114,1.0
20190115,1.0
20190116,1.0
20190117,1.0
20190118,1.0
20190121,1.0
20190122,1.0
20190123,1.0
20190124,1.0
20190125,1.0
20190128,1.0
20190129,1.0
20190130,1.0
20190131,1.0
20190201,0.9998
20190211,1.0133070933939463
20190212,1.0178985950671904
20190213,1.0310691428906362
20190214,1.0369450608045738
20190215,1.034650733145071
20190218,1.0565964520645625
20190219,1.0547845442246933
20190220,1.0673075308456415
20190221,1.0734883136309263
20190222,1.0888960754208117
20190225,1.1324995356698477
20190226,1.1194946084194064
20190227,1.1198432696384526
20190228,1.1227559203016868
20190301,1.1277144152245315
20190304,1.148411304852992
20190305,1.1709506341760503
20190306,1.1935076560507747
20190307,1.202235720251047
20190308,1.175765026464572
20190311,1.210375748149859
20190312,1.2247836880245804
20190313,1.2032989266381793
20190314,1.1712609195157893
20190315,1.1838068144368044
20190318,1.209244176542226
20190319,1.2281216586182688
20190320,1.22650951305786
20190321,1.2436588941891462
20190322,1.2347006520861779
20190325,1.2225284057997527
20190326,1.1905091924967277
20190327,1.1919614829120861
20190328,1.1896564680382895
20190329,1.214676935037277
20190401,1.234227881848044
20190402,1.241426416695758
20190403,1.2483325075771199
20190404,1.2637966880552962
20190408,1.2686476143340915
20190409,1.2559769640918157
20190410,1.2481936183072466
20190411,1.230603799490611
20190412,1.2405069268494604
20190415,1.2282682932121771
20190416,1.2391891868610887
20190417,1.2533398385114112
20190418,1.2556784943742043
20190419,1.2567299998987045
20190422,1.26758636697062
20190423,1.238228778387036
20190424,1.2323182112414033
20190425,1.222341654186585
20190426,1.220662141536987
20190429,1.1950975180939902
20190430,1.2058940507019187
20190506,1.1752296818275545
20190507,1.1859152318698105
20190508,1.1982766839911805
20190509,1.198759652949052
20190510,1.218238228905019
20190513,1.2170001642711064
20190514,1.2189836765610595
20190515,1.2367640506899984
20190516,1.2440338969718048
20190517,1.2149946635045312
20190520,1.207691065705804
20190521,1.2151910670675357
20190522,1.2123127849999806
20190523,1.2013910855115904
20190524,1.2000914311561537
20190527,1.2038611893991287
20190528,1.203378323324514
20190529,1.2019799596414273
20190530,1.1960375223014574
20190531,1.193855060364434
20190603,1.1900081567394944
20190604,1.1760352005675765
20190605,1.176909748068051
20190606,1.1659907259062374
20190610,1.1693105466912068
20190611,1.1904853411468395
20190612,1.1881872504172482
20190613,1.1922191055751246
20190614,1.183704879621602
20190617,1.1821686001743128
20190618,1.1794053221981369
20190619,1.1868674709138842
20190620,1.206297350910891
20190621,1.2207431450999875
20190624,1.2191916249056793
20190625,1.210500644293309
20190626,1.212873477776879
20190627,1.2180106382485822
20190628,1.2215333941855424
20190701,1.2354086669654352
20190702,1.2393303074794533
20190703,1.2304165225237242
20190704,1.2357491326854588
20190705,1.2319113088218736
20190708,1.2138715022537203
20190709,1.2135709179291085
20190710,1.214325062697174
20190711,1.2137570841660559
20190712,1.2169959427053822
20190715,1.2196269591512643
20190716,1.2209346622649013
20190717,1.2230700818160714
20190718,1.2166965483960532
20190719,1.2173960244109463
20190722,1.2075469284990474
20190723,1.2097005813636927
20190724,1.2127712812354832
20190725,1.2157783170707834
20190726,1.2190366388004468
20190729,1.2180335627896197
20190730,1.223085575800773
20190731,1.2227017002635823
20190801,1.2207356536609255
20190802,1.2163041157236563
20190805,1.211191315055609
20190806,1.199221500813588
20190807,1.203266298671593
20190808,1.2066977122185552
20190809,1.2076251005630978
20190812,1.2103965674471504
20190813,1.209336813262337
20190814,1.2101519402828145
20190815,1.2077169706875435
20190816,1.2146624710032585
20190819,1.2333877142207683
20190820,1.2325327267109962
20190821,1.2338572756475472
20190822,1.2348219872014028
20190823,1.2421659785643702
20190826,1.2346725731077957
20190827,1.24649565910064
20190828,1.249101037157095
20190829,1.2473383652035537
20190830,1.244526155758732
20190902,1.2505751520660708
20190903,1.2547571833091204
20190904,1.2574983512328608
20190905,1.2667063101605345
20190906,1.2716531794018915
20190909,1.2859813434729228
20190910,1.297470384356029
20190911,1.2900580780920152
20190912,1.2896664674567457
20190916,1.2891545630859556
20190917,1.2708904103223158
20190918,1.2726018913233847
20190919,1.275137561235075
20190920,1.2794736464524956
20190923,1.2801484124919118
20190924,1.2796460678610864
20190925,1.2714165541641103
20190926,1.2598889904098465
20190927,1.2645076449613502
20190930,1.2636908143491803
20191008,1.2649315185689685
20191009,1.2697627523940922
20191010,1.2781751255991374
20191011,1.2818553369162529
20191014,1.2903815719382226
20191015,1.284155443565608
20191016,1.28129478389184
20191017,1.2837685044125327
20191018,1.2784076804457936
20191021,1.2718800545274862
20191022,1.2733935410866666
20191023,1.275296646345116
20191024,1.2713916036993194
20191025,1.2747502371258064
20191028,1.2915629593653888
20191029,1.282861677504687
20191030,1.2656049236935865
20191031,1.2592283623388663
20191101,1.2617584489571743
20191104,1.2645079263738437
20191105,1.26648664079642
20191106,1.2632780935863237
20191107,1.2695654473932136
20191108,1.2699704938891025
20191111,1.2604986106052736
20191112,1.2625969781529358
20191113,1.2594851025089397
20191114,1.2589360788253288
20191115,1.2515597515780301
20191118,1.2548036771118187
20191119,1.2643900183898404
20191120,1.2628247053512303
20191121,1.2595062500922947
20191125,1.2563210605326838
20191126,1.25698891057942
20191127,1.255426413706497
20191128,1.2525469608865578
20191129,1.2515294155977943
20191202,1.251264429904483
20191203,1.2539493637745964
20191204,1.2555873842423526
20191205,1.2599758899106888
20191206,1.2660553798055596
20191209,1.2707782325129358
20191210,1.2766401777549703
20191211,1.2794627075611644
20191212,1.2779262792417825
20191213,1.2856948183499706
20191216,1.303562066322622
20191217,1.314678802073864
20191218,1.3194944991446986
20191219,1.322282495856749
20191220,1.323286308704695
20191223,1.307854566723817
20191224,1.3255236713642038
20191225,1.3306233647410022
20191226,1.3386890061432397
20191227,1.3377903593631244
20191230,1.342832086230735
20191231,1.3510969172406606
20200102,1.3614627943581068
20200103,1.3673312561440314
20200106,1.3803437344478129
20200107,1.3901493223894221
20200108,1.382393954133345
20200109,1.4048177798555335
20200110,1.4008983694156665
20200113,1.4041136602481057
20200114,1.4093250330773401
20200115,1.4023228616829646
20200116,1.3923408820419347
20200117,1.3858989487116402
20200120,1.3965153709207088
20200121,1.396180603333223
20200122,1.4025829771731837
20200123,1.3719674910909736
20200203,1.3390742006408587
20200204,1.3731081629134132
20200205,1.4052110670776945
20200206,1.4365985509599641
20200207,1.4385694187835032
20200210,1.4411512820918264
20200211,1.4367984345258618
20200212,1.4493599726956434
20200213,1.4461415629829213
20200214,1.4517794420624484
20200217,1.482478893424008
20200218,1.489744780162131
20200219,1.4873825906321063
20200220,1.5135025650938445
20200221,1.538368911072587
20200224,1.5481625930769298
20200225,1.5402058506380372
20200226,1.5121996192525766
20200227,1.5115953799335171
20200228,1.4886355463109289
20200302,1.508125209651435
20200303,1.5199497607481138
20200304,1.5199550467621128
20200305,1.5367317301147627
20200306,1.5386589198686327
20200309,1.503111140432405
20200310,1.5158834654758555
20200311,1.5157184041232914
20200312,1.5032376235063756
20200313,1.493604243276062
20200316,1.467645315912003
20200317,1.485257434431845
20200318,1.487519848955495
20200319,1.502061598501844
20200320,1.554207914430606
20200323,1.4913829356743116
20200324,1.520742894462198
20200325,1.5497363526926682
20200326,1.5331764071306475
20200327,1.517799205099551
20200330,1.5051167431916566
20200331,1.5074838936913275
20200401,1.5086803808133877
20200402,1.5187687198101627
20200403,1.5060051304779398
20200407,1.5254855427833565
20200408,1.5233427275391753
20200409,1.529363919578878
20200410,1.505747783306212
20200413,1.4838555452430524
20200414,1.4969235629002229
20200415,1.5032438822353544
20200417,1.5190130620641116
20200420,1.5274401137020441
20200421,1.5250759574668107
20200422,1.5328124328733745
20200423,1.5309374062546175
20200424,1.5210175114091409
20200427,1.5232057353344175
20200428,1.5138250118464702
20200429,1.5062415067547439
20200430,1.5241723027299185
20200506,1.5297943170598316
20200507,1.5232071108861762
20200508,1.5263876616957832
20200511,1.5232074493952963
20200512,1.5180693045520928
20200513,1.5163549340304199
20200514,1.500050160270401
20200515,1.4869921844260183
20200518,1.4705194839949514
20200519,1.4731832870969432
20200520,1.4527165825817534
20200521,1.4513882716827597
20200522,1.4363392646313264
20200525,1.4249479381811474
20200526,1.4386180715078463
20200527,1.4432557326287976
20200528,1.4398606180578821
20200529,1.4531221005141557
20200601,1.466463861413657
20200602,1.4765390662721491
20200603,1.4756534920687039
20200604,1.4699187890155387
20200605,1.4635157512180366
20200608,1.461086805849024
20200609,1.4614378042940182
20200610,1.4603000792847285
20200611,1.456284649309595
20200612,1.4557011718213206
20200615,1.4578240539817309
20200616,1.465812081813105
20200617,1.4757123634472193
20200618,1.4739774592737112
20200619,1.4719833976814
20200622,1.4699717336368092
20200623,1.4597756118840959
20200624,1.454628256551617
20200629,1.4501232199154686
20200630,1.4603713855727296
20200701,1.4628707891431132
20200702,1.48709514293861
20200703,1.5075445258236868
20200706,1.5538667964283757
20200707,1.55844082181764
20200708,1.5754661569140231
20200709,1.5915527745019213
20200710,1.5806296687165948
20200713,1.612773168466738
20200714,1.5927616886534242
20200715,1.5703803208374663
20200716,1.5251524288831149
20200717,1.5329819699980776
20200720,1.5761266661203943
20200721,1.5834237143466234
20200722,1.605168514752651
20200723,1.608794397268884
20200724,1.5708733450099537
20200727,1.572931948265288
20200728,1.5872010624282775
20200729,1.602985058611788
20200730,1.6097451152811861
20200731,1.6235101469622717
20200803,1.6356126198952219
