run_id,date,total_asset,cash,market_value,daily_return,benchmark_close,benchmark_return
20260805_222941_3bc167,2023-01-03,1000000.0,1000000.0,0,0.0,3887.899,0.0
20260805_222941_3bc167,2023-01-04,1003310.958076,215012.905576,788298.0525,0.00331096,3892.948,0.00129864
20260805_222941_3bc167,2023-01-05,1005141.323776,215012.905576,790128.4182,0.00182433,3968.578,0.01942744
20260805_222941_3bc167,2023-01-06,1003687.300898,139176.975798,864510.3251,-0.00144659,3980.889,0.00310212
20260805_222941_3bc167,2023-01-09,1006992.087098,139176.975798,867815.1113,0.00329265,4013.119,0.00809618
20260805_222941_3bc167,2023-01-10,1005050.764698,139176.975798,865873.7889,-0.00192784,4017.474,0.00108519
20260805_222941_3bc167,2023-01-11,1000836.981598,139176.975798,861660.0058,-0.00419261,4010.031,-0.00185266
20260805_222941_3bc167,2023-01-12,999309.653115,135379.702815,863929.9503,-0.00152605,4017.869,0.0019546
20260805_222941_3bc167,2023-01-13,1005386.426915,135379.702815,870006.7241,0.00608097,4074.377,0.01406417
20260805_222941_3bc167,2023-01-16,1016973.212797,142175.034097,874798.1787,0.01152471,4137.964,0.01560656
20260805_222941_3bc167,2023-01-17,1012252.003297,142175.034097,870076.9692,-0.00464241,4137.242,-0.00017448
20260805_222941_3bc167,2023-01-18,1015219.279897,142175.034097,873044.2458,0.00293136,4130.315,-0.0016743
20260805_222941_3bc167,2023-01-19,1013746.687597,142175.034097,871571.6535,-0.00145052,4156.008,0.00622059
20260805_222941_3bc167,2023-01-20,1021707.954797,142175.034097,879532.9207,0.00785331,4181.527,0.00614027
20260805_222941_3bc167,2023-01-30,1028056.22704,156687.94144,871368.2856,0.00621339,4201.345,0.00473942
20260805_222941_3bc167,2023-01-31,1033193.34784,156687.94144,876505.4064,0.00499693,4156.857,-0.01058899
20260805_222941_3bc167,2023-02-01,1044632.69994,156687.94144,887944.7585,0.01107184,4195.933,0.00940037
20260805_222941_3bc167,2023-02-02,1044349.55224,156687.94144,887661.6108,-0.00027105,4181.15,-0.00352317
20260805_222941_3bc167,2023-02-03,1044568.66014,156687.94144,887880.7187,0.0002098,4141.632,-0.00945147
20260805_222941_3bc167,2023-02-06,1043696.22574,156687.94144,887008.2843,-0.00083521,4086.878,-0.01322039
20260805_222941_3bc167,2023-02-07,1053042.57334,156687.94144,896354.6319,0.00895505,4094.233,0.00179966
20260805_222941_3bc167,2023-02-08,1043066.96704,156687.94144,886379.0256,-0.00947313,4076.141,-0.0044189
20260805_222941_3bc167,2023-02-09,1050153.26124,156687.94144,893465.3198,0.00679371,4130.857,0.01342348
20260805_222941_3bc167,2023-02-10,1050794.40974,156687.94144,894106.4683,0.00061053,4106.309,-0.00594259
20260805_222941_3bc167,2023-02-13,1058607.93034,156687.94144,901919.9889,0.00743582,4143.574,0.00907506
20260805_222941_3bc167,2023-02-14,1066051.45824,156687.94144,909363.5168,0.00703143,4145.29,0.00041414
20260805_222941_3bc167,2023-02-15,1064591.54734,156687.94144,907903.6059,-0.00136946,4123.689,-0.00521097
20260805_222941_3bc167,2023-02-16,1047141.81934,156687.94144,890453.8779,-0.01639101,4093.488,-0.00732378
20260805_222941_3bc167,2023-02-17,1046139.06944,156687.94144,889451.128,-0.00095761,4034.508,-0.01440825
20260805_222941_3bc167,2023-02-20,1060972.16934,156687.94144,904284.2279,0.0141789,4133.489,0.0245336
20260805_222941_3bc167,2023-02-21,1067183.00204,156687.94144,910495.0606,0.00585391,4144.354,0.00262853
20260805_222941_3bc167,2023-02-22,1069804.13964,156687.94144,913116.1982,0.00245613,4106.951,-0.00902505
20260805_222941_3bc167,2023-02-23,1068820.85464,156687.94144,912132.9132,-0.00091913,4103.646,-0.00080473
20260805_222941_3bc167,2023-02-24,1062970.30604,156687.94144,906282.3646,-0.00547383,4061.045,-0.01038126
20260805_222941_3bc167,2023-02-27,1052722.70184,156687.94144,896034.7604,-0.00964054,4043.845,-0.00423536
20260805_222941_3bc167,2023-02-28,1064540.41234,156687.94144,907852.4709,0.01122585,4069.459,0.00633407
20260805_222941_3bc167,2023-03-01,1070027.21964,156687.94144,913339.2782,0.00515416,4126.942,0.01412546
20260805_222941_3bc167,2023-03-02,1065700.67934,156687.94144,909012.7379,-0.00404339,4117.737,-0.00223047
20260805_222941_3bc167,2023-03-03,1068731.87254,156687.94144,912043.9311,0.00284432,4130.552,0.00311215
20260805_222941_3bc167,2023-03-06,1069023.35774,156687.94144,912335.4163,0.00027274,4109.01,-0.00521528
20260805_222941_3bc167,2023-03-07,1052635.91174,156687.94144,895947.9703,-0.01532936,4048.852,-0.01464051
20260805_222941_3bc167,2023-03-08,1054812.322603,127420.567103,927391.7555,0.00206758,4034.108,-0.00364153
20260805_222941_3bc167,2023-03-09,1053827.103503,127420.567103,926406.5364,-0.00093402,4019.85,-0.00353436
20260805_222941_3bc167,2023-03-10,1038220.838603,127420.567103,910800.2715,-0.01480913,3967.135,-0.01311367
20260805_222941_3bc167,2023-03-13,1048988.417803,127420.567103,921567.8507,0.01037118,4008.686,0.01047381
20260805_222941_3bc167,2023-03-14,1029721.383803,127420.567103,902300.8167,-0.01836725,3984.696,-0.0059845
20260805_222941_3bc167,2023-03-15,1048420.654203,127420.567103,921000.0871,0.01815954,3986.902,0.00055362
20260805_222941_3bc167,2023-03-16,1043567.208603,127420.567103,916146.6415,-0.00462929,3939.151,-0.01197697
20260805_222941_3bc167,2023-03-17,1043727.883078,113391.708078,930336.175,0.00015397,3958.819,0.00499295
20260805_222941_3bc167,2023-03-20,1034511.116778,113391.708078,921119.4087,-0.00883062,3939.077,-0.00498684
20260805_222941_3bc167,2023-03-21,1043639.918078,113391.708078,930248.21,0.00882427,3982.378,0.01099268
20260805_222941_3bc167,2023-03-22,1046945.015878,113391.708078,933553.3078,0.00316689,3999.442,0.00428488
20260805_222941_3bc167,2023-03-23,1048130.434278,113391.708078,934738.7262,0.00113226,4039.09,0.00991338
20260805_222941_3bc167,2023-03-24,1042388.260978,113391.708078,928996.5529,-0.00547849,4027.046,-0.00298186
20260805_222941_3bc167,2023-03-27,1042531.050078,113391.708078,929139.342,0.00013698,4012.477,-0.00361779
20260805_222941_3bc167,2023-03-28,1043365.629778,113391.708078,929973.9217,0.00080053,3999.515,-0.00323042
20260805_222941_3bc167,2023-03-29,1036685.949778,113391.708078,923294.2417,-0.00640205,4006.144,0.00165745
20260805_222941_3bc167,2023-03-30,1030403.432805,88411.351105,941992.0817,-0.00606019,4038.526,0.00808308
20260805_222941_3bc167,2023-03-31,1047056.646305,88411.351105,958645.2952,0.01616184,4050.926,0.00307043
20260805_222941_3bc167,2023-04-03,1051859.989205,88411.351105,963448.6381,0.00458747,4090.568,0.00978591
20260805_222941_3bc167,2023-04-04,1046445.463216,194052.700716,852392.7625,-0.00514757,4103.105,0.00306486
20260805_222941_3bc167,2023-04-06,1044948.658016,194052.700716,850895.9573,-0.00143037,4096.64,-0.00157564
20260805_222941_3bc167,2023-04-07,1047323.304716,194052.700716,853270.604,0.0022725,4123.28,0.00650289
20260805_222941_3bc167,2023-04-10,1043725.706416,194052.700716,849673.0057,-0.00343504,4104.812,-0.00447896
20260805_222941_3bc167,2023-04-11,1048133.585614,107303.605214,940829.9804,0.00422322,4100.148,-0.00113623
20260805_222941_3bc167,2023-04-12,1061443.192414,107303.605214,954139.5872,0.01269839,4097.287,-0.00069778
20260805_222941_3bc167,2023-04-13,1059583.491914,107303.605214,952279.8867,-0.00175205,4068.978,-0.00690921
20260805_222941_3bc167,2023-04-14,1062542.361794,95348.177094,967194.1847,0.00279248,4091.999,0.00565769
20260805_222941_3bc167,2023-04-17,1067235.973494,95348.177094,971887.7964,0.00441734,4149.384,0.01402371
20260805_222941_3bc167,2023-04-18,1077059.320294,95348.177094,981711.1432,0.00920447,4162.032,0.00304816
20260805_222941_3bc167,2023-04-19,1077886.301494,95348.177094,982538.1244,0.00076781,4124.559,-0.00900353
20260805_222941_3bc167,2023-04-20,1078477.876451,104923.397751,973554.4787,0.00054883,4113.019,-0.00279787
20260805_222941_3bc167,2023-04-21,1065077.961951,104923.397751,960154.5642,-0.01242484,4032.567,-0.01956033
20260805_222941_3bc167,2023-04-24,1058853.278754,124422.507054,934430.7717,-0.00584435,3982.643,-0.0123802
20260805_222941_3bc167,2023-04-25,1054146.181416,106267.628516,947878.5529,-0.00444547,3962.666,-0.00501602
20260805_222941_3bc167,2023-04-26,1054945.881056,105823.903556,949121.9775,0.00075862,3959.233,-0.00086634
20260805_222941_3bc167,2023-04-27,1050832.359403,123303.908903,927528.4505,-0.00389927,3988.418,0.00737138
20260805_222941_3bc167,2023-04-28,1072881.090303,123303.908903,949577.1814,0.02098216,4029.086,0.01019652
20260805_222941_3bc167,2023-05-04,1095312.542703,123303.908903,972008.6338,0.02090768,4030.247,0.00028815
20260805_222941_3bc167,2023-05-05,1088117.975892,87415.123792,1000702.8521,-0.00656851,4016.877,-0.00331741
20260805_222941_3bc167,2023-05-08,1103212.429892,87415.123792,1015797.3061,0.01387207,4062.663,0.01139841
20260805_222941_3bc167,2023-05-09,1098358.226792,87415.123792,1010943.103,-0.00440006,4027.876,-0.00856261
20260805_222941_3bc167,2023-05-10,1090474.503992,87415.123792,1003059.3802,-0.00717773,3996.87,-0.00769785
20260805_222941_3bc167,2023-05-11,1093543.547892,87415.123792,1006128.4241,0.00281441,3990.664,-0.00155271
20260805_222941_3bc167,2023-05-12,1082521.482892,87415.123792,995106.3591,-0.01007922,3937.762,-0.01325644
20260805_222941_3bc167,2023-05-15,1087600.689492,87415.123792,1000185.5657,0.00469201,3998.888,0.01552303
20260805_222941_3bc167,2023-05-16,1078661.209292,87415.123792,991246.0855,-0.00821945,3978.205,-0.00517219
20260805_222941_3bc167,2023-05-17,1083236.101792,87415.123792,995820.978,0.00424127,3960.165,-0.00453471
20260805_222941_3bc167,2023-05-18,1091669.893792,87415.123792,1004254.77,0.00778574,3956.071,-0.0010338
20260805_222941_3bc167,2023-05-19,1082190.998592,87415.123792,994775.8748,-0.00868293,3944.54,-0.00291476
20260805_222941_3bc167,2023-05-22,1078987.498692,87415.123792,991572.3749,-0.0029602,3969.328,0.00628413
20260805_222941_3bc167,2023-05-23,1070736.613792,87415.123792,983321.49,-0.00764688,3913.188,-0.01414345
20260805_222941_3bc167,2023-05-24,1071563.813592,87415.123792,984148.6898,0.00077255,3859.094,-0.01382351
20260805_222941_3bc167,2023-05-25,1061482.669492,87415.123792,974067.5457,-0.00940788,3850.5,-0.00222695
20260805_222941_3bc167,2023-05-26,1071455.761492,87415.123792,984040.6377,0.00939544,3850.951,0.00011713
20260805_222941_3bc167,2023-05-29,1083818.345992,87415.123792,996403.2222,0.01153812,3833.941,-0.00441709
20260805_222941_3bc167,2023-05-30,1100049.343646,82749.916446,1017299.4272,0.01497575,3837.754,0.00099454
20260805_222941_3bc167,2023-05-31,1099021.765046,82749.916446,1016271.8486,-0.00093412,3798.543,-0.01021717
20260805_222941_3bc167,2023-06-01,1099459.496446,82749.916446,1016709.58,0.00039829,3806.867,0.00219137
20260805_222941_3bc167,2023-06-02,1095640.139864,55743.048864,1039897.091,-0.00347385,3861.834,0.01443891
20260805_222941_3bc167,2023-06-05,1102426.566864,55743.048864,1046683.518,0.00619403,3844.249,-0.00455354
20260805_222941_3bc167,2023-06-06,1079996.857864,55743.048864,1024253.809,-0.02034576,3808.163,-0.00938701
20260805_222941_3bc167,2023-06-07,1086413.815864,55743.048864,1030670.767,0.00594165,3789.342,-0.00494228
20260805_222941_3bc167,2023-06-08,1084402.687864,55743.048864,1028659.639,-0.00185116,3820.187,0.00813994
20260805_222941_3bc167,2023-06-09,1090026.606864,55743.048864,1034283.558,0.00518619,3836.703,0.00432335
20260805_222941_3bc167,2023-06-12,1092725.235864,55743.048864,1036982.187,0.00247575,3844.433,0.00201475
20260805_222941_3bc167,2023-06-13,1087929.548864,55743.048864,1032186.5,-0.00438874,3864.908,0.00532588
20260805_222941_3bc167,2023-06-14,1093167.762864,55743.048864,1037424.714,0.00481485,3864.025,-0.00022847
20260805_222941_3bc167,2023-06-15,1088841.014864,55743.048864,1033097.966,-0.00395799,3925.5,0.01590958
