run_id,date,code,volume,available_volume,cost_price,last_price,unrealized_pnl,holding_days
20260809_004410_5b32d2,2023-01-04,603095.SH,700,0,23.990268,24.215096,157.3796,1
20260809_004410_5b32d2,2023-01-04,000055.SZ,500,0,47.376378,48.70308,663.351,1
20260809_004410_5b32d2,2023-01-04,600035.SH,2300,0,11.061004,11.047192,-31.7676,1
20260809_004410_5b32d2,2023-01-04,002457.SZ,1100,0,21.778214,22.09968,353.6126,1
20260809_004410_5b32d2,2023-01-04,600694.SH,200,0,99.40838,98.566,-168.476,1
20260809_004410_5b32d2,2023-01-04,000501.SZ,300,0,75.702809,76.15916,136.9053,1
20260809_004410_5b32d2,2023-01-04,600814.SH,300,0,46.15395,45.711112,-132.8514,1
20260809_004410_5b32d2,2023-01-04,002526.SZ,1700,0,13.529435,13.63212,174.5645,1
20260809_004410_5b32d2,2023-01-04,600790.SH,300,0,58.465752,58.642822,53.121,1
20260809_004410_5b32d2,2023-01-04,603183.SH,1000,0,22.542006,22.465545,-76.461,1
20260809_004410_5b32d2,2023-01-04,600846.SH,100,0,153.252574,156.281766,302.9192,1
20260809_004410_5b32d2,2023-01-04,601789.SH,1700,0,10.561467,11.00274,750.1641,1
20260809_004410_5b32d2,2023-01-04,000719.SZ,400,0,40.830813,41.469342,255.4116,1
20260809_004410_5b32d2,2023-01-04,002818.SZ,700,0,26.311635,26.430806,83.4197,1
20260809_004410_5b32d2,2023-01-04,002124.SZ,100,0,100.030066,99.90516,-12.4906,1
20260809_004410_5b32d2,2023-01-04,000735.SZ,400,0,41.3475,41.4711,49.44,1
20260809_004410_5b32d2,2023-01-04,001201.SZ,200,0,49.138954,49.455246,63.2584,1
20260809_004410_5b32d2,2023-01-04,600128.SH,800,0,24.902143,25.209639,245.9968,1
20260809_004410_5b32d2,2023-01-04,002469.SZ,100,0,53.722022,54.18882,46.6798,1
20260809_004410_5b32d2,2023-01-04,600202.SH,700,0,26.077813,26.04525,-22.7941,1
20260809_004410_5b32d2,2023-01-04,603656.SH,800,0,23.244225,23.1948,-39.54,1
20260809_004410_5b32d2,2023-01-04,000856.SZ,700,0,15.88894,16.03812,104.426,1
20260809_004410_5b32d2,2023-01-04,603682.SH,3600,0,6.029941,6.100336,253.422,1
20260809_004410_5b32d2,2023-01-04,002035.SZ,100,0,94.233272,96.632064,239.8792,1
20260809_004410_5b32d2,2023-01-04,002497.SZ,100,0,156.753689,157.35132,59.7631,1
20260809_004410_5b32d2,2023-01-04,600073.SH,800,0,25.528406,26.434852,725.1568,1
20260809_004410_5b32d2,2023-01-04,002661.SZ,400,0,41.282225,41.159772,-48.9812,1
20260809_004410_5b32d2,2023-01-04,600101.SH,200,0,64.158314,64.7388,116.0972,1
20260809_004410_5b32d2,2023-01-04,000833.SZ,1600,0,11.480332,11.634367,246.456,1
20260809_004410_5b32d2,2023-01-04,000543.SZ,700,0,21.607942,21.53384,-51.8714,1
20260809_004410_5b32d2,2023-01-04,002144.SZ,1400,0,11.79575,11.987103,267.8942,1
20260809_004410_5b32d2,2023-01-04,601599.SH,1800,0,10.660471,10.71248,93.6162,1
20260809_004410_5b32d2,2023-01-04,600125.SH,200,0,96.806273,95.656824,-229.8898,1
20260809_004410_5b32d2,2023-01-04,002012.SZ,400,0,28.659837,31.55985,1160.0052,1
20260809_004410_5b32d2,2023-01-04,002300.SZ,200,0,54.128079,54.197352,13.8546,1
20260809_004410_5b32d2,2023-01-04,002606.SZ,300,0,40.899556,40.386684,-153.8616,1
20260809_004410_5b32d2,2023-01-04,002117.SZ,300,0,49.601477,50.09547,148.1979,1
20260809_004410_5b32d2,2023-01-04,000026.SZ,100,0,86.824213,87.945226,112.1013,1
20260809_004410_5b32d2,2023-01-04,603360.SH,400,0,38.81683,38.2394,-230.972,1
20260809_004410_5b32d2,2023-01-04,605259.SH,400,0,37.181022,37.176062,-1.984,1
20260809_004410_5b32d2,2023-01-04,300743.SZ,700,0,26.434348,26.800688,256.438,1
