run_id,date,total_asset,cash,market_value,daily_return,benchmark_close,benchmark_return
20260814_122727_6a00b4,2023-01-03,1000000.0,1000000.0,0,0.0,3887.899,0.0
20260814_122727_6a00b4,2023-01-04,1002326.829556,135632.195756,866694.6338,0.00232683,3892.948,0.00129864
20260814_122727_6a00b4,2023-01-05,991997.50904,34918.00874,957079.5003,-0.01030534,3968.578,0.01942744
20260814_122727_6a00b4,2023-01-06,973912.691218,35683.435318,938229.2559,-0.01823071,3980.889,0.00310212
20260814_122727_6a00b4,2023-01-09,972276.4304,30503.6426,941772.7878,-0.00168009,4013.119,0.00809618
20260814_122727_6a00b4,2023-01-10,990031.529238,19416.624738,970614.9045,0.01826137,4017.474,0.00108519
20260814_122727_6a00b4,2023-01-11,971225.772526,28622.715926,942603.0566,-0.01899511,4010.031,-0.00185266
20260814_122727_6a00b4,2023-01-12,966058.96865,22758.52925,943300.4394,-0.00531988,4017.869,0.0019546
20260814_122727_6a00b4,2023-01-13,969027.597563,20526.692863,948500.9047,0.00307293,4074.377,0.01406417
20260814_122727_6a00b4,2023-01-16,956816.439545,14000.000945,942816.4386,-0.01260146,4137.964,0.01560656
20260814_122727_6a00b4,2023-01-17,942535.286968,22908.253168,919627.0338,-0.0149257,4137.242,-0.00017448
20260814_122727_6a00b4,2023-01-18,930723.544668,22908.253168,907815.2915,-0.01253188,4130.315,-0.0016743
20260814_122727_6a00b4,2023-01-19,937385.805857,19310.911457,918074.8944,0.00715815,4156.008,0.00622059
20260814_122727_6a00b4,2023-01-20,941711.803457,19310.911457,922400.892,0.00461496,4181.527,0.00614027
20260814_122727_6a00b4,2023-01-30,960168.630857,19310.911457,940857.7194,0.01959923,4201.345,0.00473942
20260814_122727_6a00b4,2023-01-31,957657.075614,22216.351314,935440.7243,-0.00261574,4156.857,-0.01058899
20260814_122727_6a00b4,2023-02-01,967162.075286,12426.339886,954735.7354,0.00992526,4195.933,0.00940037
20260814_122727_6a00b4,2023-02-02,943783.172183,74312.246183,869470.926,-0.02417268,4181.15,-0.00352317
20260814_122727_6a00b4,2023-02-03,938593.744195,52165.218395,886428.5258,-0.00549854,4141.632,-0.00945147
20260814_122727_6a00b4,2023-02-06,943436.693531,50723.471631,892713.2219,0.00515979,4086.878,-0.01322039
20260814_122727_6a00b4,2023-02-07,943123.047354,47411.154954,895711.8924,-0.00033245,4094.233,0.00179966
20260814_122727_6a00b4,2023-02-08,941009.339833,42441.080733,898568.2591,-0.00224118,4076.141,-0.0044189
20260814_122727_6a00b4,2023-02-09,962097.139133,42441.080733,919656.0584,0.02240977,4130.857,0.01342348
20260814_122727_6a00b4,2023-02-10,948387.28479,45093.04769,903294.2371,-0.01424997,4106.309,-0.00594259
20260814_122727_6a00b4,2023-02-13,957525.62484,56800.85804,900724.7668,0.00963566,4143.574,0.00907506
20260814_122727_6a00b4,2023-02-14,951896.892519,55676.092419,896220.8001,-0.00587841,4145.29,0.00041414
20260814_122727_6a00b4,2023-02-15,954841.118944,49254.084744,905587.0342,0.00309301,4123.689,-0.00521097
20260814_122727_6a00b4,2023-02-16,925611.933291,41877.948891,883733.9844,-0.03061157,4093.488,-0.00732378
20260814_122727_6a00b4,2023-02-17,909399.336457,33770.108457,875629.228,-0.01751554,4034.508,-0.01440825
20260814_122727_6a00b4,2023-02-20,916250.432257,33770.108457,882480.3238,0.00753365,4133.489,0.0245336
20260814_122727_6a00b4,2023-02-21,907049.970199,35686.614399,871363.3558,-0.01004143,4144.354,0.00262853
20260814_122727_6a00b4,2023-02-22,910502.792746,61113.920746,849388.872,0.00380665,4106.951,-0.00902505
20260814_122727_6a00b4,2023-02-23,898789.560641,50699.698241,848089.8624,-0.01286458,4103.646,-0.00080473
20260814_122727_6a00b4,2023-02-24,910696.660339,41643.825339,869052.835,0.01324793,4061.045,-0.01038126
20260814_122727_6a00b4,2023-02-27,902988.852436,32873.221436,870115.631,-0.00846364,4043.845,-0.00423536
20260814_122727_6a00b4,2023-02-28,915477.695845,34800.828845,880676.867,0.01383056,4069.459,0.00633407
20260814_122727_6a00b4,2023-03-01,916592.539609,29720.216609,886872.323,0.00121777,4126.942,0.01412546
20260814_122727_6a00b4,2023-03-02,908095.972052,120024.485052,788071.487,-0.00926973,4117.737,-0.00223047
