run_id,date,code,volume,available_volume,cost_price,last_price,unrealized_pnl,holding_days
20260814_131724_832028,2020-01-03,300069.SZ,2500,0,33.23602,33.00051,-588.775,1
20260814_131724_832028,2020-01-03,002269.SZ,7200,0,11.558315,11.352869,-1479.2112,1
20260814_131724_832028,2020-01-03,002163.SZ,3100,0,26.178302,25.559816,-1917.3066,1
20260814_131724_832028,2020-01-03,000915.SZ,900,0,84.637417,84.957624,288.1863,1
20260814_131724_832028,2020-01-03,300526.SZ,700,0,107.002408,104.58702,-1690.7716,1
20260814_131724_832028,2020-01-03,002233.SZ,2400,0,33.482102,32.75342,-1748.8368,1
20260814_131724_832028,2020-01-03,300465.SZ,2400,0,33.394602,34.125216,1753.4736,1
20260814_131724_832028,2020-01-03,002367.SZ,1400,0,58.704943,58.279156,-596.1018,1
20260814_131724_832028,2020-01-03,002118.SZ,1000,0,78.235446,77.313978,-921.468,1
20260814_131724_832028,2020-01-03,300674.SZ,3000,0,27.752065,28.203269,1353.612,1
20260814_131724_832028,2020-01-03,002082.SZ,2900,0,28.276194,27.53151,-2159.5836,1
20260814_131724_832028,2020-01-03,300569.SZ,2000,0,41.674666,41.221677,-905.978,1
20260814_131724_832028,2020-01-06,300069.SZ,10100,2500,32.523202,33.96579,14570.1388,2
20260814_131724_832028,2020-01-06,000915.SZ,3800,900,84.978914,82.183107,-10624.0666,2
20260814_131724_832028,2020-01-06,002233.SZ,10000,2400,32.90468,32.20448,-7002.0,2
20260814_131724_832028,2020-01-07,300069.SZ,10100,10100,32.523202,34.95118,24522.5778,3
20260814_131724_832028,2020-01-07,000915.SZ,3800,3800,84.978914,82.214998,-10502.8808,3
20260814_131724_832028,2020-01-07,002233.SZ,10000,10000,32.90468,32.25676,-6479.2,3
20260814_131724_832028,2020-01-08,300069.SZ,10100,10100,32.523202,33.84513,13351.4728,4
20260814_131724_832028,2020-01-08,000915.SZ,3800,3800,84.978914,80.556666,-16804.5424,4
20260814_131724_832028,2020-01-08,002233.SZ,10000,10000,32.90468,31.34186,-15628.2,4
20260814_131724_832028,2020-01-09,300069.SZ,10100,10100,32.523202,34.14678,16398.1378,5
20260814_131724_832028,2020-01-09,000915.SZ,3800,3800,84.978914,81.130704,-14623.198,5
20260814_131724_832028,2020-01-09,002233.SZ,10000,10000,32.90468,31.70782,-11968.6,5
20260814_131724_832028,2020-01-10,300069.SZ,10100,10100,32.523202,33.04073,5227.0328,6
20260814_131724_832028,2020-01-10,000915.SZ,3800,3800,84.978914,80.333429,-17652.843,6
20260814_131724_832028,2020-01-10,002233.SZ,10000,10000,32.90468,31.8908,-10138.8,6
20260814_131724_832028,2020-01-13,300069.SZ,10100,10100,32.523202,33.94568,14367.0278,7
20260814_131724_832028,2020-01-13,000915.SZ,3800,3800,84.978914,80.36532,-17531.6572,7
20260814_131724_832028,2020-01-13,002233.SZ,10000,10000,32.90468,31.6294,-12752.8,7
20260814_131724_832028,2020-01-14,300069.SZ,10100,10100,32.523202,33.14128,6242.5878,8
20260814_131724_832028,2020-01-14,000915.SZ,3800,3800,84.978914,80.397211,-17410.4714,8
20260814_131724_832028,2020-01-14,002233.SZ,10000,10000,32.90468,31.47256,-14321.2,8
20260814_131724_832028,2020-01-15,300069.SZ,10100,10100,32.523202,33.14128,6242.5878,9
20260814_131724_832028,2020-01-15,000915.SZ,3800,3800,84.978914,85.372207,1494.5134,9
20260814_131724_832028,2020-01-15,002233.SZ,10000,10000,32.90468,30.9759,-19287.8,9
20260814_131724_832028,2020-01-16,300069.SZ,10100,10100,32.523202,32.45754,-663.1862,10
20260814_131724_832028,2020-01-16,000915.SZ,3800,3800,84.978914,84.351695,-2383.4322,10
20260814_131724_832028,2020-01-16,002233.SZ,10000,10000,32.90468,30.47924,-24254.4,10
20260814_131724_832028,2020-01-17,300069.SZ,10100,10100,32.523202,31.3716,-11631.1802,11
20260814_131724_832028,2020-01-17,000915.SZ,3800,3800,84.978914,84.51115,-1777.5032,11
20260814_131724_832028,2020-01-17,002233.SZ,10000,10000,32.90468,30.53152,-23731.6,11
20260814_131724_832028,2020-01-20,300069.SZ,10100,10100,32.523202,31.06995,-14677.8452,12
20260814_131724_832028,2020-01-20,000915.SZ,3800,3800,84.978914,84.543041,-1656.3174,12
20260814_131724_832028,2020-01-20,002233.SZ,10000,10000,32.90468,30.74064,-21640.4,12
20260814_131724_832028,2020-01-21,000915.SZ,5500,3800,85.87118,87.540795,9182.8825,13
20260814_131724_832028,2020-01-21,002233.SZ,15400,10000,32.170119,29.72118,-37713.6606,13
20260814_131724_832028,2020-01-22,000915.SZ,5500,5500,85.87118,84.000894,-10286.573,14
20260814_131724_832028,2020-01-22,002233.SZ,15400,15400,32.170119,30.061,-32480.4326,14
20260814_131724_832028,2020-01-23,000915.SZ,5500,5500,85.87118,81.035031,-26598.8195,15
20260814_131724_832028,2020-01-23,002233.SZ,15400,15400,32.170119,29.06768,-47777.5606,15
20260814_131724_832028,2020-02-03,000915.SZ,11600,5500,79.188316,73.126063,-70322.1348,16
20260814_131724_832028,2020-02-03,002233.SZ,15400,15400,32.170119,26.16614,-92461.2766,16
20260814_131724_832028,2020-02-04,300336.SZ,900,0,42.6017,42.50604,-86.094,1
20260814_131724_832028,2020-02-04,300627.SZ,800,0,47.024,51.691495,3733.996,1
20260814_131724_832028,2020-02-04,300433.SZ,400,0,98.225715,109.499244,4509.4116,1
20260814_131724_832028,2020-02-04,002603.SZ,800,0,48.862719,50.10725,995.6248,1
20260814_131724_832028,2020-02-04,002409.SZ,400,0,94.617918,101.861004,2897.2344,1
20260814_131724_832028,2020-02-04,000597.SZ,1200,0,31.902115,31.123136,-934.7748,1
20260814_131724_832028,2020-02-04,002584.SZ,1900,0,20.356319,19.50676,-1614.1621,1
20260814_131724_832028,2020-02-04,002384.SZ,200,0,182.136648,193.769865,2326.6434,1
20260814_131724_832028,2020-02-04,000021.SZ,200,0,169.52603,180.62709,2220.212,1
20260814_131724_832028,2020-02-04,300750.SZ,200,0,146.375642,149.18291,561.4536,1
20260814_131724_832028,2020-02-04,002709.SZ,400,0,97.129769,103.576903,2578.8536,1
20260814_131724_832028,2020-02-04,300676.SZ,400,0,88.83307,90.637928,721.9432,1
20260814_131724_832028,2020-02-04,002399.SZ,500,0,76.750214,81.523145,2386.4655,1
20260814_131724_832028,2020-02-04,000999.SZ,500,0,77.285189,75.449243,-917.973,1
20260814_131724_832028,2020-02-04,300551.SZ,1100,0,34.572452,36.908101,2569.2139,1
20260814_131724_832028,2020-02-04,002308.SZ,2100,0,18.807586,20.065494,2641.6068,1
20260814_131724_832028,2020-02-04,000790.SZ,500,0,69.483679,67.738134,-872.7725,1
20260814_131724_832028,2020-02-04,300629.SZ,1500,0,26.731262,27.618948,1331.529,1
20260814_131724_832028,2020-02-04,002174.SZ,500,0,77.551173,84.721192,3585.0095,1
20260814_131724_832028,2020-02-04,002170.SZ,1600,0,24.294383,27.219478,4680.152,1
20260814_131724_832028,2020-02-05,300433.SZ,800,400,104.347431,111.109527,5409.6768,2
20260814_131724_832028,2020-02-05,002603.SZ,1900,800,48.674126,50.513525,3494.8581,2
20260814_131724_832028,2020-02-05,000597.SZ,2900,1200,31.996565,33.020104,2968.2631,2
20260814_131724_832028,2020-02-05,300750.SZ,600,200,154.676655,164.101201,5654.7276,2
20260814_131724_832028,2020-02-05,002709.SZ,800,400,105.080476,113.922326,7073.48,2
20260814_131724_832028,2020-02-05,300676.SZ,1000,400,88.22739,91.383256,3155.866,2
20260814_131724_832028,2020-02-05,000999.SZ,1200,500,75.072022,75.549388,572.8392,2
20260814_131724_832028,2020-02-05,000790.SZ,1400,500,67.435407,69.69447,3162.6882,2
20260814_131724_832028,2020-02-05,002174.SZ,1100,500,82.243715,83.04784,884.5375,2
20260814_131724_832028,2020-02-06,300433.SZ,800,800,104.347431,110.998473,5320.8336,3
20260814_131724_832028,2020-02-06,002603.SZ,1900,1900,48.674126,53.817895,9773.1611,3
20260814_131724_832028,2020-02-06,000597.SZ,2900,2900,31.996565,32.280608,823.7247,3
20260814_131724_832028,2020-02-06,300750.SZ,600,600,154.676655,170.212791,9321.6816,3
20260814_131724_832028,2020-02-06,002709.SZ,800,800,105.080476,125.330915,16200.3512,3
20260814_131724_832028,2020-02-06,300676.SZ,1000,1000,88.22739,89.177488,950.098,3
20260814_131724_832028,2020-02-06,000999.SZ,1200,1200,75.072022,75.70962,765.1176,3
20260814_131724_832028,2020-02-06,000790.SZ,1400,1400,67.435407,69.327657,2649.15,3
20260814_131724_832028,2020-02-06,002174.SZ,1100,1100,82.243715,91.352624,10019.7999,3
20260814_131724_832028,2020-02-07,300433.SZ,800,800,104.347431,106.945002,2078.0568,4
20260814_131724_832028,2020-02-07,002603.SZ,1900,1900,48.674126,49.538465,1642.2441,4
20260814_131724_832028,2020-02-07,000597.SZ,2900,2900,31.996565,29.515536,-7194.9841,4
20260814_131724_832028,2020-02-07,300750.SZ,600,600,154.676655,160.50438,3496.635,4
20260814_131724_832028,2020-02-07,002709.SZ,800,800,105.080476,118.99281,11129.8672,4
20260814_131724_832028,2020-02-07,300676.SZ,1000,1000,88.22739,84.282496,-3944.894,4
20260814_131724_832028,2020-02-07,000999.SZ,1200,1200,75.072022,71.483501,-4306.2252,4
20260814_131724_832028,2020-02-07,000790.SZ,1400,1400,67.435407,65.292714,-2999.7702,4
20260814_131724_832028,2020-02-07,002174.SZ,1100,1100,82.243715,99.657408,19155.0623,4
20260814_131724_832028,2020-02-10,300433.SZ,1000,800,104.32517,107.16711,2841.94,5
20260814_131724_832028,2020-02-10,002603.SZ,2100,1900,48.632625,44.74442,-8165.2305,5
20260814_131724_832028,2020-02-10,300750.SZ,600,600,154.676655,165.573994,6538.4034,5
20260814_131724_832028,2020-02-10,002709.SZ,800,800,105.080476,123.204583,14499.2856,5
20260814_131724_832028,2020-02-10,300676.SZ,1200,1000,87.386168,80.666648,-8063.424,5
20260814_131724_832028,2020-02-10,000999.SZ,1500,1200,74.185752,68.198745,-8980.5105,5
