run_id,date,code,side,volume,price,amount,slippage_amt,commission,tax,reason,layer,model
20260815_114058_212113,2019-01-03,300400.SZ,buy,100,45.632487,4563.2487,4.55869,1.140812,0.0,target_weight_new,,next_open
20260815_114058_212113,2019-01-03,002808.SZ,buy,200,20.747777,4149.5554,4.14541,1.037389,0.0,target_weight_new,,next_open
20260815_114058_212113,2019-01-03,600967.SH,buy,100,54.618084,5461.8084,5.456352,1.365452,0.0,target_weight_new,,next_open
20260815_114058_212113,2019-01-03,603043.SH,buy,200,26.558632,5311.7264,5.30642,1.327932,0.0,target_weight_new,,next_open
20260815_114058_212113,2019-01-03,002776.SZ,buy,100,49.512383,4951.2383,4.946292,1.23781,0.0,target_weight_new,,next_open
20260815_114058_212113,2019-01-30,600967.SH,sell,100,49.295505,4929.5505,4.934485,1.232388,2.464775,target_exit,confirm,next_open
20260815_114058_212113,2019-01-30,300400.SZ,buy,200,42.308266,8461.6532,8.4532,2.115413,0.0,rebalance_increase,,next_open
20260815_114058_212113,2019-01-30,002808.SZ,buy,500,20.6509,10325.45,10.315135,2.581363,0.0,rebalance_increase,,next_open
20260815_114058_212113,2019-01-30,603043.SH,buy,300,28.997068,8699.1204,8.69043,2.17478,0.0,rebalance_increase,,next_open
20260815_114058_212113,2019-01-30,002776.SZ,buy,100,54.171297,5417.1297,5.411718,1.354282,0.0,rebalance_increase,,next_open
20260815_114058_212113,2019-04-02,300400.SZ,sell,300,68.19133,20457.399,20.477877,5.11435,10.2287,target_exit,confirm,next_open
20260815_114058_212113,2019-04-02,002808.SZ,sell,700,25.443801,17810.6607,17.828489,4.452665,8.90533,target_exit,confirm,next_open
20260815_114058_212113,2019-04-02,603043.SH,sell,500,30.804864,15402.432,15.41785,3.850608,7.701216,target_exit,confirm,next_open
20260815_114058_212113,2019-04-02,002776.SZ,sell,200,73.7859,14757.18,14.771952,3.689295,7.37859,target_exit,confirm,next_open
20260815_114058_212113,2019-04-02,000429.SZ,buy,300,30.39084,9117.252,9.108144,2.279313,0.0,target_weight_new,,next_open
20260815_114058_212113,2019-04-02,600808.SH,buy,1200,7.76776,9321.312,9.312,2.330328,0.0,target_weight_new,,next_open
20260815_114058_212113,2019-04-02,600277.SH,buy,300,30.59016,9177.048,9.16788,2.294262,0.0,target_weight_new,,next_open
20260815_114058_212113,2019-04-02,603608.SH,buy,600,15.098604,9059.1624,9.050112,2.264791,0.0,target_weight_new,,next_open
20260815_114058_212113,2019-04-02,300530.SZ,buy,200,41.167717,8233.5434,8.225318,2.058386,0.0,target_weight_new,,next_open
20260815_114058_212113,2019-04-02,600926.SH,buy,500,17.926248,8963.124,8.95417,2.240781,0.0,target_weight_new,,next_open
20260815_114058_212113,2019-04-29,600808.SH,sell,1200,6.860732,8232.8784,8.24112,2.05822,4.116439,target_exit,confirm,next_open
20260815_114058_212113,2019-04-29,000429.SZ,buy,200,29.057909,5811.5818,5.805776,1.452895,0.0,rebalance_increase,,next_open
20260815_114058_212113,2019-04-29,600277.SH,buy,100,35.903187,3590.3187,3.586732,0.89758,0.0,rebalance_increase,,next_open
20260815_114058_212113,2019-04-29,603608.SH,buy,400,14.479325,5791.73,5.785944,1.447932,0.0,rebalance_increase,,next_open
20260815_114058_212113,2019-04-29,300530.SZ,buy,100,40.362732,4036.2732,4.032241,1.009068,0.0,rebalance_increase,,next_open
