run_id,date,total_asset,cash,market_value,daily_return,benchmark_close,benchmark_return
20260815_193137_7a9a27,2019-01-02,1000000.0,1000000.0,0,0.0,2969.535,0.0
20260815_193137_7a9a27,2019-01-03,1006644.625383,7454.257383,999190.368,0.00664463,2964.842,-0.00158038
20260815_193137_7a9a27,2019-01-04,1038096.517383,7454.257383,1030642.26,0.03124429,3035.874,0.02395811
20260815_193137_7a9a27,2019-01-07,1064495.445273,-2090.391727,1066585.837,0.02543013,3054.303,0.00607041
20260815_193137_7a9a27,2019-01-08,1050199.709273,-2090.391727,1052290.101,-0.01342959,3047.703,-0.00216089
20260815_193137_7a9a27,2019-01-09,1050807.952273,-2090.391727,1052898.344,0.00057917,3078.475,0.01009678
20260815_193137_7a9a27,2019-01-10,1037062.303273,-2090.391727,1039152.695,-0.01308103,3072.686,-0.00188048
20260815_193137_7a9a27,2019-01-11,1025053.768273,-2090.391727,1027144.16,-0.01157938,3094.778,0.0071898
20260815_193137_7a9a27,2019-01-14,1022645.664658,-7238.531342,1029884.196,-0.00234925,3067.784,-0.00872244
20260815_193137_7a9a27,2019-01-15,1028136.939658,-7238.531342,1035375.471,0.00536968,3127.99,0.01962524
20260815_193137_7a9a27,2019-01-16,1017424.045658,-7238.531342,1024662.577,-0.01041972,3128.651,0.00021132
20260815_193137_7a9a27,2019-01-17,1010929.180658,-7238.531342,1018167.712,-0.00638364,3111.416,-0.00550876
20260815_193137_7a9a27,2019-01-18,1017622.960555,-2159.081445,1019782.042,0.00662141,3168.173,0.01824153
20260815_193137_7a9a27,2019-01-21,1009442.388555,-2159.081445,1011601.47,-0.0080389,3185.636,0.00551201
20260815_193137_7a9a27,2019-01-22,999371.477555,-2159.081445,1001530.559,-0.00997671,3143.317,-0.01328432
20260815_193137_7a9a27,2019-01-23,1007629.424555,-2159.081445,1009788.506,0.00826314,3141.053,-0.00072026
20260815_193137_7a9a27,2019-01-24,1012837.132555,-2159.081445,1014996.214,0.00516828,3158.781,0.00564397
20260815_193137_7a9a27,2019-01-25,1008796.082555,-2159.081445,1010955.164,-0.00398983,3184.469,0.00813225
20260815_193137_7a9a27,2019-01-28,1011278.661555,-2159.081445,1013437.743,0.00246093,3183.777,-0.0002173
20260815_193137_7a9a27,2019-01-29,1011695.209555,-2159.081445,1013854.291,0.0004119,3193.969,0.00320123
20260815_193137_7a9a27,2019-01-30,994375.661555,-2159.081445,996534.743,-0.01711933,3168.482,-0.00797973
20260815_193137_7a9a27,2019-01-31,986593.328555,-2159.081445,988752.41,-0.00782635,3201.633,0.01046274
20260815_193137_7a9a27,2019-02-01,989746.966555,-2159.081445,991906.048,0.00319649,3247.397,0.01429396
20260815_193137_7a9a27,2019-02-11,984652.733499,-100018.847501,1084671.581,-0.00514701,3306.472,0.01819149
20260815_193137_7a9a27,2019-02-12,989721.684445,-2776.341555,992498.026,0.00514796,3330.335,0.00721706
20260815_193137_7a9a27,2019-02-13,1002608.686445,-2776.341555,1005385.028,0.01302083,3397.027,0.02002561
20260815_193137_7a9a27,2019-02-14,1006254.440445,-2776.341555,1009030.782,0.00363627,3402.14,0.00150514
20260815_193137_7a9a27,2019-02-15,1007946.854445,-2776.341555,1010723.196,0.00168189,3338.704,-0.01864591
20260815_193137_7a9a27,2019-02-18,1028681.241445,-2776.341555,1031457.583,0.02057091,3445.744,0.03206034
20260815_193137_7a9a27,2019-02-19,1029027.792445,-2776.341555,1031804.134,0.00033689,3439.607,-0.00178104
20260815_193137_7a9a27,2019-02-20,1027675.692445,-2776.341555,1030452.034,-0.00131396,3451.927,0.0035818
20260815_193137_7a9a27,2019-02-21,1022079.022445,-2776.341555,1024855.364,-0.00544595,3442.705,-0.00267155
20260815_193137_7a9a27,2019-02-22,1037319.760445,-2776.341555,1040096.102,0.01491151,3520.118,0.0224861
20260815_193137_7a9a27,2019-02-25,1091873.085445,-2776.341555,1094649.427,0.05259065,3729.483,0.0594767
20260815_193137_7a9a27,2019-02-26,1104611.362445,-2776.341555,1107387.704,0.01166644,3684.693,-0.01200971
20260815_193137_7a9a27,2019-02-27,1110381.399445,-2776.341555,1113157.741,0.00522359,3678.392,-0.00171005
20260815_193137_7a9a27,2019-02-28,1124319.701445,-2776.341555,1127096.043,0.01255272,3669.37,-0.0024527
20260815_193137_7a9a27,2019-03-01,1120800.466445,-2776.341555,1123576.808,-0.0031301,3749.714,0.02189586
20260815_193137_7a9a27,2019-03-04,1148616.270445,-2776.341555,1151392.612,0.0248178,3794.104,0.01183824
20260815_193137_7a9a27,2019-03-05,1149852.222445,-2776.341555,1152628.564,0.00107604,3816.013,0.00577449
20260815_193137_7a9a27,2019-03-06,1176593.548445,-2776.341555,1179369.89,0.02325632,3848.09,0.00840589
20260815_193137_7a9a27,2019-03-07,1169102.179445,-2776.341555,1171878.521,-0.006367,3808.849,-0.01019753
20260815_193137_7a9a27,2019-03-08,1105727.127445,-2776.341555,1108503.469,-0.05420831,3657.579,-0.03971541
20260815_193137_7a9a27,2019-03-11,1125999.724445,-2776.341555,1128776.066,0.01833418,3729.954,0.01978768
