run_id,date,total_asset,cash,market_value,daily_return,benchmark_close,benchmark_return
20260815_202727_722640,2019-01-02,1000000.0,1000000.0,0,0.0,2969.535,0.0
20260815_202727_722640,2019-01-03,1002595.870689,634519.810689,368076.06,0.00259587,2964.842,-0.00158038
20260815_202727_722640,2019-01-04,1013957.950689,634519.810689,379438.14,0.01133266,3035.874,0.02395811
20260815_202727_722640,2019-01-07,1034506.7556,15030.2186,1019476.537,0.02026593,3054.303,0.00607041
20260815_202727_722640,2019-01-08,1020525.3906,15030.2186,1005495.172,-0.01351501,3047.703,-0.00216089
20260815_202727_722640,2019-01-09,1021049.1716,15030.2186,1006018.953,0.00051325,3078.475,0.01009678
20260815_202727_722640,2019-01-10,1009271.1406,15030.2186,994240.922,-0.01153522,3072.686,-0.00188048
20260815_202727_722640,2019-01-11,998877.8826,15030.2186,983847.664,-0.01029779,3094.778,0.0071898
20260815_202727_722640,2019-01-14,994828.084627,114301.272627,880526.812,-0.00405435,3067.784,-0.00872244
20260815_202727_722640,2019-01-15,997793.411666,-22.346334,997815.758,0.00298074,3127.99,0.01962524
20260815_202727_722640,2019-01-16,985224.856666,-22.346334,985247.203,-0.01259635,3128.651,0.00021132
20260815_202727_722640,2019-01-17,977737.067666,-22.346334,977759.414,-0.00760008,3111.416,-0.00550876
20260815_202727_722640,2019-01-18,982955.590787,219807.029787,763148.561,0.00533735,3168.173,0.01824153
20260815_202727_722640,2019-01-21,973902.177954,51089.528954,922812.649,-0.0092104,3185.636,0.00551201
20260815_202727_722640,2019-01-22,965641.358954,51089.528954,914551.83,-0.00848219,3143.317,-0.01328432
20260815_202727_722640,2019-01-23,970220.656954,51089.528954,919131.128,0.00474223,3141.053,-0.00072026
20260815_202727_722640,2019-01-24,974803.468954,51089.528954,923713.94,0.00472347,3158.781,0.00564397
20260815_202727_722640,2019-01-25,968866.468954,51089.528954,917776.94,-0.00609046,3184.469,0.00813225
20260815_202727_722640,2019-01-28,970218.280954,51089.528954,919128.752,0.00139525,3183.777,-0.0002173
20260815_202727_722640,2019-01-29,969974.782954,51089.528954,918885.254,-0.00025097,3193.969,0.00320123
