run_id,date,total_asset,cash,market_value,daily_return,benchmark_close,benchmark_return
20260815_220818_82b1e0,2019-01-02,1000000.0,1000000.0,0,0.0,2969.535,0.0
20260815_220818_82b1e0,2019-01-03,1002595.870689,634519.810689,368076.06,0.00259587,2964.842,-0.00158038
20260815_220818_82b1e0,2019-01-04,1013957.950689,634519.810689,379438.14,0.01133266,3035.874,0.02395811
20260815_220818_82b1e0,2019-01-07,1034506.7556,15030.2186,1019476.537,0.02026593,3054.303,0.00607041
20260815_220818_82b1e0,2019-01-08,1020514.519791,8344.109791,1012170.41,-0.01352551,3047.703,-0.00216089
20260815_220818_82b1e0,2019-01-09,1021030.422791,8344.109791,1012686.313,0.00050553,3078.475,0.01009678
20260815_220818_82b1e0,2019-01-10,1009567.802038,5397.160038,1004170.642,-0.01122652,3072.686,-0.00188048
20260815_220818_82b1e0,2019-01-11,998991.306038,5397.160038,993594.146,-0.01047626,3094.778,0.0071898
20260815_220818_82b1e0,2019-01-14,995151.06566,2965.44166,992185.624,-0.00384412,3067.784,-0.00872244
20260815_220818_82b1e0,2019-01-15,1002542.463137,102657.581137,899884.882,0.00742741,3127.99,0.01962524
20260815_220818_82b1e0,2019-01-16,993034.773073,10484.686073,982550.087,-0.00948358,3128.651,0.00021132
20260815_220818_82b1e0,2019-01-17,986817.044073,10484.686073,976332.358,-0.00626134,3111.416,-0.00550876
20260815_220818_82b1e0,2019-01-18,994110.417073,10484.686073,983625.731,0.00739081,3168.173,0.01824153
20260815_220818_82b1e0,2019-01-21,989748.913073,10484.686073,979264.227,-0.00438734,3185.636,0.00551201
20260815_220818_82b1e0,2019-01-22,982727.714073,10484.686073,972243.028,-0.00709392,3143.317,-0.01328432
20260815_220818_82b1e0,2019-01-23,989741.130073,10484.686073,979256.444,0.00713668,3141.053,-0.00072026
20260815_220818_82b1e0,2019-01-24,994174.933073,10484.686073,983690.247,0.00447976,3158.781,0.00564397
20260815_220818_82b1e0,2019-01-25,987514.392073,10484.686073,977029.706,-0.00669957,3184.469,0.00813225
20260815_220818_82b1e0,2019-01-28,990118.202073,10484.686073,979633.516,0.00263673,3183.777,-0.0002173
20260815_220818_82b1e0,2019-01-29,987470.677073,10484.686073,976985.991,-0.00267395,3193.969,0.00320123
20260815_220818_82b1e0,2019-01-30,975927.452073,10484.686073,965442.766,-0.01168969,3168.482,-0.00797973
20260815_220818_82b1e0,2019-01-31,962009.789526,268758.098526,693251.691,-0.01426096,3201.633,0.01046274
20260815_220818_82b1e0,2019-02-01,956205.768282,139735.291282,816470.477,-0.00603322,3247.397,0.01429396
20260815_220818_82b1e0,2019-02-11,945542.48152,396398.36052,549144.121,-0.01115167,3306.472,0.01819149
20260815_220818_82b1e0,2019-02-12,942797.839794,166932.634794,775865.205,-0.00290272,3330.335,0.00721706
20260815_220818_82b1e0,2019-02-13,952703.382366,42565.036366,910138.346,0.01050654,3397.027,0.02002561
20260815_220818_82b1e0,2019-02-14,951154.465417,2784.899417,948369.566,-0.00162581,3402.14,0.00150514
20260815_220818_82b1e0,2019-02-15,938703.650417,2784.899417,935918.751,-0.01309021,3338.704,-0.01864591
20260815_220818_82b1e0,2019-02-18,960849.607868,5249.380868,955600.227,0.02359206,3445.744,0.03206034
20260815_220818_82b1e0,2019-02-19,958828.8378,1048.0588,957780.779,-0.00210311,3439.607,-0.00178104
20260815_220818_82b1e0,2019-02-20,957973.25774,96691.95074,861281.307,-0.00089232,3451.927,0.0035818
20260815_220818_82b1e0,2019-02-21,956930.940305,8217.298305,948713.642,-0.00108804,3442.705,-0.00267155
20260815_220818_82b1e0,2019-02-22,969455.410305,8217.298305,961238.112,0.01308816,3520.118,0.0224861
20260815_220818_82b1e0,2019-02-25,1017175.539305,8217.298305,1008958.241,0.04922365,3729.483,0.0594767
20260815_220818_82b1e0,2019-02-26,1002819.896305,8217.298305,994602.598,-0.01411324,3684.693,-0.01200971
20260815_220818_82b1e0,2019-02-27,996017.732305,8217.298305,987800.434,-0.00678304,3678.392,-0.00171005
20260815_220818_82b1e0,2019-02-28,999333.562305,8217.298305,991116.264,0.00332909,3669.37,-0.0024527
20260815_220818_82b1e0,2019-03-01,1013160.091305,8217.298305,1004942.793,0.01383575,3749.714,0.02189586
20260815_220818_82b1e0,2019-03-04,1021166.612305,8217.298305,1012949.314,0.00790252,3794.104,0.01183824
20260815_220818_82b1e0,2019-03-05,1026801.149305,8217.298305,1018583.851,0.00551775,3816.013,0.00577449
20260815_220818_82b1e0,2019-03-06,1031775.069305,8217.298305,1023557.771,0.00484409,3848.09,0.00840589
20260815_220818_82b1e0,2019-03-07,1024281.346305,8217.298305,1016064.048,-0.00726294,3808.849,-0.01019753
20260815_220818_82b1e0,2019-03-08,992385.008411,251099.924411,741285.084,-0.03114021,3657.579,-0.03971541
20260815_220818_82b1e0,2019-03-11,1012000.336133,363386.417133,648613.919,0.01976584,3729.954,0.01978768
20260815_220818_82b1e0,2019-03-12,1013052.296988,382173.940988,630878.356,0.00103949,3755.351,0.00680893
20260815_220818_82b1e0,2019-03-13,1015299.180625,140685.718625,874613.462,0.00221793,3724.194,-0.00829669
20260815_220818_82b1e0,2019-03-14,1015788.400309,48961.828309,966826.572,0.00048185,3698.485,-0.00690324
20260815_220818_82b1e0,2019-03-15,1024213.237309,48961.828309,975251.409,0.00829389,3745.005,0.01257812
20260815_220818_82b1e0,2019-03-18,1037699.695296,8.740296,1037690.955,0.01316763,3851.747,0.0285025
20260815_220818_82b1e0,2019-03-19,1036959.983767,4538.578767,1032421.405,-0.00071284,3833.962,-0.00461739
20260815_220818_82b1e0,2019-03-20,1034841.402767,4538.578767,1030302.824,-0.00204307,3835.439,0.00038524
20260815_220818_82b1e0,2019-03-21,1042384.011431,95987.170431,946396.841,0.00728866,3836.891,0.00037857
20260815_220818_82b1e0,2019-03-22,1046767.980365,14121.642365,1032646.338,0.00420571,3833.801,-0.00080534
20260815_220818_82b1e0,2019-03-25,1043534.197365,14121.642365,1029412.555,-0.0030893,3742.825,-0.02372997
20260815_220818_82b1e0,2019-03-26,1027701.691365,14121.642365,1013580.049,-0.015172,3700.438,-0.01132487
20260815_220818_82b1e0,2019-03-27,1032688.223365,14121.642365,1018566.581,0.00485212,3743.387,0.01160646
20260815_220818_82b1e0,2019-03-28,1019288.564365,14121.642365,1005166.922,-0.01297551,3728.395,-0.00400493
20260815_220818_82b1e0,2019-03-29,1037369.459365,14121.642365,1023247.817,0.01773874,3872.341,0.03860803
20260815_220818_82b1e0,2019-04-01,1057653.294365,14121.642365,1043531.652,0.01955314,3973.928,0.026234
20260815_220818_82b1e0,2019-04-02,1062636.776365,14121.642365,1048515.134,0.00471183,3971.285,-0.00066509
20260815_220818_82b1e0,2019-04-03,1068959.901365,14121.642365,1054838.259,0.00595041,4022.156,0.01280971
20260815_220818_82b1e0,2019-04-04,1081064.730365,14121.642365,1066943.088,0.01132393,4062.23,0.00996331
20260815_220818_82b1e0,2019-04-08,1095047.403365,14121.642365,1080925.761,0.01293417,4057.228,-0.00123134
20260815_220818_82b1e0,2019-04-09,1092916.072365,14121.642365,1078794.43,-0.00194634,4075.43,0.00448631
20260815_220818_82b1e0,2019-04-10,1092146.608626,398588.726626,693557.882,-0.00070405,4085.847,0.00255605
20260815_220818_82b1e0,2019-04-11,1079841.957755,537262.045755,542579.912,-0.01126648,3997.577,-0.02160384
20260815_220818_82b1e0,2019-04-12,1075872.801954,675213.040954,400659.761,-0.00367568,3988.616,-0.00224161
20260815_220818_82b1e0,2019-04-15,1062516.228175,275215.150175,787301.078,-0.01241464,3975.524,-0.00328234
20260815_220818_82b1e0,2019-04-16,1065292.560714,324070.028714,741222.532,0.00261298,4085.789,0.02773597
20260815_220818_82b1e0,2019-04-17,1068430.621433,5874.578433,1062556.043,0.00294573,4087.239,0.00035489
20260815_220818_82b1e0,2019-04-18,1053287.068433,5874.578433,1047412.49,-0.01417364,4072.075,-0.00371008
