run_id,date,total_asset,cash,market_value,daily_return,benchmark_close,benchmark_return
20260815_222334_6537d9,2019-01-02,100000.0,100000.0,0,0.0,,
20260815_222334_6537d9,2019-01-03,99934.365935,29620.547935,70313.818,-0.00065634,,
20260815_222334_6537d9,2019-01-04,100813.220935,29620.547935,71192.673,0.00879432,,
20260815_222334_6537d9,2019-01-07,102269.917935,29620.547935,72649.37,0.01444946,,
20260815_222334_6537d9,2019-01-08,102305.953935,29620.547935,72685.406,0.00035236,,
20260815_222334_6537d9,2019-01-09,101931.317935,29620.547935,72310.77,-0.00366192,,
20260815_222334_6537d9,2019-01-10,101730.419935,29620.547935,72109.872,-0.00197092,,
20260815_222334_6537d9,2019-01-11,101365.940935,29620.547935,71745.393,-0.00358279,,
20260815_222334_6537d9,2019-01-14,101269.474935,29620.547935,71648.927,-0.00095166,,
20260815_222334_6537d9,2019-01-15,102533.963935,29620.547935,72913.416,0.01248638,,
20260815_222334_6537d9,2019-01-16,102634.937935,29620.547935,73014.39,0.00098479,,
20260815_222334_6537d9,2019-01-17,102118.517935,29620.547935,72497.97,-0.00503162,,
20260815_222334_6537d9,2019-01-18,102557.786935,29620.547935,72937.239,0.00430156,,
20260815_222334_6537d9,2019-01-21,102833.505935,29620.547935,73212.958,0.00268843,,
20260815_222334_6537d9,2019-01-22,102337.833935,29620.547935,72717.286,-0.00482014,,
20260815_222334_6537d9,2019-01-23,102307.752935,29620.547935,72687.205,-0.00029394,,
20260815_222334_6537d9,2019-01-24,102294.557935,29620.547935,72674.01,-0.00012897,,
20260815_222334_6537d9,2019-01-25,102488.299935,29620.547935,72867.752,0.00189396,,
20260815_222334_6537d9,2019-01-28,101148.602935,29620.547935,71528.055,-0.01307171,,
20260815_222334_6537d9,2019-01-29,100420.344935,29620.547935,70799.797,-0.00719988,,
20260815_222334_6537d9,2019-01-30,98913.301048,22790.242048,76123.059,-0.01500736,,
20260815_222334_6537d9,2019-01-31,98868.09989,13971.37089,84896.729,-0.00045698,,
20260815_222334_6537d9,2019-02-01,100024.45589,13971.37089,86053.085,0.01169595,,
20260815_222334_6537d9,2019-02-11,102132.85089,13971.37089,88161.48,0.02107879,,
20260815_222334_6537d9,2019-02-12,102600.04889,13971.37089,88628.678,0.00457441,,
20260815_222334_6537d9,2019-02-13,104610.35089,13971.37089,90638.98,0.01959358,,
20260815_222334_6537d9,2019-02-14,105560.37689,13971.37089,91589.006,0.00908157,,
20260815_222334_6537d9,2019-02-15,104947.58589,13971.37089,90976.215,-0.00580512,,
20260815_222334_6537d9,2019-02-18,107065.80789,13971.37089,93094.437,0.02018362,,
20260815_222334_6537d9,2019-02-19,107736.28389,13971.37089,93764.913,0.00626228,,
20260815_222334_6537d9,2019-02-20,108317.04189,13971.37089,94345.671,0.00539055,,
20260815_222334_6537d9,2019-02-21,107638.46789,13971.37089,93667.097,-0.0062647,,
20260815_222334_6537d9,2019-02-22,110906.32889,13971.37089,96934.958,0.0303596,,
20260815_222334_6537d9,2019-02-25,114755.44989,13971.37089,100784.079,0.03470605,,
20260815_222334_6537d9,2019-02-26,112358.31289,13971.37089,98386.942,-0.02088909,,
20260815_222334_6537d9,2019-02-27,112750.04089,13971.37089,98778.67,0.00348642,,
20260815_222334_6537d9,2019-02-28,116769.80989,13971.37089,102798.439,0.03565204,,
20260815_222334_6537d9,2019-03-01,117719.83689,13971.37089,103748.466,0.0081359,,
20260815_222334_6537d9,2019-03-04,121029.82489,13971.37089,107058.454,0.0281175,,
20260815_222334_6537d9,2019-03-05,123431.97289,13971.37089,109460.602,0.01984757,,
20260815_222334_6537d9,2019-03-06,123536.55189,13971.37089,109565.181,0.00084726,,
20260815_222334_6537d9,2019-03-07,121259.89389,13971.37089,107288.523,-0.01842902,,
20260815_222334_6537d9,2019-03-08,119450.17889,13971.37089,105478.808,-0.01492427,,
20260815_222334_6537d9,2019-03-11,122825.40989,13971.37089,108854.039,0.02825639,,
20260815_222334_6537d9,2019-03-12,121996.91389,13971.37089,108025.543,-0.00674531,,
20260815_222334_6537d9,2019-03-13,120392.35289,13971.37089,106420.982,-0.01315247,,
20260815_222334_6537d9,2019-03-14,119750.19689,13971.37089,105778.826,-0.00533386,,
20260815_222334_6537d9,2019-03-15,123163.71689,13971.37089,109192.346,0.02850534,,
20260815_222334_6537d9,2019-03-18,125748.97689,13971.37089,111777.606,0.02099044,,
20260815_222334_6537d9,2019-03-19,124284.21989,13971.37089,110312.849,-0.01164826,,
20260815_222334_6537d9,2019-03-20,124207.19789,13971.37089,110235.827,-0.00061972,,
20260815_222334_6537d9,2019-03-21,122807.67589,13971.37089,108836.305,-0.01126764,,
20260815_222334_6537d9,2019-03-22,121665.59389,13971.37089,107694.223,-0.00929976,,
20260815_222334_6537d9,2019-03-25,120336.30689,13971.37089,106364.936,-0.01092574,,
20260815_222334_6537d9,2019-03-26,119782.81289,13971.37089,105811.442,-0.00459956,,
20260815_222334_6537d9,2019-03-27,121857.77789,13971.37089,107886.407,0.01732273,,
20260815_222334_6537d9,2019-03-28,122294.58489,13971.37089,108323.214,0.00358456,,
20260815_222334_6537d9,2019-03-29,123955.15389,13971.37089,109983.783,0.01357843,,
20260815_222334_6537d9,2019-04-01,125655.07889,13971.37089,111683.708,0.01371403,,
20260815_222334_6537d9,2019-04-02,124981.442803,26154.218803,98827.224,-0.00536099,,
20260815_222334_6537d9,2019-04-03,125445.458803,26154.218803,99291.24,0.00371268,,
20260815_222334_6537d9,2019-04-04,126380.994803,26154.218803,100226.776,0.00745771,,
20260815_222334_6537d9,2019-04-08,127459.085803,26154.218803,101304.867,0.00853048,,
20260815_222334_6537d9,2019-04-09,127039.503803,26154.218803,100885.285,-0.0032919,,
20260815_222334_6537d9,2019-04-10,127071.392803,26154.218803,100917.174,0.00025102,,
20260815_222334_6537d9,2019-04-11,126480.043803,26154.218803,100325.825,-0.00465368,,
