run_id,date,total_asset,cash,market_value,daily_return,benchmark_close,benchmark_return
20260815_235536_ae9b1f,2019-01-02,100000.0,100000.0,0,0.0,2969.535,0.0
20260815_235536_ae9b1f,2019-01-03,99831.763589,45229.462589,54602.301,-0.00168236,2964.842,-0.00158038
20260815_235536_ae9b1f,2019-01-04,100596.455589,45229.462589,55366.993,0.00765981,3035.874,0.02395811
20260815_235536_ae9b1f,2019-01-07,101614.548589,45229.462589,56385.086,0.01012057,3054.303,0.00607041
20260815_235536_ae9b1f,2019-01-08,101412.478589,45229.462589,56183.016,-0.00198859,3047.703,-0.00216089
20260815_235536_ae9b1f,2019-01-09,101087.336589,45229.462589,55857.874,-0.00320613,3078.475,0.01009678
20260815_235536_ae9b1f,2019-01-10,101054.856589,45229.462589,55825.394,-0.00032131,3072.686,-0.00188048
20260815_235536_ae9b1f,2019-01-11,101019.433589,45229.462589,55789.971,-0.00035053,3094.778,0.0071898
20260815_235536_ae9b1f,2019-01-14,100979.073589,45229.462589,55749.611,-0.00039953,3067.784,-0.00872244
20260815_235536_ae9b1f,2019-01-15,102022.902589,45229.462589,56793.44,0.01033708,3127.99,0.01962524
20260815_235536_ae9b1f,2019-01-16,101599.219589,45229.462589,56369.757,-0.00415282,3128.651,0.00021132
20260815_235536_ae9b1f,2019-01-17,100986.027589,45229.462589,55756.565,-0.0060354,3111.416,-0.00550876
20260815_235536_ae9b1f,2019-01-18,101354.428589,45229.462589,56124.966,0.00364804,3168.173,0.01824153
20260815_235536_ae9b1f,2019-01-21,101571.106589,45229.462589,56341.644,0.00213782,3185.636,0.00551201
20260815_235536_ae9b1f,2019-01-22,100799.407589,45229.462589,55569.945,-0.00759762,3143.317,-0.01328432
20260815_235536_ae9b1f,2019-01-23,100999.394589,45229.462589,55769.932,0.00198401,3141.053,-0.00072026
20260815_235536_ae9b1f,2019-01-24,101148.632589,45229.462589,55919.17,0.00147761,3158.781,0.00564397
20260815_235536_ae9b1f,2019-01-25,101670.306589,45229.462589,56440.844,0.0051575,3184.469,0.00813225
20260815_235536_ae9b1f,2019-01-28,100504.682589,45229.462589,55275.22,-0.01146474,3183.777,-0.0002173
20260815_235536_ae9b1f,2019-01-29,99635.841589,45229.462589,54406.379,-0.00864478,3193.969,0.00320123
20260815_235536_ae9b1f,2019-01-30,98674.73922,16402.92322,82271.816,-0.00964615,3168.482,-0.00797973
20260815_235536_ae9b1f,2019-01-31,98253.74722,16402.92322,81850.824,-0.00426646,3201.633,0.01046274
20260815_235536_ae9b1f,2019-02-01,99988.63722,16402.92322,83585.714,0.01765724,3247.397,0.01429396
20260815_235536_ae9b1f,2019-02-11,102742.01722,16402.92322,86339.094,0.02753693,3306.472,0.01819149
20260815_235536_ae9b1f,2019-02-12,103149.62122,16402.92322,86746.698,0.00396726,3330.335,0.00721706
20260815_235536_ae9b1f,2019-02-13,106002.22522,16402.92322,89599.302,0.02765501,3397.027,0.02002561
20260815_235536_ae9b1f,2019-02-14,107131.44322,16402.92322,90728.52,0.01065278,3402.14,0.00150514
20260815_235536_ae9b1f,2019-02-15,105847.76522,16402.92322,89444.842,-0.01198227,3338.704,-0.01864591
20260815_235536_ae9b1f,2019-02-18,108811.54922,16402.92322,92408.626,0.02800044,3445.744,0.03206034
20260815_235536_ae9b1f,2019-02-19,108522.60722,16402.92322,92119.684,-0.00265544,3439.607,-0.00178104
20260815_235536_ae9b1f,2019-02-20,109542.31122,16402.92322,93139.388,0.00939624,3451.927,0.0035818
20260815_235536_ae9b1f,2019-02-21,108477.06522,16402.92322,92074.142,-0.00972452,3442.705,-0.00267155
20260815_235536_ae9b1f,2019-02-22,110477.70522,16402.92322,94074.782,0.01844298,3520.118,0.0224861
20260815_235536_ae9b1f,2019-02-25,113032.46722,16402.92322,96629.544,0.02312468,3729.483,0.0594767
20260815_235536_ae9b1f,2019-02-26,111332.41122,16402.92322,94929.488,-0.01504042,3684.693,-0.01200971
20260815_235536_ae9b1f,2019-02-27,110248.57122,16402.92322,93845.648,-0.00973517,3678.392,-0.00171005
20260815_235536_ae9b1f,2019-02-28,112902.04522,16402.92322,96499.122,0.0240681,3669.37,-0.0024527
20260815_235536_ae9b1f,2019-03-01,115452.07522,16402.92322,99049.152,0.02258622,3749.714,0.02189586
20260815_235536_ae9b1f,2019-03-04,118634.24322,16402.92322,102231.32,0.02756267,3794.104,0.01183824
20260815_235536_ae9b1f,2019-03-05,121710.93322,16402.92322,105308.01,0.02593425,3816.013,0.00577449
20260815_235536_ae9b1f,2019-03-06,120746.30522,16402.92322,104343.382,-0.00792557,3848.09,0.00840589
20260815_235536_ae9b1f,2019-03-07,117716.42122,16402.92322,101313.498,-0.02509297,3808.849,-0.01019753
20260815_235536_ae9b1f,2019-03-08,113568.62522,16402.92322,97165.702,-0.03523549,3657.579,-0.03971541
20260815_235536_ae9b1f,2019-03-11,117011.09922,16402.92322,100608.176,0.03031184,3729.954,0.01978768
20260815_235536_ae9b1f,2019-03-12,116207.43722,16402.92322,99804.514,-0.00686825,3755.351,0.00680893
20260815_235536_ae9b1f,2019-03-13,113754.98122,16402.92322,97352.058,-0.02110412,3724.194,-0.00829669
20260815_235536_ae9b1f,2019-03-14,112452.58122,16402.92322,96049.658,-0.01144917,3698.485,-0.00690324
20260815_235536_ae9b1f,2019-03-15,115274.76522,16402.92322,98871.842,0.02509666,3745.005,0.01257812
20260815_235536_ae9b1f,2019-03-18,118103.36922,16402.92322,101700.446,0.02453793,3851.747,0.0285025
20260815_235536_ae9b1f,2019-03-19,117679.56722,16402.92322,101276.644,-0.0035884,3833.962,-0.00461739
20260815_235536_ae9b1f,2019-03-20,116690.27522,16402.92322,100287.352,-0.00840666,3835.439,0.00038524
20260815_235536_ae9b1f,2019-03-21,114990.05322,16402.92322,98587.13,-0.01457038,3836.891,0.00037857
20260815_235536_ae9b1f,2019-03-22,114233.86722,16402.92322,97830.944,-0.0065761,3833.801,-0.00080534
20260815_235536_ae9b1f,2019-03-25,113431.72722,16402.92322,97028.804,-0.00702191,3742.825,-0.02372997
20260815_235536_ae9b1f,2019-03-26,113120.43722,16402.92322,96717.514,-0.00274429,3700.438,-0.01132487
20260815_235536_ae9b1f,2019-03-27,115073.08322,16402.92322,98670.16,0.01726166,3743.387,0.01160646
20260815_235536_ae9b1f,2019-03-28,115777.91322,16402.92322,99374.99,0.00612506,3728.395,-0.00400493
20260815_235536_ae9b1f,2019-03-29,118571.91122,16402.92322,102168.988,0.02413239,3872.341,0.03860803
20260815_235536_ae9b1f,2019-04-01,120680.01122,16402.92322,104277.088,0.01777908,3973.928,0.026234
20260815_235536_ae9b1f,2019-04-02,119465.549952,28469.024952,90996.525,-0.01006348,3971.285,-0.00066509
20260815_235536_ae9b1f,2019-04-03,119990.787952,28469.024952,91521.763,0.00439656,4022.156,0.01280971
20260815_235536_ae9b1f,2019-04-04,120702.962952,28469.024952,92233.938,0.00593525,4062.23,0.00996331
20260815_235536_ae9b1f,2019-04-08,121316.303952,28469.024952,92847.279,0.00508141,4057.228,-0.00123134
20260815_235536_ae9b1f,2019-04-09,121081.804952,28469.024952,92612.78,-0.00193296,4075.43,0.00448631
20260815_235536_ae9b1f,2019-04-10,121063.776952,28469.024952,92594.752,-0.00014889,4085.847,0.00255605
20260815_235536_ae9b1f,2019-04-11,120319.724952,28469.024952,91850.7,-0.00614595,3997.577,-0.02160384
20260815_235536_ae9b1f,2019-04-12,120513.750952,28469.024952,92044.726,0.00161259,3988.616,-0.00224161
20260815_235536_ae9b1f,2019-04-15,120294.172952,28469.024952,91825.148,-0.00182202,3975.524,-0.00328234
20260815_235536_ae9b1f,2019-04-16,121149.666952,28469.024952,92680.642,0.00711168,4085.789,0.02773597
20260815_235536_ae9b1f,2019-04-17,120912.565952,28469.024952,92443.541,-0.00195709,4087.239,0.00035489
20260815_235536_ae9b1f,2019-04-18,120709.517952,28469.024952,92240.493,-0.0016793,4072.075,-0.00371008
20260815_235536_ae9b1f,2019-04-19,120846.684952,28469.024952,92377.66,0.00113634,4120.607,0.01191825
20260815_235536_ae9b1f,2019-04-22,120099.765952,28469.024952,91630.741,-0.00618072,4025.61,-0.02305413
20260815_235536_ae9b1f,2019-04-23,119244.607952,28469.024952,90775.583,-0.0071204,4019.005,-0.00164075
20260815_235536_ae9b1f,2019-04-24,119237.490952,28469.024952,90768.466,-5.968e-05,4030.088,0.00275765
20260815_235536_ae9b1f,2019-04-25,117251.310952,28469.024952,88782.286,-0.01665734,3941.816,-0.02190324
20260815_235536_ae9b1f,2019-04-26,115659.236952,28469.024952,87190.212,-0.0135783,3889.274,-0.01332939
20260815_235536_ae9b1f,2019-04-29,113804.340358,14493.683358,99310.657,-0.0160376,3900.333,0.00284346
20260815_235536_ae9b1f,2019-04-30,114701.186978,18795.790978,95905.396,0.0078806,3913.211,0.00330177
20260815_235536_ae9b1f,2019-05-06,111080.043978,18795.790978,92284.253,-0.03157023,3684.616,-0.05841622
20260815_235536_ae9b1f,2019-05-07,111086.281934,9635.656934,101450.625,5.616e-05,3720.668,0.00978447
20260815_235536_ae9b1f,2019-05-08,110384.880934,9635.656934,100749.224,-0.00631402,3667.457,-0.01430146
20260815_235536_ae9b1f,2019-05-09,108783.725935,4443.887935,104339.838,-0.0145052,3599.7,-0.0184752
20260815_235536_ae9b1f,2019-05-10,110844.248935,4443.887935,106400.361,0.01894146,3730.451,0.03632275
20260815_235536_ae9b1f,2019-05-13,110123.528935,4443.887935,105679.641,-0.0065021,3668.725,-0.01654652
20260815_235536_ae9b1f,2019-05-14,109485.521935,4443.887935,105041.634,-0.00579356,3645.15,-0.00642594
20260815_235536_ae9b1f,2019-05-15,110550.158935,4443.887935,106106.271,0.009724,3727.092,0.02247973
20260815_235536_ae9b1f,2019-05-16,111075.398935,4443.887935,106631.511,0.00475115,3743.963,0.00452659
20260815_235536_ae9b1f,2019-05-17,109516.961935,4443.887935,105073.074,-0.01403044,3648.76,-0.0254284
20260815_235536_ae9b1f,2019-05-20,109060.178935,4443.887935,104616.291,-0.00417089,3617.792,-0.00848727
