run_id,date,total_asset,cash,market_value,daily_return,benchmark_close,benchmark_return
20260816_122435_863625,2019-01-02,1000000.0,1000000.0,0,0.0,2969.535,0.0
20260816_122435_863625,2019-01-03,1002595.870689,634519.810689,368076.06,0.00259587,2964.842,-0.00158038
20260816_122435_863625,2019-01-04,1013957.950689,634519.810689,379438.14,0.01133266,3035.874,0.02395811
20260816_122435_863625,2019-01-07,1034506.7556,15030.2186,1019476.537,0.02026593,3054.303,0.00607041
20260816_122435_863625,2019-01-08,1020525.3906,15030.2186,1005495.172,-0.01351501,3047.703,-0.00216089
20260816_122435_863625,2019-01-09,1021049.1716,15030.2186,1006018.953,0.00051325,3078.475,0.01009678
20260816_122435_863625,2019-01-10,1009271.1406,15030.2186,994240.922,-0.01153522,3072.686,-0.00188048
20260816_122435_863625,2019-01-11,998877.8826,15030.2186,983847.664,-0.01029779,3094.778,0.0071898
20260816_122435_863625,2019-01-14,995212.9506,15030.2186,980182.732,-0.00366905,3067.784,-0.00872244
20260816_122435_863625,2019-01-15,1002617.732077,114722.358077,887895.374,0.0074404,3127.99,0.01962524
20260816_122435_863625,2019-01-16,993757.226577,5707.111577,988050.115,-0.00883737,3128.651,0.00021132
20260816_122435_863625,2019-01-17,986963.277577,5707.111577,981256.166,-0.00683663,3111.416,-0.00550876
20260816_122435_863625,2019-01-18,995184.400577,5707.111577,989477.289,0.00832972,3168.173,0.01824153
20260816_122435_863625,2019-01-21,990561.044577,5707.111577,984853.933,-0.00464573,3185.636,0.00551201
20260816_122435_863625,2019-01-22,983535.441577,5707.111577,977828.33,-0.00709255,3143.317,-0.01328432
20260816_122435_863625,2019-01-23,991125.301577,5707.111577,985418.19,0.00771692,3141.053,-0.00072026
20260816_122435_863625,2019-01-24,995245.660577,5707.111577,989538.549,0.00415725,3158.781,0.00564397
20260816_122435_863625,2019-01-25,988670.639577,5707.111577,982963.528,-0.00660643,3184.469,0.00813225
20260816_122435_863625,2019-01-28,993388.685577,5707.111577,987681.574,0.00477211,3183.777,-0.0002173
20260816_122435_863625,2019-01-29,989667.946577,5707.111577,983960.835,-0.0037455,3193.969,0.00320123
20260816_122435_863625,2019-01-30,979260.579577,5707.111577,973553.468,-0.01051602,3168.482,-0.00797973
20260816_122435_863625,2019-01-31,959899.052577,5707.111577,954191.941,-0.01977158,3201.633,0.01046274
20260816_122435_863625,2019-02-01,954769.389977,113387.889977,841381.5,-0.00534396,3247.397,0.01429396
20260816_122435_863625,2019-02-11,947391.394448,6304.608448,941086.786,-0.00772752,3306.472,0.01819149
20260816_122435_863625,2019-02-12,954181.89101,103217.78601,850964.105,0.00716757,3330.335,0.00721706
20260816_122435_863625,2019-02-13,964687.420312,1571.989312,963115.431,0.01100999,3397.027,0.02002561
20260816_122435_863625,2019-02-14,969163.030312,1571.989312,967591.041,0.00463944,3402.14,0.00150514
20260816_122435_863625,2019-02-15,973487.890312,1571.989312,971915.901,0.00446247,3338.704,-0.01864591
20260816_122435_863625,2019-02-18,995062.320312,1571.989312,993490.331,0.02216199,3445.744,0.03206034
20260816_122435_863625,2019-02-19,987740.293312,1571.989312,986168.304,-0.00735836,3439.607,-0.00178104
20260816_122435_863625,2019-02-20,989671.705312,1571.989312,988099.716,0.00195538,3451.927,0.0035818
20260816_122435_863625,2019-02-21,984500.031312,1571.989312,982928.042,-0.00522565,3442.705,-0.00267155
20260816_122435_863625,2019-02-22,993341.701312,1571.989312,991769.712,0.00898087,3520.118,0.0224861
20260816_122435_863625,2019-02-25,1039472.636312,1571.989312,1037900.647,0.04644015,3729.483,0.0594767
20260816_122435_863625,2019-02-26,1036589.013312,1571.989312,1035017.024,-0.00277412,3684.693,-0.01200971
20260816_122435_863625,2019-02-27,1031596.748312,1571.989312,1030024.759,-0.00481605,3678.392,-0.00171005
20260816_122435_863625,2019-02-28,1037525.661312,1571.989312,1035953.672,0.00574732,3669.37,-0.0024527
20260816_122435_863625,2019-03-01,1043960.524312,1571.989312,1042388.535,0.00620212,3749.714,0.02189586
20260816_122435_863625,2019-03-04,1064251.215312,1571.989312,1062679.226,0.01943626,3794.104,0.01183824
20260816_122435_863625,2019-03-05,1062922.224312,1571.989312,1061350.235,-0.00124876,3816.013,0.00577449
20260816_122435_863625,2019-03-06,1074941.200312,1571.989312,1073369.211,0.01130748,3848.09,0.00840589
20260816_122435_863625,2019-03-07,1080094.254312,1571.989312,1078522.265,0.0047938,3808.849,-0.01019753
20260816_122435_863625,2019-03-08,1033948.930312,1571.989312,1032376.941,-0.04272342,3657.579,-0.03971541
20260816_122435_863625,2019-03-11,1051748.404312,1571.989312,1050176.415,0.01721504,3729.954,0.01978768
20260816_122435_863625,2019-03-12,1065051.027312,1571.989312,1063479.038,0.0126481,3755.351,0.00680893
20260816_122435_863625,2019-03-13,1048752.534312,1571.989312,1047180.545,-0.01530302,3724.194,-0.00829669
20260816_122435_863625,2019-03-14,1030731.404312,1571.989312,1029159.415,-0.0171834,3698.485,-0.00690324
20260816_122435_863625,2019-03-15,1039104.462312,1571.989312,1037532.473,0.00812341,3745.005,0.01257812
20260816_122435_863625,2019-03-18,1059533.914312,1571.989312,1057961.925,0.01966063,3851.747,0.0285025
20260816_122435_863625,2019-03-19,1059593.347312,1571.989312,1058021.358,5.609e-05,3833.962,-0.00461739
20260816_122435_863625,2019-03-20,1058609.372312,1571.989312,1057037.383,-0.00092863,3835.439,0.00038524
20260816_122435_863625,2019-03-21,1071837.497312,1571.989312,1070265.508,0.01249576,3836.891,0.00037857
20260816_122435_863625,2019-03-22,1072850.741312,1571.989312,1071278.752,0.00094533,3833.801,-0.00080534
20260816_122435_863625,2019-03-25,1080241.197312,1571.989312,1078669.208,0.00688862,3742.825,-0.02372997
20260816_122435_863625,2019-03-26,1052669.090312,1571.989312,1051097.101,-0.02552403,3700.438,-0.01132487
20260816_122435_863625,2019-03-27,1052410.178312,1571.989312,1050838.189,-0.00024596,3743.387,0.01160646
20260816_122435_863625,2019-03-28,1042444.000312,1571.989312,1040872.011,-0.00946986,3728.395,-0.00400493
20260816_122435_863625,2019-03-29,1072250.565312,1571.989312,1070678.576,0.02859297,3872.341,0.03860803
20260816_122435_863625,2019-04-01,1113275.721312,1571.989312,1111703.732,0.03826079,3973.928,0.026234
20260816_122435_863625,2019-04-02,1114603.963312,1571.989312,1113031.974,0.00119309,3971.285,-0.00066509
20260816_122435_863625,2019-04-03,1126740.387312,1571.989312,1125168.398,0.01088855,4022.156,0.01280971
20260816_122435_863625,2019-04-04,1138142.46639,286744.51339,851397.953,0.01011953,4062.23,0.00996331
20260816_122435_863625,2019-04-08,1132424.088064,7778.685064,1124645.403,-0.00502431,4057.228,-0.00123134
20260816_122435_863625,2019-04-09,1131433.239669,486812.733669,644620.506,-0.00087498,4075.43,0.00448631
20260816_122435_863625,2019-04-10,1142002.304567,129486.611567,1012515.693,0.00934131,4085.847,0.00255605
20260816_122435_863625,2019-04-11,1124180.681567,129486.611567,994694.07,-0.01560559,3997.577,-0.02160384
20260816_122435_863625,2019-04-12,1113064.078567,129486.611567,983577.467,-0.00988863,3988.616,-0.00224161
20260816_122435_863625,2019-04-15,1107636.392567,129486.611567,978149.781,-0.00487635,3975.524,-0.00328234
20260816_122435_863625,2019-04-16,1123611.346567,129486.611567,994124.735,0.01442256,4085.789,0.02773597
20260816_122435_863625,2019-04-17,1120411.290567,129486.611567,990924.679,-0.00284801,4087.239,0.00035489
20260816_122435_863625,2019-04-18,1116620.731593,249072.819593,867547.912,-0.00338319,4072.075,-0.00371008
20260816_122435_863625,2019-04-19,1118762.396593,249072.819593,869689.577,0.00191799,4120.607,0.01191825
20260816_122435_863625,2019-04-22,1106835.855671,109646.683671,997189.172,-0.01066048,4025.61,-0.02305413
20260816_122435_863625,2019-04-23,1100670.189671,109646.683671,991023.506,-0.00557053,4019.005,-0.00164075
20260816_122435_863625,2019-04-24,1099589.261671,109646.683671,989942.578,-0.00098206,4030.088,0.00275765
